,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"del Rio, CB; Bellolio, FC",Litigation for damages and contribution of the chilean courts to the ethical-environmental challenges posed by climate change,2023,ACTA BIOETHICA,/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2023000100017 ,10.4067/S1726-569X2023000100017 
1,Carbonell Bellolio F.,VARIATIONS ON JUDICIAL PRECEDENT. AN APPROACH FROM THE CHILEAN LEGAL SYSTEM,2022,Problema anuario de filosofía y teoría del derecho,SCOPUS/UCH/VID,http://dx.doi.org/10.22201/iij.24487937e.2022.16.17028,10.22201/iij.24487937e.2022.16.17028
2,"Bellolio, F.C",Un modelo de decisión judicial justificada para el proceso penal chileno,2022,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992022000100058,10.4067/S0718-33992022000100058
3,"Lorenzo, D.P; Bellolio, F.C",¿Por qué disienten los jueces? Un estudio empírico del comportamiento judicial de la Corte Suprema en materia de prescripción indemnizatoria contra del Estado en casos de derechos humanos,2022,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502022000100009,10.4067/S0718-09502022000100009
4,"Germain, GC; Bellolio, FC; Masle, JL; Oyarzun, TV",Medición remota de la velocidad lectora en estudiantes de derecho: Una contribución a la racionalización de la carga académica,2021,Revista Pedagogia Universitaria y Didactica del Derecho,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-5885.2021.64735,10.5354/0719-5885.2021.64735
5,"Bellolio, FC; Saldias, JV",LA PRUEBA DE LA INOCENCIA Y LAS DEFENSAS PROBATORIAS: EL CASO DE LA REVISIÓN,2021,REVISTA CHILENA DE DERECHO,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/R.481.3,10.7764/R.481.3
6,"Lorenzo, DP; Bellolio, FC","Buscando al  ""juez mediano"": estudio sobre la formación de coaliciones en la tercera sala de la corte suprema",2018,REVISTA DE CIENCIA POLITICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-090X2018000300485,10.4067/S0718-090X2018000300485
7,"Carrasco Delgado, Nicolás Ignacio Ariel",Análisis de los elementos jurisprudenciales de valoración de la delación compensada en Chile,2023,Derecho global. Estudios sobre derecho y justicia,/UCH/VID,http://dx.doi.org/10.32870/dgedj.v8i23.573,10.32870/dgedj.v8i23.573
8,"Carrasco Delgado, Nicolás",¿Buenos jueces¿ en el proceso civil: dogmática y neurociencia,2022,REVISTA DE DERECHO (VALPARAISO),/UCH/VID,http://dx.doi.org/10.4151/s0718-68512022000-1375,10.4151/s0718-68512022000-1375
9,"Delgado, Nicolás Ignacio Ariel Carrasco",CLASS ACTION BY CREDITORS IN THE FACE OF THE COSTS OF EXTERNALITY AND OBSTRUCTION,2022,REVISTA CHILENA DE DERECHO PRIVADO,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.32995/s0718-80722022629,10.32995/s0718-80722022629
10,"Delgado, NC; Valenzuela, CJ; Wenzel, AW",Efficiency and standard of proof in procedures that impose administrative sanctions,2022,Revista de la Facultad de Derecho,ESCI/UCH/VID,http://dx.doi.org/10.22187/rfd2022n54a3,10.22187/rfd2022n54a3
11,"Delgado, NIAC",The consequences of having little in the chilean civil process and its possible solutions,2021,REVISTA CES DERECHO,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.21615/cesder.12.1.10,10.21615/cesder.12.1.10
12,"Carrasco Delgado, Nicolás Ignacio Ariel",Bankruptcy from a procedural perspective,2020,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.22199/issn.0718-9753-2020-0001,10.22199/issn.0718-9753-2020-0001
