,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1191937,"Contratación pública y transparencia: bases comunes para la normativa, la gestión eficiente y simplificación de los procesos de compras públicas",01/08/2018,01/08/2018,G. Camacho / C. Moraga,Departamento de Derecho Público,FONDECYT,Regular
1,1181497,El denunciante de corrupción desprotegido,01/08/2017,01/08/2017,G. Camacho,Departamento de Derecho Público,FONDECYT,Regular
2,1170741,"Contratación pública y transparencia: Bases comunes para la normativa, la gestión eficiente y simplificación de los procesos de compras públicas",01/09/2016,01/09/2016,G. Camacho / C. Moraga,Departamento de Derecho Público,FONDECYT,Regular
3,1161587,"Construcción de una teoría sistémica de la obligación tributaria a la luz del Derecho Comparado, y de la evaluación del sistema tributario chileno. Un estudio efectuado considerando los fundamentos del sistema, su interpretación y aplicación",01/08/2015,01/08/2015,G. Camacho,UAUT. Dirección de Investigación y Postgrado,FONDECYT,Regular
4,1201868,Criterios y estándares para el control de la potestad sancionadora de la Administración: análisis de los mecanismos de revisión judicial y administrativa,01/03/2020,01/03/2023,L. Cordero,U. Católica de Valparaiso,FONDECYT,Regular
5,1200401,"Sustentabilidad temprana y Derecho Urbano en los primeros proyectos de planificación intercomunal por el Estado de Chile (1960-1965): un aporte inexplorado de la práctica del urbanismo metropolitano en Santiago, Concepción y Valparaíso",01/08/2019,01/08/2019,"N. Escudero / L. Cordero, J. Bravo",Departamento de Urbanismo,FONDECYT,Regular
6,ID19I10386,Prototipo para un Sistema de Teletrabajo en el Estado: Modernizando el empleo y la gestión de personas en el sector público,01/03/2019,01/03/2019,"J. Fuenzalida, L. Cordero",Departamento de Ingeniería Industrial,FONDEF,IDEA
7,ID18I10361,Prototipo para un Sistema de Teletrabajo en el Estado: Modernizando el empleo y la gestión de personas en el sector público,01/04/2018,01/04/2018,"P. González, J. Fuenzalida, L. Cordero",Departamento de Ingeniería Industrial,FONDEF,IDEA
8,1170767,Análisis crítico al procedimiento de creación de Planes de Prevención y/o Descontaminación Ambiental: insuficiente participación ciudadana y ausencia de evaluación regulatoria ,01/04/2017,01/04/2020,"L. Cordero / X. Insunza, F. Agüero, F. Soto",Departamento de Derecho Público,FONDECYT,Regular
9,1161443,Procedimiento de creación de normas: planes de prevención y descontaminación ambiental,01/06/2015,01/06/2015,"L. Cordero / F. Soto, F. Agüero",Departamento de Derecho Público,FONDECYT,Regular
10,1161741,Análisis y Revisión dogmática del derecho administrativo sancionador en Chile a partir de su parte especial,01/04/2016,01/04/2019,L. Cordero,U. Católica de Valparaiso,FONDECYT,Regular
11,1171893,"Evaluación y reconstrucción de las teorías de la relación jurídica tributaria en Chile, desde la perspectiva del desarrollo científico actual del Derecho Comparado, y su aplicación como fundamento de sistematización dogmatica de la legislacion tributaria",01/08/2016,01/08/2016,L. Cordero,UAUT. Facultad de Ciencias sociales y humanidades,FONDECYT,Regular
12,SOC 10/13-1,Observatorio Jurisprudencial: Revisión judicial y calidad regulatoria,01/03/2010,01/03/2011,L. Cordero,Departamento de Derecho Público,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
13,1191694,Legados económicos del Régimen de Pinochet y su impacto en las desigualdades,01/09/2018,01/09/2018,C. Huneeus,Departamento de Derecho Público,FONDECYT,Regular
14,1180440,El debilitamiento organizativo y de sus capacidades para participar en el gobierno (party government). El caso del PDC en Chile,01/07/2017,01/07/2017,C. Huneeus / O. Avendaño,Departamento de Derecho Público,FONDECYT,Regular
15,1170847,El debilitamiento de los partidos y su impacto cuando están en el gobierno. Chile en perspectiva comparada,01/09/2016,01/09/2016,C. Huneeus / O. Avendaño,Departamento de Derecho Público,FONDECYT,Regular
