,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Cepeda, GC",Legal Certainty and the Conundrum of the Nullity of Public Contracts in Chile,2021,REVISTA DIGITAL DE DERECHO ADMINISTRATIVO,ESCI/UCH/VID,http://dx.doi.org/10.18601/21452946.n25.05,10.18601/21452946.n25.05
1,"Cepeda, GC",Administrative Justice and the Right to an Effective Judicial Protection,2019,REVISTA DIGITAL DE DERECHO ADMINISTRATIVO,ESCI/UCH/VID,http://dx.doi.org/10.18601/21452946.n22.10,10.18601/21452946.n22.10
2,"Camacho Cepeda, Gladys","Financiamiento de los procesos electorales: Examen de la Ley 19.884 sobre Transparencia, Límite y Control del Gasto Electoral",2015,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502015000200007,10.4067/S0718-09502015000200007
3,"Ibarra, C; Jimenez, G; O'Ryan, R; Blanco, G; Cordero, L; Insunza, X; Moraga, P; Rojas, M; Sapiains, R",Scientists and climate governance: A view from the South,2022,ENVIRONMENTAL SCIENCE & POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.envsci.2022.09.012,10.1016/j.envsci.2022.09.012
4,"Vega L.C., Corvalán X.I.",Citizen participation in air pollution plans. An assessment without romance,2021,REVISTA DE DERECHO AMBIENTAL SANTIAGO,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2021.58361,10.5354/0719-4633.2021.58361
5,Vega L.C.,Regulation of administrative sanctions and reference areas in the chilean institutional system,2020,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122020000100240,10.4067/S0718-00122020000100240
6,"García Barzelatto, Ana María","Duración del Mandato Presidencial, Reelección, y Simultaneidad de Elecciones Presidencial y Parlamentarias",2002,IUS ET PRAXIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-00122002000100031 ,10.4067/S0718-00122002000100031 
7,"Huneeus, C",Opposition within Authoritarianism The Case of the Christian Democratic Party during General Pinochet's Regime in Chile,2016,REVISTA MEXICANA DE CIENCIAS POLITICAS Y SOCIALES,SCOPUS/SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1016/S0185-1918(16)30028-9,10.1016/S0185-1918(16)30028-9
8,"Huneeus, Carlos; Cuevas, Rodrigo; Hernández, Francisco",Los centros de investigación privados (think tank) y la oposición en el regimen autoritario chileno,2014,Revista Uruguaya de Ciencia Politica,SCIELO-otros paises /UCH/VID,,
9,"Huneeus, Carlos",EL PRESIDENCIALISMO SEMI-SOBERANO,2012,Revista Uruguaya de Ciencia Politica,SCIELO-otros paises /UCH/VID,,
10,"Huneeus, C","Varieties of Coalition Governments in Presidentialism: Chile, 1990-2010",2012,DADOS-REVISTA DE CIENCIAS SOCIAIS,ISI/SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.1590/S0011-52582012000400002,10.1590/S0011-52582012000400002
11,"Irarrázabal González, Paz",Street work legal framework: the imposition of an order without the workers,2022,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502022000200163 ,10.4067/S0718-09502022000200163 
12,"Irarrázabal González, Paz","Vagos, trabajadores callejeros e individuos peligrosos: hitos de la historia del marco legal de las calles",2022,REVISTA DE ESTUDIOS HISTORICO-JURIDICOS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-54552022000100465,10.4067/S0716-54552022000100465
13,Wartenberg R.L.,Regulatory Administrative Sanctions. Three premises on its function [Sanciones administrativas regulatorias: Tres premisas sobre su function],2020,Revista de Derecho Administrativo Economico,SCOPUS/UCH/VID,http://dx.doi.org/10.7764/REDAE.32.3,10.7764/REDAE.32.3
