,0,dirName
1175,Centro de Derecho Ambiental,centro_de_derecho_ambiental
1173,Centro de Estudios de la Justicia,centro_de_estudios_de_la_justicia
1171,Centro de Estudios en Derecho Informatico,centro_de_estudios_en_derecho_informatico
1196,Centro de Regulación y Competencia (REGCOM),centro_de_regulación_y_competencia_regcom
1179,Coordinación Académica,coordinación_académica
1188,Coordinación de Extensión,coordinación_de_extensión
1149,Departamento de  Derecho Público,departamento_de_derecho_público
1159,Departamento de Ciencias Penales,departamento_de_ciencias_penales
1155,Departamento de Ciencias del Derecho,departamento_de_ciencias_del_derecho
1167,Departamento de Clínicas Jurídicas,departamento_de_clínicas_jurídicas
1153,Departamento de Derecho Comercial,departamento_de_derecho_comercial
1151,Departamento de Derecho Económico,departamento_de_derecho_económico
1157,Departamento de Derecho Internacional,departamento_de_derecho_internacional
1161,Departamento de Derecho Privado,departamento_de_derecho_privado
1163,Departamento de Derecho Procesal,departamento_de_derecho_procesal
1165,Departamento de Derecho del Trabajo y Seguridad Social,departamento_de_derecho_del_trabajo_y_seguridad_social
1208,Dirección de Investigación,dirección_de_investigación
1210,Dirección de Relaciones Internacionales ,dirección_de_relaciones_internacionales
1120,Escuela de Derecho,escuela_de_derecho
1126,Escuela de Postgrado,escuela_de_postgrado
1177,Gabinete Centro DDHH,gabinete_centro_ddhh
