,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Negretto, Gabriel Leonardo; Soto Barrientos, Francisco",¿Cómo se debe regular un proceso constituyente democrático? Reflexiones a partir de la experiencia chilena,2022,Boletin Mexicano de Derecho Comparado,/UCH/VID,http://dx.doi.org/10.22201/iij.24484873e.2022.163.17494,10.22201/iij.24484873e.2022.163.17494
1,"Soto Barrientos, Francisco; Ejsmentewicz Cáceres, Daniela; Riveros Wittwer, Francisca",El tratamiento constitucional de los desastres socio-naturales: antecedentes y desafíos ante el debate constituyente en Chile,2022,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002022000100081,10.4067/S0718-52002022000100081
2,"Soto F., Welp Y.","Digital participation in Chilean ""citizenry dialogues"" (2015)",2021,International Journal of Electronic Governance,SCOPUS/UCH/VID,http://dx.doi.org/10.1504/IJEG.2021.116899,10.1504/IJEG.2021.116899
3,"Ihnen, C; Millaleo, S; Soto, F",The Constitutional Debate on the Right to Education and Its Impact on Citizens,2020,REVISTA DE CIENCIA POLITICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-090X2020005000122,10.4067/S0718-090X2020005000122
4,"SOTO BARRIENTOS, FRANCISCO; COSTA CORDELLA, EZIO",Tensiones y desafíos de la participación ciudadana en materia ambiental-,2019,Revista Derecho del Estado,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18601/01229893.n44.09,10.18601/01229893.n44.09
5,"Welp, Y; Soto, F",Beyond fashions and smokescreens: Citizen's deliberation in constitutional change,2019,REVISTA ESPANOLA DE CIENCIA POLITICA-RECP,ESCI/UCH/VID,http://dx.doi.org/10.21308/recp.50.01,10.21308/recp.50.01
6,"Barrientos, FS","Mechanisms of Citizen Participation in the Legislative Process, The Challenges of their Reception in Chile",2017,ONATI SOCIO-LEGAL SERIES,ESCI/UCH/VID,,
7,"Soto Barrientos, Francisco",La regulacion del referéndum de especial trascendencia en perspectiva comparada y su eventual reconocimiento en la constitución chilena,2016,ESTUDIOS CONSTITUCIONALES,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002016000100009,10.4067/S0718-52002016000100009
8,"Soto Barrientos, Francisco",Asamblea constituyente: La experiencia latinoamericana y el actual debate en Chile,2014,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002014000100010,10.4067/S0718-52002014000100010
9,"Soto Barrientos, Francisco",The referendum in Latin America: An analysis from a comparative law approach,2013,Boletin Mexicano de Derecho Comparado,SCOPUS/SCIELO-otros paises /UCH/VID,,
10,"Barrientos, FS",DEMOCRACY AS A FORM OF STATE: ANALYSIS OF DIRECT DEMOCRACY' MECHANISMS REGULATED BY THE SWISS CONSTITUTION,2012,ESTUDIOS CONSTITUCIONALES,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002012000100010,10.4067/S0718-52002012000100010
