,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Argouse, A",A Paper Government. The mail and its communication routes in times of the imperial reform in Chile (1764-1796),2022,HISTORIA-SANTIAGO,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-71942022000100391,10.4067/S0717-71942022000100391
1,"Argouse, A","The game of appearances. The alchemy of miscegenation and social hierarchies in lima, 19th century",2022,AMERICAS,ISI/UCH/VID,http://dx.doi.org/10.1017/tam.2021.122,10.1017/tam.2021.122
2,Argouse A.,PRACTICAL INVENTION OF CONSENSUS.JUSTICE AND AGREEMENTS WITH A NOTARY IN CHILE (XVII-XVIII CENTURIES),2021,Dialogo andino,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0719-26812021000200175,10.4067/S0719-26812021000200175
3,"Argouse, Aude","EL PAPEL SELLADO EN CHILE. CIRCULACIÓN, REDES Y SABERES PRÁCTICOS (1739-1770)",2019,Dialogo andino,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0719-26812019000300035,10.4067/S0719-26812019000300035
4,"Argouse, A; Sanchez, MS","NOT A SINGLE DOCUMENT IS INNOCENT. MATERIAL MARKS OF THE PAPER IN NOTARIAL RECORDS OF SANTIAGO DE CHILE, CA. 1680-1720",2019,TEMAS AMERICANISTAS,ESCI/SCOPUS/UCH/VID,,
5,"Vasquez, MEA; Argouse, A","Writing Down Desires, Passions and Powers: Recording Social Bonds to ""Raise a City"". Notaries of San Felipe de Aconcagua, Chile, 1740-1837",2017,FRONTERAS DE LA HISTORIA,SCIELO-otros paises /ESCI/UCH/VID,,
6,"Argouse, A","Reason and Secrecy in Viceroyal Notarial Records. Madrid, Lima and Santiago de Chile (1670-1720)",2016,HISTORIA CRITICA,SCIELO-otros paises /ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7440/hisicrit60.2016.02,10.7440/hisicrit60.2016.02
7,Argouse A.,"No to walk the talk. Notarial practical culture, Santiago de Chile, XVIITH-XVIIITH centuries",2016,REVISTA DE HUMANIDADES,SCOPUS/UCH/VID,,
8,"Argouse, Aude","De libros y otras cosas: el legado del obispo De la Puebla González. Santiago de Chile, 1705",2015,Relaciones. Estudios de historia y sociedad,SCIELO-otros paises /UCH/VID,,
9,"Argouse, A",The enumerations testamentary To be and to have in the vice-royaume of Perou in the XVII centuary,2014,MELANGES DE LA CASA DE VELAZQUEZ,ISI/SCOPUS/UCH/VID,,
10,"Argouse, A","The faces of the honor. Cultural norms and strategies of social promotion in colonial Chile, xviii century",2014,AMERICAS,ISI/UCH/VID,,
11,Argouse A.,"Indigenous wills, an exceptional source? ""the voice of the people"" and the notary Cajamarca, Peru, XVIIth century",2012,TEMAS AMERICANISTAS,SCOPUS/UCH/VID,,
