,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Aguirre, EA",Political risks of recovering and discovering meanings in the collective memory of a perverse religious organisation,2020,ORGANISATIONAL AND SOCIAL DYNAMICS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.33212/osd.v20n1.2020.31,10.33212/osd.v20n1.2020.31
1,"Aguirre, EA",Building the identity of teaching and research of HR management in a faculty of Economics and Business Administration: a socio-analytical exploration of its history,2019,ORGANISATIONAL AND SOCIAL DYNAMICS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.33212/osd.v19n1.2019.41,10.33212/osd.v19n1.2019.41
2,"Acuna, E; Sanfuentes, M",AMBIGUITY IN THE IDENTITY TRANSFORMATION OF PUBLIC HEALTH ORGANIZATIONS,2016,RAE-REVISTA DE ADMINISTRACAO DE EMPRESAS,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/S0034-759020160306,10.1590/S0034-759020160306
3,"Sanfuentes, M;Acuna, E",'The Castaways of Life': A study of organizational remembering within the context of a Chilean Geriatric Hospital,2014,CULTURE AND ORGANIZATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/14759551.2013.872643,10.1080/14759551.2013.872643
4,"Torres-Moraga, E; Barra, C",Does destination brand experience help build trust? Disentangling the effects on trust and trustworthiness,2023,JOURNAL OF DESTINATION MARKETING & MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jdmm.2023.100767,10.1016/j.jdmm.2023.100767
5,"Marin, V; Barra, C; Moyano, J",Artification strategies to improve luxury perceptions: the role of adding an artist name,2022,JOURNAL OF PRODUCT AND BRAND MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1108/JPBM-10-2020-3136,10.1108/JPBM-10-2020-3136
6,"Pressgrove, G; Barra, C; Kim, C",Identifying a credible spokesperson for corporate social responsibility initiatives: Findings from a cross-national study,2022,PUBLIC RELATIONS REVIEW,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.pubrev.2022.102177,10.1016/j.pubrev.2022.102177
7,"Pressgrove G., Barra C., Janoske M.",Using STOPS to predict prosocial behavioral intentions: Disentangling the effects of passive and active communicative action,2020,PUBLIC RELATIONS REVIEW,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.pubrev.2020.101956,10.1016/j.pubrev.2020.101956
8,"Barra C., Pressgrove G., Torres E.",Trust and commitment in the formation of donor loyalty,2018,Service Industries Journal,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/02642069.2017.1405937,10.1080/02642069.2017.1405937
9,"Artigas, EM; Yrigoyen, CC; Moraga, ET; Villalon, CB",Determinants of trust towards tourist destinations,2017,JOURNAL OF DESTINATION MARKETING & MANAGEMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jdmm.2017.03.003,10.1016/j.jdmm.2017.03.003
