,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,NAM21I0004,Guidelines for the  design or adaptation of long-term residences for older people based on a model of progressive care,01/03/2021,01/03/2021,"D. Bunout / M. Agosin, M. Pizzi, P. Osorio",Dirección,Desafío Global en Longevidad Saludable,Longevidad Saludable: Fase Internacional Catalizadora
1,1085014,Diversification of comparative advantage and growth in emerging economies,01/03/2008,01/03/2011,M. Agosin / R. Álvarez,Gabinete Departamento de Economía,FONDECYT,Regular
2,1960853,Funciones de inversión para las empresas chilenas,01/03/1996,01/03/1996,M. Agosin,Gabinete Departamento de Economía,FONDECYT,Regular
3,051-1995,Políticas de promoción de la inversión en Chile,01/03/1995,01/03/1995,M. Agosin,Gabinete Departamento de Economía,FONDECYT,Regular
4,1200101,"Capital controls, macroprudential policies and foreign currency exposure in eme",01/03/2020,01/03/2023,E. Andreasen,Gabinete Departamento de Economía,FONDECYT,Regular
5,COVID0034,"COVID-19: Impacto financiero, transmisión internacional y políticas de contención
",01/06/2020,01/06/2021,E. Andreasen,* Departamento de Administración,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
6,SOC180014,"Finance and development: Implications for markets, economic development and public policy",01/07/2018,01/07/2018,"E. Andreasen, A. Bernales",Departamento de Ingeniería Industrial,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
7,NM_SOC_18_01,Núcleo Milenio de Economía del Desarrollo Social,01/07/2018,01/07/2021,"F. Duarte / J. Ruiz-Tagle, D. Hojman, M. Rojas, V. Paredes, E. Puentes, P. Bordon",Gabinete Departamento de Economía,Iniciativa científica Milenio,Nucleo Investigación Cs. Sociales
8,3160658,College market in Chile,01/11/2015,01/11/2017,P. Bordon / J. Rivera,Unidad de Investigación y Docencia DE,FONDECYT,Postdoctorado
9,1110485,Valoración de la calidad de la educación,01/03/2011,01/03/2013,R. Chumacero,PUC. Depto. de Ingeniería Industrial y de Sistemas,FONDECYT,Regular
10,1110084,La Econometría de la Estructura de Tasas,01/03/2011,01/03/2011,R. Chumacero,Gabinete Departamento de Economía,FONDECYT,Regular
11,1095034,Estimating Highly Nonlinear Models,01/03/2009,01/03/2011,R. Chumacero,Gabinete Departamento de Economía,FONDECYT,Regular
12,1095176,Vouchers en educación: Elección y equidad desde la familia.,01/03/2009,01/03/2011,R. Chumacero,PUC. Depto. de Ingeniería Industrial y de Sistemas,FONDECYT,Regular
