,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Bonilla, CA; Vergara, M; Watt, R",Changes in risk and entrepreneurship,2022,RISK MANAGEMENT-AN INTERNATIONAL JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1057/s41283-022-00098-7,10.1057/s41283-022-00098-7
1,"Bonilla, Claudio A.; Fica, Diego",Loss aversion and risky entrepreneurship,2022,FINANCE RESEARCH LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.frl.2022.102985,10.1016/j.frl.2022.102985
2,"Bonilla, C; Vergara, M",New results on precautionary saving and nonlinear risks,2022,JOURNAL OF ECONOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00712-021-00768-2,10.1007/s00712-021-00768-2
3,"Bonilla, CA; Vergara, M","Risk aversion, downside risk aversion, and the transition to entrepreneurship",2021,THEORY AND DECISION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11238-020-09786-w,10.1007/s11238-020-09786-w
4,"Vergara M., Bonilla C.A.",Precautionary saving in mean-variance models and different sources of risk,2021,ECONOMIC MODELLING,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.econmod.2020.11.017,10.1016/j.econmod.2020.11.017
5,"Bonilla, CA; Cubillos, PG",The effects of ambiguity on entrepreneurship,2021,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jems.12402,10.1111/jems.12402
6,"Bonilla, CA",SOCIAL CHOICE AND TIME CONSISTENCY WITH LOW-PROBABILITY EVENTS,2017,MACROECONOMIC DYNAMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S1365100515001030,10.1017/S1365100515001030
7,"Vergara, M; Bonilla, CA; Sepulveda, JP",The complementarity effect: Effort and sharing in the entrepreneur and venture capital contract,2016,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ejor.2016.04.040,10.1016/j.ejor.2016.04.040
8,"Cancino, CA; Bonilla, CA; Vergara, M",The impact of government support programs for the development of businesses in Chile,2015,MANAGEMENT DECISION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1108/MD-06-2014-0428,10.1108/MD-06-2014-0428
9,"Bonilla, CA;Merigo, JM;Torres-Abad, C",Economics in Latin America: a bibliometric analysis,2015,SCIENTOMETRICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11192-015-1747-7,10.1007/s11192-015-1747-7
