,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Ffrench-Davis, R",PROGRESS AND BACK-STEPS IN THE ECONOMIC DEVELOPMENT OF CHILE UNDER THE GOVERNMENTS OF CONCERTACION DEMOCRATICA (1990-2009),2017,CAHIERS DES AMERIQUES LATINES,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.4000/cal.8301,10.4000/cal.8301
1,"Ffrench-Davis, R","Challenges for the Chilean economy under cyclical shocks, 1999-2016",2017,JOURNAL OF POST KEYNESIAN ECONOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/01603477.2016.1273072,10.1080/01603477.2016.1273072
2,"Ffrench-Davis, R",The Chilean experience with the structural fiscal balance,2016,CUADERNOS DE ECONOMIA,SCOPUS/SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.15446/cuad.econ.v35n67.52713,10.15446/cuad.econ.v35n67.52713
3,"Ffrench-davis Muñoz, Ricardo",Chile y la financiación innovadora para el desarrollo: Una experiencia para hacer globalización inclusiva,2016,ESTUDIOS INTERNACIONALES (SANTIAGO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5354/0719-3769.2016.39881,10.5354/0719-3769.2016.39881
4,"Ffrench-Davis, R",PROGRESS AND SETBACKS IN THE ECONOMIC DEVELOPMENT OF CHILE IN THE GOVERNMENTS OF CONCERTACION: 1990-2009,2016,TRIMESTRE ECONOMICO,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.20430/ete.v83i329.190,10.20430/ete.v83i329.190
5,"Ffrench-Davis, R",Chile Since 1999: From Counter-Cyclical to Pro-Cyclical Macroeconomics,2015,COMPARATIVE ECONOMIC STUDIES,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1057/ces.2015.7,10.1057/ces.2015.7
6,"Ffrench-Davis, R; Gallagher, KP; Lim, MH; Soverel, K",Financial Stability and the Trans-Pacific Partnership: Lessons from Chile and Malaysia,2015,GLOBAL POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/1758-5899.12249,10.1111/1758-5899.12249
7,"Ffrench-Davis Muñoz, Ricardo; Griffith-Jones, Stephany",Taming Capital Account Shocks: Managing Booms and Busts,2012,The Oxford Handbook of Latin American Economics,SCOPUS/UCH/VID,http://dx.doi.org/10.1093/oxfordhb/9780199571048.013.0007,10.1093/oxfordhb/9780199571048.013.0007
8,"Ffrench-Davis, R",WHY HAVE MACROECONOMICS AND FINANCE FAILED IN SOUTH AMERICAN SINCE THE NINETIES?,2012,TRIMESTRE ECONOMICO,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
9,"Ffrench-Davis, R",Employment and real macroeconomic stability: The regressive role of financial flows in Latin America,2012,INTERNATIONAL LABOUR REVIEW,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1564-913X.2012.00133.x,10.1111/j.1564-913X.2012.00133.x
10,"Ffrench-Davis, R","Macroeconomics for development: from ""financierism"" to ""productivism""",2010,CEPAL REVIEW,ISI/SCOPUS/UCH/VID,,
11,"Ffrench-Davis, R","The global crisis, speculative capital and innovative financing for development",2009,CEPAL REVIEW,ISI/SCOPUS/UCH/VID,,
12,"Ffrench-Davis, R",Today's challenges of the Chilean economy,2008,INVESTIGACION ECONOMICA,SCIELO-otros paises /SCOPUS/ISI/UCH/VID,,
13,"Larrain, G; Negretto, G; Voigt, S",How not to write a constitution: lessons from Chile,2023,PUBLIC CHOICE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11127-023-01046-z,10.1007/s11127-023-01046-z
14,"Morales, M; Larrain, G",The Chilean Electronic Market for Annuities (SCOMP): Reducing Information Asymmetries and Improving Competition,2017,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1057/s41288-017-0054-3,10.1057/s41288-017-0054-3
15,"Maquieira C.P., Behler F., Espinosa C.",Bidder`s short-term performance in Mergers and Acquisitions: Empirical Evidence in Latin America,2022,Banking and Finance Review,SCOPUS/UCH/VID,,
16,"Espinosa-Méndez C., Jara-Bertín M., Maquieira C.",The influence of family and pyramidal ownership on corporate diversification in Chile,2018,North American Journal of Economics and Finance,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.najef.2017.10.012,10.1016/j.najef.2017.10.012
17,"Espinosa C., Jara M., Maquieira C., Vieito J.P.",Does corporate diversification create value in emerging markets? New evidence from Chile,2018,CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/cjas.1393,10.1002/cjas.1393
