,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3220706,"Entre el Mochilazo y el Estallido Social: repertorios juveniles y sus prácticas de violencias político-culturales en Chile, 2000 - 2019",01/09/2021,01/09/2021,O. Aguilera,Departamento de Estudios Pedagógicos,FONDECYT,Postdoctorado
1,3210415,"Subjetividad, contrapoder y subalternidad juvenil en el cine chileno en tiempos de inestabilidad neoliberal (2006-2019)",01/08/2020,01/08/2020,O. Aguilera,Departamento de Estudios Pedagógicos,FONDECYT,Postdoctorado
2,1201141,Jóvenes de película: genealogía de la juventud a partir de la producción cinematográfica en Chile del Siglo XX,01/03/2020,01/03/2024,O. Aguilera,Departamento de Estudios Pedagógicos,FONDECYT,Regular
3,1191491,¿Hacia un nuevo campo político?: organizaciones y discursos políticos emergentes en el Chile actual (2010-2010),01/04/2019,01/04/2022,O. Aguilera,Universidad De los Lagos,FONDECYT,Regular
4,3180164,Producciones Culturales de Movimientos Estudiantiles Chilenos: Análisis de los hitos de 2006 y 2011,01/08/2017,01/08/2017,O. Aguilera,Departamento de Estudios Pedagógicos,FONDECYT,Postdoctorado
5,PLU170003,Fotoperiodismo y conflictividad social. Dimensiones visuales del pluralismo en la prensa chilena,01/09/2017,01/09/2018,O. Aguilera / L. Antezana,Departamento de Estudios Pedagógicos,Programa Información Científica,Pluralismo en el sistema informativo nacional
6,1161126,"La construcción visual de la juventud en Chile. Canon de representación, intermedialidad y sensorium a partir de las imágenes visuales de publicaciones periódicas y archivos fotográficos (1910-1973)",01/04/2016,01/04/2019,O. Aguilera,Departamento de Estudios Pedagógicos,FONDECYT,Regular
7,1160422,"Investigado las edades: modos de producción de conocimientos, reconfiguraciones teóricas y opciones metodológicas desde una perspectiva generacional",01/06/2015,01/06/2015,M. Rubilar / O. Aguilera,Departamento de Sociología,FONDECYT,Regular
8,1150545,Redes sociales y Medios de Comunicación: Modelo de análisis de basado en minería de datos para la comprensión del ecosistema informativo chileno en internet y la educomunicación ciudadana en la red,01/03/2015,01/03/2019,O. Aguilera,UACH Inst. de Cs. Sociales,FONDECYT,Regular
9,1150988,"La construcción visual de la juventud en Chile. Canon de representación, intermedialidad y sensorium a partir de las imágenes visuales de publicaciones periódicas y archivos fotográficos (1910-1973)",01/03/2015,01/03/2015,O. Aguilera,Departamento de Estudios Pedagógicos,FONDECYT,Regular
10,ENL15-13,"La construcción visual de la juventud en Chile. Canon de representación, intermedialidad y sensorium a partir de las imágenes visuales de publicaciones periódicas y archivos fotográficos (1910-1973)
",01/05/2015,01/05/2016,O. Aguilera,Departamento de Estudios Pedagógicos,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
