,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Aguilera Ruiz, Óscar","El movimiento estudiantil en chile, 2006-2014. Una aproximación desde la cultura y las identidades",2017,Nueva antropología,SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.4067/S0718-22362016000200006,10.4067/S0718-22362016000200006
1,"Ruiz, OA",Emotiona surplus and enlargement of policy in Chile. Visual analysis of student movement 2011-2014,2016,ALTRE MODERNITA-RIVISTA DI STUDI LETTERARI E CULTURALI,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.13130/2035-7680/7065,10.13130/2035-7680/7065
2,Ruiz O.A.,"Youth movements, politics of identity and battles for visibility in neoliberal Chile: Penguin generations",2016,"Youth, Space and Time: Agoras and Chronotopes in the Global City",SCOPUS/UCH/VID,http://dx.doi.org/10.1163/9789004324589_019,10.1163/9789004324589_019
3,"Ruiz, OA; Espinoza, MS",Visual dispositif and normalizing the youth in Margarita magazine (1934-1939),2016,CUADERNOS INFO,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.7764/cdi.38.775,10.7764/cdi.38.775
4,"Aguilera Ruiz Ó., Alvarez Vandeputte J.",The mobilization cycle in chile 2005-2012: Basis and projections of a politicization process,2015,REVISTA AUSTRAL DE CIENCIAS SOCIALES,SCOPUS/UCH/VID,,
5,"Lagos San Martín, Nelly Gromiria; Garay Alemany, Victoria Verónica; Morales Mejías, Patricia Elizabeth; Núñez Rojas, Mauricio Alejandro; Arévalo Vera, Ana Rosa; Soto Aranda, Viviana; Nilo Cea, Rosa Isabel Del Carmen; Troncoso Popovic, Ivka Silvana; Gallardo Jaque, Alejandro; Reinoso Salinas, Daysi Jasmin; Díaz Suazo, Pamela Alejandra",Investigación en diversidad e inclusión en la formación inicial docente: análisis bibliométrico y temático (2011-2020),2022,PERSPECTIVA EDUCACIONAL,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4151/07189729-vol.61-iss.2-art.1273,10.4151/07189729-vol.61-iss.2-art.1273
6,"Arévalo V, Ana; Fernández Ll, Belén; Hidalgo K, Felipe; Lepe S, Yasna; Miranda J, Christian; Núñez R, Mauricio; Reyes J, Leonora",Corporalidades y narrativas docentes: un dispositivo metodológico para la investigación y formación de profesores,2016,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-07052016000500013,10.4067/S0718-07052016000500013
7,"Reyes Jedlicki, Leonora; Miranda Jaña, Christian; Santa Cruz Grau, Luis; Cornejo Chávez, Rodrigo; Nuñez Rojas, Mauricio; Arevalo Vera, Ana; Hidalgo Kawada, Felipe",Subjetividades y saberes docentes en el sistema educativo chileno: un análisis desde las concepciones de formadores de profesores,2014,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-07052014000200011,10.4067/S0718-07052014000200011
8,Núñez Rojas Mauricio Alejandro; Arévalo Vera Ana Rosa; Ávalos Davidson Beatrice,Profesionalización docente: ¿Es posible un camino de convergencia para expertos y novatos?,2012,REVISTA ELECTRONICA DE INVESTIGACION EDUCATIVA,SCOPUS/SCIELO-otros paises /UCH/VID,,
9,"Reyes, Leonora; Cornejo, Rodrigo; Arévalo, Ana; Sánchez, Rodrigo","Ser docente y subjetividad histórica en el Chile actual: discursos, prácticas y resistencias",2010,Polis (Santiago),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-65682010000300012,10.4067/S0718-65682010000300012
