,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1230373,Prácticas de liderazgo en niveles directivos y medios que favorecen el desarrollo profesional docente en la educación media técnica-profesional,01/03/2023,01/03/2026,A. Carrasco,UCCR Depto. de Historia y Geografia,FONDECYT,Regular
1,11230104,El liderazgo de directores y directoras escolares y su influencia en la cultura de cuidado,01/03/2023,01/03/2026,A. Carrasco,Centro de Estudios y Desarrollo de Educación para el Magisterio,FONDECYT,Iniciación en Investigación
2,11220064,El liderazgo de directoras y directores escolares y su influencia en la cultura del cuidado,01/05/2021,01/05/2021,A. Carrasco,Escuela de Postgrado,FONDECYT,Iniciación en Investigación
3,1201957,"Hacia una edición genética del ""Poema de Chile"": claves para una valoración del legado intelectual de Gabriela Mistral para Chile",01/08/2019,01/08/2019,M. Falabella / A. Baeza,Departamento de Literatura,FONDECYT,Regular
4,1121177,"Estudio de la totalidad del legado de Gabriela Mistral para establecer un corpus, datar y valorar el Poema de Chile",01/03/2012,01/03/2012,M. Falabella / A. Baeza,UDP. Universidad Diego Portales,FONDECYT,Regular
5,3020021,Qué será de Chile en el cielo? Poema de Chile de Gabriela Mistral,01/03/2002,01/03/2002,M. Falabella / E. Oyarzún,Centro de Estudios de Género y Cultura en America Latina,FONDECYT,Postdoctorado
6,1030559,"El rol de la empresa asociativa en el desarrollo regional y local. Un estudio exploratorio en el sector cooperativo chileno
",01/03/2003,01/03/2003,"E. Acuña, M. Martini",Departamento de Antropología,FONDECYT,Regular
7,3230444,"Trabajadoras sexuales migrantes en Chile. Violencias, territorios y políticas de reconocimiento",01/03/2023,01/03/2023,M. Vera,Centro de Estudios de Género y Cultura en America Latina,FONDECYT,Postdoctorado
8,1220271,Civilizadoras: economías afectivas y educación sentimental en escuelas e internados de la Araucanía (1895-1953),01/04/2022,01/04/2026,M. Vera / R. Fernández,Departamento de Filosofía,FONDECYT,Regular
9,1210401,"Paradoxical Citizenships: Subaltern Women in Chile, 19th-21st Centuries",01/08/2020,01/08/2020,M. Vera,UDP. Universidad Diego Portales,FONDECYT,Regular
10,1161532,"Hacia una sociología de la cultura popular ausente. Corporalidad, representación y mediatización de lo popular reprimido y lo popular no representado en Santiago de Chile (1810-1925)",01/04/2016,01/04/2020,C. Sáez / M. Vera,Centro de Estudios de la Comunicación,FONDECYT,Regular
11,3140087,"Tomas de la palabra de mujeres mapuche: interpelaciones a la ""femineidad de Estado"" y al deber de ""representar la raza""",01/10/2013,01/10/2013,M. Vera / C. Zapata,Departamento de Ciencias Históricas,FONDECYT,Postdoctorado
12,CNED-2022,"Análisis de facilitadores y barreras para el uso de los resultados del Diagnóstico Integral de Aprendizajes, DIA, en los procesos de mejora en la educación básica",01/07/2023,01/05/2024,L. de la Vega,,Consejo Nacional de Educación,Proyectos de investigación CNED
13,ID22I10009,Una nueva rendición de cuentas para la Nueva Educación Pública. Propiciando la responsabilización compartida para la mejora educativa,01/08/2022,01/08/2024,L. de la Vega / M. Sanfuentes,Centro de Estudios y Desarrollo de Educación para el Magisterio,FONDEF,IDEA
14,575432,Formación de mediadores de lectura educativa en escuelas rurales,01/01/2021,01/01/2022,L. de la Vega,Escuela de Postgrado,Fondos de Cultura,Fondo del Libro y la Lectura
15,11190496,Desafíos al liderazgo en la sucesión de directores en establecimientos categorizados con desempeño insuficiente. Oportunidades para impulsar trayectorias de mejoramiento educativo,01/10/2019,01/10/2022,L. de la Vega,Departamento de Estudios Pedagógicos,FONDECYT,Iniciación en Investigación
