,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Carrasco Sáez, Andrea; Barraza Rubio, Diego",Una aproximación a la caracterización del liderazgo femenino: el caso de directoras escolares chilenas,2021,REVISTA MEXICANA DE INVESTIGACION EDUCATIVA,SCIELO-otros paises /SCOPUS/UCH/VID,,
1,"Carrasco Sáez, Andrea Elizabeth",La construcción de conocimiento profesional e identidad de directoras de establecimientos educacionales chilenos,2021,Pensamiento Educativo,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/pel.58.1.2021.7,10.7764/pel.58.1.2021.7
2,"Sáez A.C., Martínez P.G., Rubio D.B.",Mid-level leadership practices in third shift coordinators of youth and adult education in Chile,2021,PSICOPERSPECTIVAS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5027/PSICOPERSPECTIVAS-VOL20-ISSUE2-FULLTEXT-2330,10.5027/PSICOPERSPECTIVAS-VOL20-ISSUE2-FULLTEXT-2330
3,"FALABELLA LUCO, Soledad",Antología Newen Txalcan Zugu / Palabra de Fuerza de Trueno,2021,REVISTA CHILENA DE LITERATURA,SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-22952021000200151,10.4067/S0718-22952021000200151
4,"Luca, MSF","THE POETIC PERFORMANCE OF GUAQUIN, HUENUNIR AND MANQUEPILLAN'S WORKS: A READING FROM THE STANDPOINT OF ""THE TRICKS OF THE WEAK""",2021,REVISTA CHILENA DE LITERATURA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952021000200017,10.4067/S0718-22952021000200017
5,"Falabella, S",OPENING REMARKS: ANTHOLOGY NEWEN TXALCAN ZUGU / WORD OF THUNDER FORCE,2021,REVISTA CHILENA DE LITERATURA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952021000200143,10.4067/S0718-22952021000200143
6,"Luco, SF;Gamboa, RM",Academic writing and publication in journals: the ESE:O methodology,2012,ESTUDIOS FILOLOGICOS,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0071-17132012000100004,10.4067/S0071-17132012000100004
7,"Luco, SF ; Domange, B","Poem of Chile, its manuscripts and an assessment of the value of the Gabriela Mistral legacy",2010,ESTUDIOS FILOLOGICOS,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0071-17132010000200003,10.4067/S0071-17132010000200003
8,"Sáez A.C., Martínez P.G., Rubio D.B.",Mid-level leadership practices in third shift coordinators of youth and adult education in Chile,2021,PSICOPERSPECTIVAS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5027/PSICOPERSPECTIVAS-VOL20-ISSUE2-FULLTEXT-2330,10.5027/PSICOPERSPECTIVAS-VOL20-ISSUE2-FULLTEXT-2330
9,"Figueroa, XG; Gonzalez, MP",Mental mechanism of synthesis in the learning of the Sierpinski triangle as a totality,2021,ENSENANZA DE LAS CIENCIAS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5565/rev/ensciencias.2908,10.5565/rev/ensciencias.2908
10,"Jocelyn-Holt, Alfredo",Is the constitution a house? How is its architecture?,2020,ARQ,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-69962020000100150,10.4067/S0717-69962020000100150
11,"Letelier, AJH","RAMON SUBERCASEAUX VICURA, ""CREOLE IN BETWEEN WORLDS""",2013,ANALES DE LITERATURA CHILENA,ISI/SCOPUS/UCH/VID,,
12,"Vera Gajardo M.A., Sáez C.","Monstrous and Virile Animals: A Feminist Reading of Archives that Express Disgust of Tram fare Collectors (Santiago, 19th-20th Centuries)",2022,Cadernos pagu,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/18094449202200650017,10.1590/18094449202200650017
13,"Baeza, CS; Gajardo, AV",Prensa satirica popular en Chile y la actualidad de un debate: El Aji (1889-1894) y Jose Arnero (1905-1914),2021,LATIN AMERICAN RESEARCH REVIEW,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.25222/larr.894,10.25222/larr.894
14,"Gajardo A.V., Baeza C.S.","Representation and disidentification in the testimony of a prostitute (Santiago de Chile, 1908)",2021,ARENAL-REVISTA DE HISTORIA DE LAS MUJERES,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.30827/ARENAL.V28I1.7891,10.30827/ARENAL.V28I1.7891
15,"Gajardo, AV",An Intersectional Approach to the Discourse of Tradition Used to Justify Violence against Mapuche Women,2018,REVISTA DE ESTUDIOS SOCIALES,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.7440/res64.2018.01,10.7440/res64.2018.01
16,"Vera, A; Aguilera, IM; Fernandez, R","Demands of authenticity: desire, ambivalence and racism in multicultural Chile",2018,CONVERGENCIA-REVISTA DE CIENCIAS SOCIALES,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.29101/crcs.v25i76.4500,10.29101/crcs.v25i76.4500
17,"Gajardo A.V., Cayumán A.V.","Feminist theology in Chile: Agents, practices, political discourses",2017,Cadernos pagu,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/18094449201700500012,10.1590/18094449201700500012
18,"Vega Rodríguez, Luis Felipe de la; Ahumada Figueroa, Luis Andrés",Liderazgo de directoras(es) noveles: preparación y resistencia al cambio en contexto de pandemia,2023,REVISTA MEXICANA DE INVESTIGACION EDUCATIVA,/UCH/VID,,
