,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1180359,"Nuevas mercancías y servicios religiosos en Santiago: prácticas, consumo y resignificaciones de lo sagrado",01/03/2018,01/03/2021,L. Bahamondes / N. Marín,Depto. de Filosofía y Humanidades,FONDECYT,Regular
1,1170333,"Nuevas mercancías y servicios religiosos en Santiago: prácticas, consumo y resignificaciones de lo sagrado",01/08/2016,01/08/2016,L. Bahamondes / N. Marín,Depto. de Filosofía y Humanidades,FONDECYT,Regular
2,CSSOC-2011-3422,Evangelio y Política en Chile: Los Cristianos por el Socialismo,01/11/2011,01/11/2011,U. Cárcamo / L. Bahamondes,Departamento de Ciencias Históricas,Fondo Central de Investigación,"U-APOYA: CS SOCIALES, HUMANIDADES, ARTES Y EDUCACIÓN"
3,SOC 10/17-1,La representación social del miedo en el pentecostalismo urbano: Estudio de caso en Santiago de Chile,01/10/2010,01/10/2011,L. Bahamondes / U. Cárcamo,Departamento de Estudios Culturales Regionales,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
4,1110174,"Orientalismo y modernidad en Chile: literatura, pintura y arquitectura",01/03/2011,01/03/2011,"M. Samamé / M. Baros, R. Karmy, S. Salinas",Centro de Estudios Árabes,FONDECYT,Regular
5,SOC 08/25-1,El orientalismo en Chile en el siglo XIX. Tres perspectivas.,01/10/2008,01/10/2009,M. Baros / R. Karmy,Departamento de Arquitectura,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
6,1940452,Arquitectura de la Congregacion del Buen Pastor en chile: Una tipologia singular para la readaptacion de menores,01/03/1994,01/03/1996,"M. Baros, R. Harris",Departamento de Arquitectura,FONDECYT,Regular
7,1240479,"Para una arqueología de la felicidad: estudio, edición crítica y traducción anotada del Comentario de Agostino Nifo al De Animae Beatitudine de Averroes",01/07/2023,01/07/2023,M. Carmona,,FONDECYT,Regular
8,1200174,"Averroes, Suhravardi y la crisis del peripatetismo aviceniano",01/08/2019,01/08/2019,"R. Karmy / M. Carmona, K. Cumsille, M. Amar",Departamento de Estudios Culturales Regionales,FONDECYT,Regular
9,3130341,La memoria y la narrativa de crónicas en el período bizantino,01/10/2012,01/10/2012,M. Castillo,"Centro de Estudios Griegos, Bizantinos y Neohelénicos",FONDECYT,Postdoctorado
10,1110155,"Francisco de Miranda: proyecto hispanoamericano, equilibrio de poderes, gobernabilidad y derechos humanos.",01/03/2011,01/03/2011,M. Castillo,"Centro de Estudios Griegos, Bizantinos y Neohelénicos",FONDECYT,Regular
11,1970491,"Francisco de Miranda y Rigas Féreos, precursores de la independencia de Hispanoamérica y de Grecia: un paralelo",01/03/1997,01/03/1998,M. Castillo,"Centro de Estudios Griegos, Bizantinos y Neohelénicos",FONDECYT,Regular
12,1930917,"Épica griega medieval: poemas de Diyenís, Armuris y Andrónico: traducción y estudio. Épica griega y castellana",01/03/1993,01/03/1994,M. Castillo,"Centro de Estudios Griegos, Bizantinos y Neohelénicos",FONDECYT,Regular
13,1200174,"Averroes, Suhravardi y la crisis del peripatetismo aviceniano",01/08/2019,01/08/2019,"R. Karmy / M. Carmona, K. Cumsille, M. Amar",Departamento de Estudios Culturales Regionales,FONDECYT,Regular
14,1191832,"El saber y su contexto: Origen, traducción, transmisión y recepción del tratado De differentia animae et spiritus de Qusta ibn Luqa [Costa ben Luca]",01/08/2018,01/08/2018,"M. Flisfisch / K. Cumsille, R. Karmy",Departamento de Filosofía,FONDECYT,Regular
15,1160053,Averroes y la inoperosidad: elementos para una genealogía de la modernidad,01/08/2015,01/08/2015,"M. Amar, K. Cumsille",Departamento de Estudios Culturales Regionales,FONDECYT,Regular
16,INTERD-5-1,Núcleo de estudios transdisciplinares en gubernamentalidad,01/01/2016,01/09/2016,"R. Karmy / K. Cumsille, S. Arensburg, A. Menard, C. Radiszcz",Departamento de Estudios Culturales Regionales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de investigación
17,11150677,El cuidado de sí en la filosofía árabe clásica. Contribuciones para una arqueología de la subjetividad,01/06/2015,01/06/2015,K. Cumsille,Centro de Estudios Árabes,FONDECYT,Iniciación en Investigación
18,3140464,"El ""cuidado de sí""en la literatura filosófica árabe del islam clásico. Contribuciones para una genealogía de la ética.",01/11/2013,01/11/2013,K. Cumsille,Departamento de Estudios Culturales Regionales,FONDECYT,Postdoctorado
19,1210461,La cuestión de la educación desde la doctrina de los utilitaristas,01/08/2020,01/08/2020,I. Alvarez / S. González,Departamento de Filosofía,FONDECYT,Regular
20,3230497,"Mesianismo político comparado: ¿Democracia o Teocracia? Rol del Mesías en el desarrollo de la Filosofía Política Árabe y la Filosofía Política Occidental, y su influencia en la concepción de Estado",01/03/2023,01/03/2023,R. Karmy,Departamento de Filosofía,FONDECYT,Postdoctorado
