,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1210404,La concepción heideggeriana de la acción: lectura aspectual de Ser y Tiempo,01/03/2021,01/03/2025,F. Abalo / L. Placencia,Departamento de Filosofía,FONDECYT,Regular
1,1211607,"Error, verdad y método, Un estudio sobre las asunciones metódicas y condiciones de corrección de la Crítica de la razón pura",01/03/2021,01/03/2024,L. Placencia / F. Abalo,Departamento de Filosofía,FONDECYT,Regular
2,11170331,Función y sentido metódico de la referencia a la vida fáctica en las lecciones tempranas de Martin Heiedgger,01/10/2017,01/10/2020,F. Abalo,Departamento de Filosofía,FONDECYT,Iniciación en Investigación
3,11160020,Estudio crítico-sistemático sobre la indicación formal en la concepción metódica del joven Heidegger,01/06/2016,01/06/2016,F. Abalo,Departamento de Filosofía,FONDECYT,Iniciación en Investigación
4,3200005,"El ""nihilismo impropio"" en Martin Heidegger. Expresiones patológicas en la sociedad de la comunicación contemporánea",01/12/2019,01/12/2019,J. Acevedo,Departamento de Filosofía,FONDECYT,Postdoctorado
5,1151231,"Verdad ontológica y verdad existencial. Heidegger, Jaspers",01/03/2015,01/03/2015,J. Acevedo / C. Holzapfel,Departamento de Filosofía,FONDECYT,Regular
6,1120081,"En torno al pensar, según Heidegger",01/03/2012,01/03/2012,J. Acevedo / C. Holzapfel,Departamento de Filosofía,FONDECYT,Regular
7,1095168,Acerca de la interpretación heideggeriana de la esencia de la técnica moderna,01/03/2009,01/03/2011,J. Acevedo,Departamento de Filosofía,FONDECYT,Regular
8,005,Modos de pensar patentes y latentes,01/03/2008,01/03/2008,J. Acevedo / C. Holzapfel,Departamento de Filosofía,FONDECYT,Regular
9,1061133,"En torno a la pregunta ¿qué significa pensar? (Heidegger)
",01/03/2006,01/03/2006,J. Acevedo / C. Holzapfel,Departamento de Filosofía,FONDECYT,Regular
10,1040379,"Apertura, resolución y acción en Heidegger",01/03/2004,01/03/2006,C. Holzapfel / J. Acevedo,Departamento de Filosofía,FONDECYT,Regular
11,1010971,Razón de ser: un estudio sobre la razón suficiente y sus alcances en la interpretación Reideggeriana de Leibniz,01/03/2001,01/03/2003,J. Acevedo / C. Holzapfel,Departamento de Filosofía,FONDECYT,Regular
12,006-1998,"Estudio crítico de las ""contribuciones a la filosofía"" de Heidegger",01/03/1998,01/03/1998,J. Acevedo,Departamento de Filosofía,FONDECYT,Postdoctorado
13,1960772,En torno a la analítica existenciaria de Heideger,01/03/1996,01/03/1998,J. Acevedo / C. Holzapfel,Departamento de Filosofía,FONDECYT,Regular
14,3220863,¿Puede un agente moral ser parcial con sus seres queridos? Sobre la parcialidad moralmente justificada,01/04/2022,01/04/2025,D. Alegría / I. Alvarez,Departamento de Filosofía,FONDECYT,Postdoctorado
15,3210620,"Parcialidad, autoridad y alienación moral: Aportes para el debate contemporáneo acerca de la parcialidad moralmente justificada",01/08/2020,01/08/2020,D. Alegría / I. Alvarez,Centro de Estudios de Etica Aplicada,FONDECYT,Postdoctorado
16,623RT0148,Laboratorio iberoamericano de ética y Salud Pública (LIBERESP),01/05/2023,01/05/2026,"M. Guerrero, I. Alvarez, A. Montero, E. Águila, J. Herrera",,Prog. Iber. de Ciencia yTec. para el Des.,CYTED-Redes
17,3220863,¿Puede un agente moral ser parcial con sus seres queridos? Sobre la parcialidad moralmente justificada,01/04/2022,01/04/2025,D. Alegría / I. Alvarez,Departamento de Filosofía,FONDECYT,Postdoctorado
18,3220035,Debates sobre el porvenir de la educación a partir del impacto de las nuevas tecnologías y desde un horizonte transhumanista. Deliberación filosófica con estudiantes universitarios,01/09/2021,01/09/2021,I. Alvarez,Centro de Estudios de Etica Aplicada,FONDECYT,Postdoctorado
19,3210620,"Parcialidad, autoridad y alienación moral: Aportes para el debate contemporáneo acerca de la parcialidad moralmente justificada",01/08/2020,01/08/2020,D. Alegría / I. Alvarez,Centro de Estudios de Etica Aplicada,FONDECYT,Postdoctorado
20,1210461,La cuestión de la educación desde la doctrina de los utilitaristas,01/08/2020,01/08/2020,I. Alvarez / S. González,Departamento de Filosofía,FONDECYT,Regular
21,1160602,"Representaciones discursivas sobre derechos y deberes profesionales, institucionales y rol del estado, relacionadas con la objeción de conciencia sanitaria y despenalización de la interrupción voluntaria del embarazo, por tres causales en Chile",01/04/2016,01/04/2019,"A. Montero / R. Villarroel, I. Alvarez, M. Ramírez",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,FONDECYT,Regular
22,1150119,La influencia del utilitarismo inglés en el pensamiento y la producción de Andrés Bello,01/03/2015,01/03/2015,I. Alvarez,Departamento de Filosofía,FONDECYT,Regular
23,1140721,La pregunta por la naturaleza del suicidio,01/03/2014,01/03/2018,S. Baquedano / I. Alvarez,Departamento de Filosofía,FONDECYT,Regular
