,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,Abalo F.,CRITICAL CONSIDERATIONS ON THE EQUATING OF UNDERSTANDING WITH KNOW-HOW IN SOME PRAGMATIST INTERPRETATIONS OF HEIDEGGERIAN THOUGHT,2022,REVISTA DE HUMANIDADES,SCOPUS/UCH/VID,http://dx.doi.org/10.53382/ISSN.2452-445X.602,10.53382/ISSN.2452-445X.602
1,"Abalo Cea, Francisco",Time and History in Heidegger’s Frühe Freiburger Vorlesungen (1919-1923),2019,TOPICOS-REVISTA DE FILOSOFIA,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.21555/top.v0i57.1008,10.21555/top.v0i57.1008
2,"Cea, FA",Being and time by Martin Heidegger. A phenomenological commentary,2017,TOPICOS-REVISTA DE FILOSOFIA,SCIELO-otros paises /ESCI/UCH/VID,,
3,"Abalo, F",The formal indication as start point of the phenomenological investigation,2017,TRANS-FORM-ACAO,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/S0101-31732017000400005,10.1590/S0101-31732017000400005
4,"Francisco Abalo, C",The starting point of the formal indication: Heidegger's criticism to the operations of generalization and formalization,2016,Discusiones Filosoficas,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.17151/difil.2016.17.28.9,10.17151/difil.2016.17.28.9
5,"Abalo, F","THE PROBLEM OF THE DETERMINING THE ""WISDOM"" IN PLATO'S EARLY DIALOGUES",2015,REVISTA DE FILOSOFIA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-43602015000100003,10.4067/S0718-43602015000100003
6,"Abalo, F",A possible solution to the epistemological problem of the Hegelian Philosophy of History,2015,REVISTA DE FILOSOFIA AURORA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7213/aurora.27.040.AO04,10.7213/aurora.27.040.AO04
7,"Cea, FA",An interpretation of a certain experience of the historical in Hegel's thought.,2013,TRANS-FORM-ACAO,SCOPUS/ISI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/S0101-31732013000200006,10.1590/S0101-31732013000200006
8,Guerra J.A.,DISCLOSEDNESS OR BEING IN THE TRUTH. HEIDEGGER,2022,REVISTA DE HUMANIDADES,SCOPUS/UCH/VID,http://dx.doi.org/10.53382/ISSN.2452-445X.603,10.53382/ISSN.2452-445X.603
9,"Guerra, JA",REMEMBERING FRANCOIS FEDIER,2021,REVISTA DE FILOSOFIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-43602021000100271,10.4067/S0718-43602021000100271
10,"Guerra, JA","Biography, vocation, discipline. Dialogues of the Institute of Chile",2021,ACTA BIOETHICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2021000100143,10.4067/S1726-569X2021000100143
11,"Acevedo Guerra, Jorge",Presentación del libro de Carlos Peña Por qué importa la filosofía,2019,REVISTA DE FILOSOFIA,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-43602019000200233,10.4067/S0718-43602019000200233
12,"Fedier, F; Guerra, JA",Henri Matisse. Notes of a painter,2018,ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22012018000100287,10.4067/S0718-22012018000100287
13,"Fedier, F; Esengrini, S",FIVE QUESTIONS ABOUT HEIDEGGER,2017,LIMITE-REVISTA DE FILOSOFIA Y PSICOLOGIA,ESCI/UCH/VID,,
14,"Fedier, F; Guerra, JA",On Heidegger's the origin of the work of art,2016,REVISTA DE FILOSOFIA,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-43602016000100002,10.4067/S0718-43602016000100002
15,"Guerra, JA",THINKING THE EVERYDAY LIFE WITH HUMBERTO GIANNINI,2016,LIMITE-REVISTA DE FILOSOFIA Y PSICOLOGIA,ESCI/UCH/VID,,
16,Guerra J.A.,EL DICHO DE ANAXIMANDRO,2016,BYZANTION NEA HELLAS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-84712016000100017,10.4067/S0718-84712016000100017
17,"Guerra, JA",About immediate and regular human coexistence. Heidegger's approach,2015,TEORIA-RIVISTA DI FILOSOFIA,ISI/UCH/VID,,
18,"Dorr, A;Espinoza, A;Acevedo, J",The experience of time in habitual teenage marijuana smokers,2014,ACTAS ESPANOLAS DE PSIQUIATRIA,SCOPUS/ISI/UCH/VID,,
19,Jorge Acevedo Guerra,"La frase de Heidegger ""la ciencia no piensa"", en el contexto de su meditación sobre la era técnica",2010,REVISTA DE FILOSOFIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-43602010000100001,10.4067/S0718-43602010000100001
20,Jorge Acevedo Guerra,César Ojeda Figueroa. Martín Heidegger y el Camino hacia el Silencio: Ensayo de crítica filosófica,2008,REVISTA DE FILOSOFIA,SCIELO-Chile/UCH/VID,,
21,Jorge Acevedo Guerra,A la profesora Ivés Benzi Zenteno,2007,REVISTA DE FILOSOFIA,SCIELO-Chile/UCH/VID,,
22,Jorge Acevedo Guerra,Humberto Giannini. Breve Historia de la Filosofía,2006,REVISTA DE FILOSOFIA,SCIELO-Chile/UCH/VID,,
23,Jorge Acevedo Guerra,"Cristóbal Holzapfel, A la búsqueda del sentido",2006,REVISTA DE FILOSOFIA,SCIELO-Chile/UCH/VID,,
24,"Alegria, D",Look. How fascism works. Ten key concepts to understand the rise and dangers of the new tyrants of the world,2023,TORRES DE LUCCA-REVISTA INTERNACIONAL DE FILOSOFIA POLITICA,/UCH/VID,http://dx.doi.org/10.5209/ltdl.83858,10.5209/ltdl.83858
25,"Galvez, IA",What does the Chilean Constitution say about euthanasia?,2022,DEVELOPING WORLD BIOETHICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/dewb.12310,10.1111/dewb.12310
26,"Galvez, IA",SOME NOTES ABOUT THE CONCEPT OF CONSCIENTIOUS OBJECTION,2017,ATENEA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-04622017000200121,10.4067/S0718-04622017000200121
27,"Álvarez Gálvez, Íñigo",La ciudadanía y sus límites,2016,Polis (Santiago),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-65682016000200023 ,10.4067/S0718-65682016000200023 
28,"Alvarez, I",RHETORIC TODAY: HOLZAPFEL AND PERELMAN,2016,CINTA DE MOEBIO,SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-554X2016000300005,10.4067/S0717-554X2016000300005
29,"Galvez, IA",John Stuart Mill about suicide,2016,ACTA BIOETHICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2016000200011,10.4067/S1726-569X2016000200011
30,"Galvez, IA",Heidegger: Presence of the technical era,2015,REVISTA DE FILOSOFIA,SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-43602015000100015,10.4067/S0718-43602015000100015
31,"Amigo Dürre, Ricardo",Chilean Whitenesses: Elements for a Debate,2023,Tabula Rasa,SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.25058/20112742.n45.05,10.25058/20112742.n45.05
32,Dürre R.A.,Notes on the patrimonialization and popularization of Afro-Arican culture in contemporary Chile,2022,Paginas,SCOPUS/UCH/VID,http://dx.doi.org/10.35305/rp.v14i34.586,10.35305/rp.v14i34.586
33,"Durre, RA",Afro-Arican Writings. Political Interventions Facing Chilean Multiculturalism,2018,ESTUDIOS AVANZADOS,ESCI/UCH/VID,,
34,Jer S.B.,Nature in Ancient Thought: The Hermeneutics of homo mensura and Environmental Perspectives of the Unmeasurable,2023,Open Insight,SCOPUS/UCH/VID,http://dx.doi.org/10.23924/oi.v13i30.548,10.23924/oi.v13i30.548
35,Jer S.B.,Suicide due to ontological causes: Mainländer's case,2021,Topicos,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.14409/TOPICOS.V0I41.10686,10.14409/TOPICOS.V0I41.10686
36,Baquedano S.,The problem of violence in Mainländer¿s worldview,2021,Arete,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18800/arete.202101.001,10.18800/arete.202101.001
37,"Jer, SB",¿Ecocidio o Autodestrucción Ambiental?,2019,ENVIRONMENTAL ETHICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5840/enviroethics201941SupplementI33,10.5840/enviroethics201941SupplementI33
38,"Jer, SB",Ecocide or Environmental Self-Destruction?,2019,ENVIRONMENTAL ETHICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5840/enviroethics201941324,10.5840/enviroethics201941324
39,"Baquedano Jer, Sandra; Donoso Sabando, Claudia; Pereira Covarrubias, Andres",The problem of self-destruction in the role of politics in disaster situations.,2018,DILEMAS CONTEMPORANEOS-EDUCACION POLITICA Y VALORES,ESCI/UCH/VID,,
40,"Jer, SB",Antispeciesist apories related to death in nonhuman animals,2018,DILEMAS CONTEMPORANEOS-EDUCACION POLITICA Y VALORES,ESCI/UCH/VID,,
41,"Jer, SB; Sabando, CD",Anthropocene and climate change: the absence of the common in activities and human habits that make up the environment,2018,DILEMAS CONTEMPORANEOS-EDUCACION POLITICA Y VALORES,ESCI/UCH/VID,,
