,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,Ana Maria Baeza C.,Women making poetry in Decimas. Installation strategies in the cultural field,2016,TALLER DE LETRAS,SCOPUS/ISI/UCH/VID,,
1,"Carvallo A.M.B., Saliwonczyk W.",Poetry in Décima the Paradigms of Modernity and Contemporary Art,2015,Synergies Chili,SCOPUS/UCH/VID,,
2,"Carvallo, AB",The novels of Chilean oligarchy,2012,REVISTA CHILENA DE LITERATURA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952012000100011,10.4067/S0718-22952012000100011
3,"Bello, J",Dysthymia,2021,REVISTA CHILENA DE LITERATURA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952021000100735,10.4067/S0718-22952021000100735
4,"Bello, J","Inhabiting the landscape. Three South American poets. Bellessi, Farina, Varela",2019,TALLER DE LETRAS,ISI/UCH/VID,,
5,"Bello, J",NEW SCOPES FOR A POETIC BY SOLEDAD FARINA AND HER PROJECTIONS IN YLLU,2019,ANALES DE LITERATURA CHILENA,ISI/SCOPUS/UCH/VID,,
6,"Bello, J","THE REITERATION OF A CURSED SONG. BLIND TRANSIT, BY VALENTINA MARCHANT",2016,REVISTA CHILENA DE LITERATURA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952016000200009,10.4067/S0718-22952016000200009
7,"Bello, J",A Dead Woman Only Departs. The Dissolution of the Subject and the Restoration of the Country: the Problem of Admissibility in Alejandra del Rio's Poetry,2016,TALLER DE LETRAS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7764/TL5937-60,10.7764/TL5937-60
8,"Bello, J",THE WOUND OF THE AMBIGUOUS,2015,REVISTA CHILENA DE LITERATURA,SCIELO-Chile/ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-22952015000100017,10.4067/S0718-22952015000100017
9,Bello J.,"""Oh mother goddess, wisdom is foolish"". Transcendence and inmanence in Sur, by Diana Bellessi",2015,TALLER DE LETRAS,SCOPUS/ISI/UCH/VID,,
10,"Bello, J","THE HEAD AND THE HAND, NOTES ON LANGUAGE AND MORAL: THE TEMPLES OF THE GOLDEN DONKEY, BY ALEJANDRO GODOY",2014,REVISTA CHILENA DE LITERATURA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-22952014000100013,10.4067/S0718-22952014000100013
11,"Bello, J","""OUR PLACE IN THE WORLD IS OUT OF THE WORLD BUT CLOSE TO IT"". AN APPROACH TO BITE, BY DAVID PREISS",2013,REVISTA CHILENA DE LITERATURA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952013000100009,10.4067/S0718-22952013000100009
12,"Bello, J",Boulevard behind bars,2013,TALLER DE LETRAS,ISI/UCH/VID,,
13,"Bello, J","THE DISASTER AND THE REST. TESTIMONY AND REPRODUCTIVE ORDER IN SENOR DEL VERTIGO, BY DAVID PREISS",2012,ANALES DE LITERATURA CHILENA,ISI/SCOPUS/UCH/VID,,
14," Bello, J ",TOWARDS A POETIC OF SOLEDAD FARINA. PROTOTEXT AND ENCRYPTED WRITING IN THE VOICE OF THE EARTH,2009,REVISTA CHILENA DE LITERATURA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22952009000200003,10.4067/S0718-22952009000200003
15,"Bello, J",Derrame,2008,REVISTA CHILENA DE LITERATURA,SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-22952008000100015,10.4067/S0718-22952008000100015
