,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Urzua, MDJ; Rojas, JG; Correa, AC; Cerda, M; Grundler, SH; Gonzalez-Silva, C",The dendritic ERGIC: Microtubule and actin cytoskeletons participate in stop-and-go movement of mobile carriers between stable structures,2022,TRAFFIC,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/tra.12832,10.1111/tra.12832
1,"Urra, H; Henriquez, DR; Canovas, J; Villarroel-Campos, D; Carreras-Sureda, A; Pulgar, E; Molina, E; Hazari, YM; Limia, CM; Alvarez-Rojas, S; Figueroa, R; Vidal, RL; Rodriguez, DA; Rivera, CA; Court, FA; Andres,; Qi, L; Chevet, E; Akai, R; Iwawaki, T; Concha, ML; Glavic, A; Gonzalez-Billault, C; Hetz, C; Couve, A","IRE1 alpha governs cytoskeleton remodeling and cell migration through a direct interaction with filamin A (vol 20, pg 942, 2018)",2021,NATURE CELL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41556-021-00673-2,10.1038/s41556-021-00673-2
2,"Ramirez, OA; Cordova, A; Cerda, M; Lobos, P; Hartel, S; Couve, A; Hidalgo, C",Ryanodine receptor-mediated Ca2+release and atlastin-2 GTPase activity contribute to IP3-induced dendritic Ca2+signals in primary hippocampal neurons,2021,CELL CALCIUM,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ceca.2021.102399,10.1016/j.ceca.2021.102399
3,"Vergara, RC; Jaramillo-Riveri, S; Luarte, A; Moenne-Loccoz, C; Fuentes, R; Couve, A; Maldonado, PE","The Energy Homeostasis Principle: Neuronal Energy Regulation Drives Local Network Dynamics Generating Behavior (vol 13, 49, 2019)",2020,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fncom.2020.599670,10.3389/fncom.2020.599670
4,"Cornejo, VH; Gonzalez, C; Campos, M; Vargas-Saturno, L; Juricic, MD; Miserey-Lenkei, S; Pertusa, M; Madrid, R; Couve, A",Non-conventional Axonal Organelles Control TRPM8 Ion Channel Trafficking and Peripheral Cold Sensing,2020,CELL REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.celrep.2020.03.017,10.1016/j.celrep.2020.03.017
5,"Salech, F; Varela-Nallar, L; Arredondo, SB; Bustamante, DB; Andaur, GA; Cisneros, R; Ponce, DP; Ayala, P; Inestrosa, NC; Valdes, JL; Behrens, MI; Couve, A",Local Klotho Enhances Neuronal Progenitor Proliferation in the Adult Hippocampus,2019,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1093/gerona/glx248,10.1093/gerona/glx248
6,"Gonzalez, C; Vargas-Saturno, L; Gallardo, J; Venegas, N; Couve, A",Unveiling unconventional golgi-related organelles in peripheral axons and their role in regeneration,2019,JOURNAL OF NEUROCHEMISTRY,ISI/UCH/VID,,
7,"Gallardo, J; Luarte, A; Gonzalez, C; Couve, A; Sierralta, J",Axonal trafficking of L1CAM in cortical neurons,2019,JOURNAL OF NEUROCHEMISTRY,ISI/UCH/VID,,
8,"Vergara, RC; Jaramillo-Riveri, S; Luarte, A; Moenne-Loccoz, C; Fuentes, R; Couve, A; Maldonado, PE",The Energy Homeostasis Principle: Neuronal Energy Regulation Drives Local Network Dynamics Generating Behavior,2019,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fncom.2019.00049,10.3389/fncom.2019.00049
9,"Urra, H; Henriquez, DR; Canovas, J; Villarroel-Campos, D; Carreras-Sureda, A; Pulgar, E; Molina, E; Hazari, YM; Limia, CM; Alvarez-Rojas, S; Figueroa, R; Vidal, RL; Rodriguez, DA; Rivera, CA; Court, FA; Couve, A; Qi, L; Chevet, E; Akai, R; Iwawaki, T; Concha, ML; Glavic, A; Gonzalez-Billault, C; Hetz, C","IRE1 alpha governs cytoskeleton remodelling and cell migration through a direct interaction with filamin A (vol 20, pg 942, 2018)",2018,NATURE CELL BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1038/s41556-018-0186-0,10.1038/s41556-018-0186-0
