,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Dockendorff A., Gamboa R., Aubry M.","Substantive Representation of Women¿s Interests: Chile, 1990¿2020",2022,Representation,SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00344893.2021.1982757,10.1080/00344893.2021.1982757
1,"Freer J.B., Aravena F.R.",Chile-A Democracy with Semi-autonomous Armed Forces: A History of Civil-Military Relations Since 1990,2022,Latin American Military and Politics in the Twenty-First Century: A Cross-National Analysis,SCOPUS/UCH/VID,http://dx.doi.org/10.4324/9781003164784-4,10.4324/9781003164784-4
2,"Freer, JB; Wehner, LE",The Security Challenges of Chile: Conceptions for Different Scenarios,2018,REVISTA DE ESTUDIOS EN SEGURIDAD INTERNACIONAL-RESI,ESCI/UCH/VID,http://dx.doi.org/10.18847/1.7.2,10.18847/1.7.2
3,"Baeza Freer, Jaime; López Varas, Miguel Ángel",El Congreso Nacional de Chile y el proceso de ratificación del Tratado de Libre Comercio con los Estados Unidos de América,2015,ESTUDIOS INTERNACIONALES (SANTIAGO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5354/0719-3769.2015.37883,10.5354/0719-3769.2015.37883
4,"Gamboa, R;Lopez, MA;Baeza, J",The Programmatic Evolution of Chilean Political Parties 1970-2009: From Polarization to Consensus,2013,REVISTA DE CIENCIA POLITICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-090X2013000200002,10.4067/S0718-090X2013000200002
5,"Castillo, I; Contreras-Guzman, D; Henzi, C",When do progressive evangelicals mobilize? Intra-denominational competing identities in Chile's constitutional process,2023,POLITICS AND RELIGION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S1755048323000044,10.1017/S1755048323000044
6,"Alberts S., Dávila M., Valenzuela A.",Modernizing the State to Strengthen Democracy: Public Sector Reforms in Chile,2021,The Emerald Handbook of Public Administration in Latin America,SCOPUS/UCH/VID,http://dx.doi.org/10.1108/978-1-83982-676-420201005,10.1108/978-1-83982-676-420201005
7,"Davila, M; Maillet, A","More Money, More Problems: Quality Assurance in Higher Education in Chile (2006-2018)",2021,BULLETIN OF LATIN AMERICAN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/blar.13190,10.1111/blar.13190
8,"Avendaño O., Dávila M.",Together we govern: Portfolio allocation in Chile (1990-2014),2017,Government Formation and Minister Turnover in Presidential Cabinets: Comparative Analysis in the Americas,SCOPUS/UCH/VID,http://dx.doi.org/10.4324/9781315466491,10.4324/9781315466491
9,"Letelier, LE; Davila, M",The Political Economics of Tax Reform in Chile,2015,NEW POLITICAL ECONOMY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/13563467.2015.1041475,10.1080/13563467.2015.1041475
10,"Davila M., Lavados A.O., Avendano O.",The cabinets of the concertación in Chile (1990-2010),2013,AMERICA LATINA HOY-REVISTA DE CIENCIAS SOCIALES,SCOPUS/UCH/VID,,
11,"Escudero, MC",Making a Constituent Assembly Possible in Chile: The Shifting Costs of Opposing Change,2022,BULLETIN OF LATIN AMERICAN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/blar.13290,10.1111/blar.13290
12,"Avendaño, Octavio; Escudero, María Cristina",Politicians against parties. Anti-party experiences in Chile 1989-2017,2022,Revista Chilena de Derecho y Ciencia Política,SCOPUS/ESCI/SCIELO-Chile/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.7770/rchdcp-v13n1-art2846,10.7770/rchdcp-v13n1-art2846
13,"Avendano, O; Escudero, MC",Elitism and the strength of National Agrarian Association (SNA) as business association,2016,REVISTA CS EN CIENCIAS SOCIALES,ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18046/recs.i20.2221,10.18046/recs.i20.2221
14,"Mavila, Olga Espinoza",Incarcerated women: Is their social reintegration possible?,2016,Caderno CRH,SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.1590/S0103-49792016000400007,10.1590/S0103-49792016000400007
15,Frühling H.,POLICE AND SOCIETY IN TRANSITIONAL COUNTRIES: THE CASE OF LATIN AMERICA,2021,Human Rights and the Police in Transitional Countries,SCOPUS/UCH/VID,http://dx.doi.org/10.1163/9789004481527_010,10.1163/9789004481527_010
16,"Fruhling, HH","Commentary to ""How international are the top ten international journals of criminology and criminal justice?"" by Hary Hugo Fruhling",2021,EUROPEAN JOURNAL ON CRIMINAL POLICY AND RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10610-019-09431-5,10.1007/s10610-019-09431-5
17,"McNeish J.-A., Matute A., Ospina E.R., Frühling H.",Comparative Reflections on Community-Oriented Policing (COP) in Post-Conflict Central America,2020,Journal of Human Security,SCOPUS/UCH/VID,http://dx.doi.org/10.12924/JOHS2022.16020165,10.12924/JOHS2022.16020165
18,"Fruhling, H",Government and Governance of Security: The Politics of Organized Crime In Chile,2020,BULLETIN OF LATIN AMERICAN RESEARCH,ISI/UCH/VID,http://dx.doi.org/10.1111/blar.13203,10.1111/blar.13203
19,"McNeish J.-A., Prado S.M., Ehrlich H.F.","Community-based policing in nicaragua: Do the claims of communitarian, proactive and preventative hold true?",2019,Journal of Human Security,SCOPUS/UCH/VID,http://dx.doi.org/10.12924/johs2019.15020007,10.12924/johs2019.15020007
20,Fruhling H; Gallardo R.,Programas de seguridad dirigidos a barrios en la experiencia chilena reciente,2012,REVISTA INVI,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-83582012000100005,10.4067/S0718-83582012000100005
21,"Fruhling, H",A realistic look at Latin American community policing programmes,2012,POLICING & SOCIETY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/10439463.2011.636816,10.1080/10439463.2011.636816
22,"Fruhling, H",Violent Democracies in Latin America.,2011,LATIN AMERICAN POLITICS AND SOCIETY,ISI/UCH/VID,,
23,"Fruhling Ehrlich, Hugo",Public opinion and the police in Chile,2009,"Criminality, Public Security, and the Challenge to Democracy in Latin America",SCOPUS/UCH/VID,,
24,Fruhling H.,Research on Latin American police: Where do we go from here?,2009,POLICE PRACTICE AND RESEARCH,SCOPUS/UCH/VID,http://dx.doi.org/10.1080/15614260903378459,10.1080/15614260903378459
25,Gambi M.O; Montt X.T; Chavez L.M; Erlich H.F.,Urban crime and violence. ecology of crime contributions to public policies design,2008,REVISTA INVI,SCOPUS/UCH/VID,,
26,Funk R.L.,Challenges for higher education in times of COVID-19: How three countries have responded,2021,Higher Learning Research Communications,SCOPUS/UCH/VID,http://dx.doi.org/10.5590/10.18870/hlrc.v11i0.1242,10.5590/10.18870/hlrc.v11i0.1242
27,"Krauskopf, E; Funk, RL",Predatory publishing - Firm action is required,2020,SCIENCE OF THE TOTAL ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scitotenv.2020.139329,10.1016/j.scitotenv.2020.139329
28,"Krauskopf, E; Garcia, F; Funk, R",Bibliometric analysis of multi-language veterinary journals,2017,TRANSINFORMACAO,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/2318-08892017000300011,10.1590/2318-08892017000300011
29,"Krauskopf E., Funk R.L.",Analysis of the Latin American scientific productivity in the research category of urban studies during 2005-2014,2017,Espacios,SCOPUS/UCH/VID,,
30,"Funk, RL",Chile 2012: The permanent campaign,2013,REVISTA DE CIENCIA POLITICA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-090X2013000100004,10.4067/S0718-090X2013000100004
31,"Vega, RC ; Funk, RL","Politics as Profession: Party Change and the Social Transformation of the Political Elite in Chile, 1961-2006",2011,POLITICA Y GOBIERNO,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
32," Funk, RL ",Chile: Half-time,2009,REVISTA DE CIENCIA POLITICA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,,
33,"González Guarda, Claudio",Criminal analysis in the Prosecutor's Office: Modernization of criminal prosecution or replacement of police functions?,2022,IUS ET PRAXIS,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122022000300171 ,10.4067/S0718-00122022000300171 
