,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA22I0053,PRINCIPALES BARRERAS PARA LA ATENCIÓN DE SALUDAFIRMATIVA DE GÉNERO EN ADOLESCENTES Y JÓVENES TRANSEN CHILE: PROPUESTAS DE INTERVENCIÓN PARA LOS EQUIPOSDE SALUD,01/06/2022,01/06/2022,"C. Lüttges / M. González, G. Huepe, A. Jara",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA20I0117,"PRINCIPALES NECESIDADES Y BARRERAS PARA LA ATENCIÓN INTEGRAL DE NIÑOS, NIÑAS Y ADOLESCENTES TRANS EN CHILE: PROPUESTAS DE INTERVENCIÓN PARA LOS EQUIPOS DE SALUD",01/04/2020,01/04/2020,"C. Lüttges / G. Huepe, M. González, A. Jara, A. Montero",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA14ID0007,"Estudio exploratorio de las principales necesidades, barreras y demandas en la atención primaria de salud, desde la perspectiva de las personas jóvenes lesbianas, gays y bisexuales de la Región Metropolitana, Chile",01/11/2014,01/11/2015,A. Montero / M. González,Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA21I0010,Brechas de acceso a servicios de salud sexual y reproductiva en la aps para la atención de adolescentes mujeres pertenecientes a programas de protección de la región metropolitana: recomendaciones para el intersector,01/09/2021,01/09/2023,"I. Leal / T. Molina, D. González",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
4,SA20I0016,FACTORES PERSONALES CONTEXTUALES E INSTITUCIONALES DE ADOLESCENTES MUJERES PERTENECIENTES A PROGRAMAS DEPROTECCIÓNDEL ESTADOQUEINFLUYENENELACCESOASERVICIOS DESALUDSEXUALYREPRODUCTIVAENLAATENCIÓNPRIMARIA DE SALUD RECOMENDACIONESPARAELTRABAJO INTERSECTORIAL,01/04/2020,01/04/2020,"I. Leal / D. González, T. Molina",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
5,SA21I0010,Brechas de acceso a servicios de salud sexual y reproductiva en la aps para la atención de adolescentes mujeres pertenecientes a programas de protección de la región metropolitana: recomendaciones para el intersector,01/09/2021,01/09/2023,"I. Leal / T. Molina, D. González",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA20I0016,FACTORES PERSONALES CONTEXTUALES E INSTITUCIONALES DE ADOLESCENTES MUJERES PERTENECIENTES A PROGRAMAS DEPROTECCIÓNDEL ESTADOQUEINFLUYENENELACCESOASERVICIOS DESALUDSEXUALYREPRODUCTIVAENLAATENCIÓNPRIMARIA DE SALUD RECOMENDACIONESPARAELTRABAJO INTERSECTORIAL,01/04/2020,01/04/2020,"I. Leal / D. González, T. Molina",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
7,SA12I2040,Conocimientos y práctica clínica de los proveedores de atención primaria para la prevención del embarazo adolescente dentro del marco legal,01/12/2012,01/12/2013,I. Leal,Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
8,SOC 10/07-2,"Elaboración, aplicación y evaluación de un modelo de talleres para preparación de la menarquia en niñas escolarizadas de 10 a 12 años",01/03/2010,01/03/2010,"I. Leal, T. Molina",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
9,1090113,"Diseño, elaboración, ejecución y validación de un programa de educación sexual	 consensuado, destinado a adultos mayores.",01/03/2009,01/03/2009,"T. Molina / V. Martínez, I. Leal",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,FONDECYT,Regular
