,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Valdes, E; Sepulveda-Martinez, A; Tong, A; Castro, M; Castro, D",Assessment of Protein:Creatinine Ratio versus 24-Hour Urine Protein in the Diagnosis of Preeclampsia,2016,GYNECOLOGIC AND OBSTETRIC INVESTIGATION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1159/000381773,10.1159/000381773
1,Jorge Hasbun H; Jaime Palaviccini R; Raul Osorio P; Sergio Cerda S.M; Magdalena Castro L; Laura Carreno T; Raul Valdevenito S.,Oclusión temporal de arterias ilíacas internas en cesárea-histerectomía por placenta acreta: Enfoque multidisciplinario,2012,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262012000100012,10.4067/S0717-75262012000100012
2,"González T, M. Isabel; Aguirre C, M. Luisa; Tapia C, Jaime",Caracterización de asistentes a consejería en sexualidad en un centro de salud integral de adolescentes,2005,REVISTA CHILENA DE PEDIATRIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0370-41062005000600004,10.4067/S0370-41062005000600004
3,"Montero, A; Ramirez-Pereira, M; Robledo, P; Casas, L; Vivaldi, L; Gonzalez, D",Conscientious objection as structural violence in the voluntary termination of pregnancy in Chile,2022,FRONTIERS IN PSYCHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyg.2022.1007025,10.3389/fpsyg.2022.1007025
4,"Montero A., Ramírez-Pereira M., Robledo P., Casas L., Vivaldi L., Molina T., González D.",Prevalence and characteristics of conscientious objectors to Law 21.030 in public institutions,2021,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.24875/RECHOG.21000006,10.24875/RECHOG.21000006
5,"Luttges, C; Leal, I; Huepe, G; Gonzalez, D; Gonzalez, E; Molina, T",Pregnant again? Perspectives of adolescent and young mothers who and do not experience a repeat pregnancy in adolescence,2021,INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES ON HEALTH AND WELL-BEING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/17482631.2021.1898317,10.1080/17482631.2021.1898317
6,"Aristegui, Daniela González",Mujeres adolescentes (con) viviendo en pareja. Negociación en sexualidad y autonomía en la toma de decisiones desde la perspectiva de género,2020,Revista Estudos Feministas,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/1806-9584-2020v28n259860,10.1590/1806-9584-2020v28n259860
7,"Leal F., Ingrid; Molina G., Temistocles; Luttges D, Carolina; González A., Electra; Gonzalez A., Daniela",Edad de inicio sexual y asociación a variables de salud sexual y violencia en la relación de pareja en adolescentes chilenos,2018,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0717-75262018000200149,10.4067/s0717-75262018000200149
8,"Aristegui, DG",Naomi Campbell: autobiographic tales in fiction film: transexuality's violent omision in oficial history,2017,PUNTO GENERO,ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-0417.2017.46279,10.5354/0719-0417.2017.46279
9,"Leal I., Molina T.","Changes in the use of contraceptives, unplanned pregnancies and children in Chilean adolescents between 1997 and 2018",2021,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.24875/RECHOG.M21000014,10.24875/RECHOG.M21000014
