,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Lucero Y., Lagomarcino A.J., Torres J.P., Roessler P., Mamani N., George S., Huerta N., Gonzalez M., O'Ryan G M.","Helicobacter pylori, clinical, laboratory and noninvasive biomarkers suggestive of gastric damage in healthy school-aged children: a case-control study (vol 103, pg 423, 2021)",2022,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.ijid.2022.05.063,10.1016/j.ijid.2022.05.063
1,"Zuniga, M; Lagomarcino, AJ; Munoz, S; Alonso, AP; Rodriguez, MA; O'Ryan, ML",A cross sectional study found differential risks for COVID-19 seropositivity amongst health care professionals in Chile,2022,JOURNAL OF CLINICAL EPIDEMIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jclinepi.2021.12.026,10.1016/j.jclinepi.2021.12.026
2,"Lucero, Y; Lagomarcino, AJ; Torres, JP; Roessler, P; Mamani, N; George, SA; Huerta, N; Gonzalez, M; O'Ryan, GM",Effect of Helicobacter pylori eradication therapy on clinical and laboratory biomarkers associated with gastric damage in healthy school-aged children: A randomized non-blinded trial,2021,HELICOBACTER,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/hel.12853,10.1111/hel.12853
3,"Torres, JP; Pinera, C; De La Maza, V; Lagomarcino, AJ; Simian, D; Torres, B; Urquidi, C; Valenzuela, MT; O'Ryan, M",Severe Acute Respiratory Syndrome Coronavirus 2 Antibody Prevalence in Blood in a Large School Community Subject to a Coronavirus Disease 2019 Outbreak: A Cross-sectional Study,2021,CLINICAL INFECTIOUS DISEASES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1093/cid/ciaa955,10.1093/cid/ciaa955
4,"Lucero, Y; Lagomarcino, AJ; Torres, JP; Roessler, P; Mamani, N; George, S; Huerta, N; Gonzalez, M; O'Ryan, M","Helicobacter pylori, clinical, laboratory, and noninvasive biomarkers suggestive of gastric damage in healthy school-aged children: A case-control study (vol 103, pg 423, 2021)",2021,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.ijid.2021.05.046,10.1016/j.ijid.2021.05.046
5,"Lucero, Y; Lagomarcino, AJ; Torres, JP; Roessler, P; Mamani, N; George, S; Huerta, N; Gonzalez, M; O'Ryan, M","Helicobacter pylori, clinical, laboratory, and noninvasive biomarkers suggestive of gastric damage in healthy school-aged children: A case-control study",2021,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ijid.2020.11.202,10.1016/j.ijid.2020.11.202
6,"Lucero, Y; Lagomarcino, AJ; Espinoza, M; Kawakami, N; Mamani, N; Huerta, N; Del Canto, F; Farfan, M; Sawaguchi, Y; George, S; Ryan, MO'",Norovirus compared to other relevant etiologies of acute gastroenteritis among families from a semirural county in Chile,2020,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ijid.2020.10.013,10.1016/j.ijid.2020.10.013
7,"O'Ryan, M; Calvo, AE; Espinoza, M; Vega, N; Lagomarcino, AJ; Castillo, HL; Puentes, E; Macina, D","Parent reported outcomes to measure satisfaction, acceptability, and daily life impact after vaccination with whole-cell and acellular pertussis vaccine in Chile",2020,VACCINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.vaccine.2020.08.046,10.1016/j.vaccine.2020.08.046
8,"George, S; Lucero, Y; Torres, JP; Lagomarcino, AJ; O'Ryan, M",Gastric Damage and Cancer-Associated Biomarkers in Helicobacter pylori-Infected Children,2020,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2020.00090,10.3389/fmicb.2020.00090
9,"Lucero, Y; O'Ryan, M; Liparoti, G; Huerta, N; Mamani, N; Ramani, S; Lagomarcino, AJ; Del Canto, F; Quense, J","Predominance of Rotavirus G8P[8] in a City in Chile, a Country Without Rotavirus Vaccination",2019,JOURNAL OF PEDIATRICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jpeds.2018.08.037,10.1016/j.jpeds.2018.08.037
