,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Massardo, Teresa; Riedel, Byron; Hiplan, Enrique; Swett, Eduardo; Alarcón, Luis; Paillahueque, Gabriela; Prat, Hernán
","Correlación de sincronía de la contracción del ventrículo izquierdo con función sisto-diastólica, masa y excentricidad en diversas afecciones cardíacas mediante un software comercial dedicado de SPECT gatillado",2021,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602021000300184,10.4067/S0718-85602021000300184
1,"Prat, H; Araos, P; Michea, L",Role of inflammation in hypertension,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872021000200255,10.4067/s0034-98872021000200255
2,"Massardo T., Araya A.V., Prat H., Alarcón L., Berrocal I., Pino A., Cordero F., Jaimovich R., Fernández R., Herrera E., Carmona J., Castro A.","Factors associated with silent myocardial ischemia, autonomic or peripheral neuropathies, and survival in diabetes mellitus type 2 patients without cardiovascular symptoms",2020,INTERNATIONAL JOURNAL OF DIABETES IN DEVELOPING COUNTRIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s13410-019-00758-7,10.1007/s13410-019-00758-7
3,"Alarcon, L; Rau, M; Prat, H; Fernandez, R; Carmona, J; Zhindon, JP; Gonzalez, J; Massardo, T",Predictive value of dipyridamole myocardial perfusion tomography on survival,2018,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872018000800831,10.4067/s0034-98872018000800831
4,"Prat, Hernán","Respecto a ""Guías para la Monitorización Ambulatoria de Presión arterial""",2018,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602018000100071,10.4067/S0718-85602018000100071
5,"Prat, Hernán; Abufhele, Alejandro; Alarcón, Gonzalo; Barquín, Inés; Escobar, Edgardo; Fernández, Mauricio; Lanas, Fernando; Varleta, Paola",Guías para la monitorización ambulatoria de presión arterial de 24 horas. Documento de la Sociedad Chilena de Cardiología y Cirugía Cardiovascular,2017,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602017000300264,10.4067/S0718-85602017000300264
6,"Gonzalez, J; Prat, H; Swett, E; Berrocal, I; Fernandez, R; Zhindon, JP; Castro, A; Massardo, T",Follow-up of patients with good exercise capacity in stress test with myocardial single-photon emission computed tomography (SPECT),2015,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015001100008,10.4067/S0034-98872015001100008
7,Massardo Vega Teresa; Prat Martorell Hernán; Araya Quintanilla Verónica; Berrocal Isabel; Jaimovich Fernández Rodrigo; Fernández Belmar René,Seguimiento a cinco años en pacientes diabéticos sin síntomas cardíacos estudiados con perfusión miocárdica,2013,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602013000300002,10.4067/S0718-85602013000300002
8,Barría Alberto; Vial María Jesús; Tong Ana; Prat Hernán; Asenjo René,Validación del test de troponinas en plasma a partir de una población sana. una experiencia local,2013,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602013000100007,10.4067/S0718-85602013000100007
9,"Prat, Hernán",Enfermedad cerebrovascular y estatinas,2012,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602012000200010,10.4067/S0718-85602012000200010
10,"Massardo, T;Pino, A;Berrocal, I;Castro, G;Prat, H;Pereira, J",Cocaine-induced vascular damage. Report of one case,2012,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872012000400013,10.4067/S0034-98872012000400013
11,Teresa Massardo; Isabel Berrocal; Gabriel Castro; M. Paz Muñoz; Natalia Santis; Pamela Padilla; Hernán Prat; Verónica Araya,Valor del índice de excentricidad del ventrículo izquierdo con tomografía spect de perfusión miocárdica en diversas condiciones,2011,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602011000200006,10.4067/S0718-85602011000200006
12,"Massardo, T; Lavados, H; Jaimovich, R; Carmona, A; Rau, C; Herrera, E; Quevedo, L; Prat, H",Agreement between observers with different experience in the interpretation of the stress myocardial perfusion electrocardiogram in SPECT,2009,REVISTA ESPANOLA DE MEDICINA NUCLEAR,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.remn.2009.04.001,10.1016/j.remn.2009.04.001
13," Rodrigo, R ; Prat, H ; Passalacqua, W ; Araya, J ; Bachler, JP ",Decrease in oxidative stress through supplementation of vitamins C and E is associated with a reduction in blood pressure in patients with essential hypertension,2008,CLINICAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1042/CS20070343,10.1042/CS20070343
14,"Rodrigo, R ; Prat, H ; Passalacqua, W ; Araya, J ; Guichard, C ; Bachler, JP",Relationship between oxidative stress and essential hypertension,2007,HYPERTENSION RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1291/hypres.30.1159,10.1291/hypres.30.1159
15,"Rodrigo, R ; Bachler, JP ; Julia, A ; Prat, H ; Passalacqua, W","Relationship between (Na plus K)-ATPase activity, lipid peroxidation and fatty acid profile in erythrocytes of hypertensive and normotensive subjects",2007,MOLECULAR AND CELLULAR BIOCHEMISTRY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s11010-007-9457-y,10.1007/s11010-007-9457-y
16,Gonzalez P; Massardo T; Jofre M.J; Yovanovich J; Prat H; Munoz A; Arriagada M; Anzoategui W; Carmona A.R.,201T1 myocardial SPECT detects significant coronary artery disease between 50% and 75% angiogram stenosis,2005,REVISTA ESPANOLA DE MEDICINA NUCLEAR,SCOPUS/UCH/VID,http://dx.doi.org/10.1157/13079281,10.1157/13079281
17,"Vargas, M; Prat, H; Jimenez, D; Gaete, P; Hudson, C; Leon, A",Detection of high blood pressure in workers at 4000 m of altitude. Comparative study with ambulatory blood pressure monitoring.,2001,HYPERTENSION,ISI/UCH/VID,,
18,"Prat, H",Antihypertensive effects of valsartan. Results of a national multicentric study,2000,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872000000500004,10.4067/S0034-98872000000500004
