,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Modak, B ; Torres, R ; De Saint Pierre, M ; Saud, K ; Armijo, A ; Caviedes, R ; Caviedes, P","In vitro antiproliferative activity of 3 H-spiro [1-benzofuran-2,1 '-cyclohexane] derivatives",2011,BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS,ISI/SCOPUS/UCH/VID,,
1,"Arriagada R, S.; Ortega T, D.; Flores N, N.; Moreno S, R.; Garrido H, C.; Pierola T, A.",Estudio por imágenes en mortinatos: una alternativa a la autopsia,2006,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082006000100007,10.4067/S0717-93082006000100007
2,"Arriagada R, Sandra; Moreno S, Rodrigo; Herrera G, Dalivor; Parra B, Cristian; Ortega T, Dulia; Arrizaga G, Noemí",Reconstrucción cardíaca en gemelos toracópagos mediante imágenes de tomografía computada y resonancia magnética,2004,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082004000300009 ,10.4067/S0717-93082004000300009 
3,"Baez-Matus, X; Figueroa-Cares, C; Gonzalez-Jamett, AM; Almarza-Salazar, H; Arriagada, C; Maldifassi, MC; Guerra, MJ; Mouly, V; Bigot, A; Caviedes, P; Cardenas, AM",Defects in G-Actin Incorporation into Filaments in Myoblasts Derived from Dysferlinopathy Patients Are Restored by Dysferlin C2 Domains,2020,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/ijms21010037,10.3390/ijms21010037
4,"Cea, LA; Bevilacqua, JA; Arriagada, C; Cardenas, AM; Bigot, A; Mouly, V; Saez, JC; Caviedes, P",The absence of dysferlin induces the expression of functional connexin-based hemichannels in human myotubes,2016,BMC CELL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12860-016-0096-6,10.1186/s12860-016-0096-6
5,"Covarrubias, C;Mattmann, M;Von Marttens, A;Caviedes, P;Arriagada, C;Valenzuela, F;Rodriguez, JP;Corral, C",Osseointegration properties of titanium dental implants modified with a nanostructured coating based on ordered porous silica and bioactive glass nanoparticles,2016,APPLIED SURFACE SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.apsusc.2015.12.022,10.1016/j.apsusc.2015.12.022
6,"Acuna, MA;Perez-Nunez, R;Noriega, J;Cardenas, AM;Bacigalupo, J;Delgado, R;Arriagada, C;Segura-Aguilar, J;Caviedes, R;Caviedes, P","Altered Voltage Dependent Calcium Currents in a Neuronal Cell Line Derived From the Cerebral Cortex of a Trisomy 16 Fetal Mouse, an Animal Model of Down Syndrome",2012,NEUROTOXICITY RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12640-011-9304-5,10.1007/s12640-011-9304-5
7,"Atwater, I ; Guajardo, M ; Caviedes, P ; Jeffs, S ; Parrau, D ; Valencia, M ; Romero, C ; Arriagada, C ; Caamano, E ; Salas, A ; Olguin, F ; Atlagich, M ; Maas, R ; Mears, D ; Rojas, E",Isolation of Viable Porcine Islets by Selective Osmotic Shock Without Enzymatic Digestion,2010,TRANSPLANTATION PROCEEDINGS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.transproceed.2009.11.030,10.1016/j.transproceed.2009.11.030
8,"Arriagada, C; Bustamante, M; Atwater, I; Rojas, E; Caviedes, R; Caviedes, P","Apoptosis is directly related to intracellular amyloid accumulation in a cell line derived from the cerebral cortex of a trisomy 16 mouse, an animal model of Down syndrome",2010,NEUROSCIENCE LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.neulet.2009.12.062,10.1016/j.neulet.2009.12.062
9,"Guajardo, MI; Atwater, I; Caviedes, P; Parrau, D; Valencia, M; Astorga, C; Arriagada, C; Saez, P; Saez, JP",Islets purified by differential osmotic shock maintain normal distribution of cellular subpopulations and electrical coupling,2009,XENOTRANSPLANTATION,ISI/UCH/VID,,
10,"Paula-Lima, AC;Arriagada, C;Toro, R;Cardenas, AM;Caviedes, R;Ferreira, ST;Caviedes, P",Small-molecule aggregation inhibitors reduce excess amyloid in a trisomy 16 mouse cortical cell line,2008,BIOLOGICAL RESEARCH,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0716-97602008000200001,10.4067/S0716-97602008000200001
11,"Zúñiga P, Jorge; Maass O, Juan Cristóbal; Amagada A, Christian",Efecto del factor de crecimiento endotelio vascular (VEGF) sobre perforaciones timpánicas en ratas Long-Evans,2007,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162007000100002 ,10.4067/S0718-48162007000100002 
12,"Arriagada, C ; Astorga, C ; Atwater, I ; Rojas, E ; Mears, D ; Caviedes, R ; Caviedes, P","Endosomal abnormalities related to amyloid precursor protein in cholesterol treated cerebral cortex neuronal cells derived from trisomy 16 mice, an animal model of Down syndrome",2007,NEUROSCIENCE LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.neulet.2007.06.054,10.1016/j.neulet.2007.06.054
13,"Saud, K; Arriagada, C; Cardenas, AM; Shimahara, T; Allen, DD; Caviedes, R; Caviedes, P",Neuronal dysfunction in Down syndrome: Contribution of neuronal models in cell culture,2006,JOURNAL OF PHYSIOLOGY-PARIS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jphysparis.2005.12.013,10.1016/j.jphysparis.2005.12.013
14,"Diaz-Veliz, G; Mora, S; Gomez, P; Dossi, MT; Montiel, J; Arriagada, C; Aboitiz, F; Segura-Aguilar, J","Behavioral effects of manganese injected in the rat substantia nigra are potentiated by dicumarol, a DT-diaphorase inhibitor",2004,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.pbb.2003.10.016,10.1016/j.pbb.2003.10.016
15,"Hernandez, RA; de las Matas, MJS; Arriagada, C; Barcia, C; Caviedes, P; Herrero, MT; Segura-Aguilar, J",MPP(+)-induced degeneration is potentiated by dicoumarol in cultures of the RCSN-3 dopaminergic cell line. Implications of neuromelanin in oxidative metabolism of dopamine neurotoxicity,2003,NEUROTOXICITY RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/BF03033169,10.1007/BF03033169
16,"Diaz-Veliz, G;Mora, S;Dossi, MT;Gomez, P;Arriagada, C;Montiel, J;Aboitiz, F;Segura-Aguilar, J",Behavioral effects of aminochrome and dopachrome injected in the rat substantia nigra,2002,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/S0091-3057(02)00923-1,10.1016/S0091-3057(02)00923-1
17,"Allen, DD;Cardenas, AM;Arriagada, C;Bennett, LB;Garcia, CJ;Caviedes, R;Rapoport, SI;Caviedes, P","A dorsal root ganglia cell line derived from trisomy 16 fetal mice, a model for Down syndrome",2002,NEUROREPORT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/00001756-200203250-00027,10.1097/00001756-200203250-00027
18,"Cardenas, AM;Arriagada, C;Allen, DD;Caviedes, R;Cortes, JF;Martin, J;Couve, E;Rapoport, SI;Shimahara, T;Cavides, P","Cell lines derived from hippocampal neurons of the normal and trisomy 16 mouse fetus (a model for Down syndrome) exhibit neuronal markers, cholinergic function, and functional neurotransmitter receptors",2002,EXPERIMENTAL NEUROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1006/exnr.2002.7957,10.1006/exnr.2002.7957
19,"Cardenas, AM;Allen, DD;Arriagada, C;Olivares, A;Bennett, LB;Caviedes, R;Dagnino-Subiabre, A;Mendoza, IE;Segura-Aguilar, J;Rapoport, SI;Caviedes, P","Establishment and characterization of immortalized neuronal cell lines derived from the spinal cord of normal and trisomy 16 fetal mice, an animal model of Down syndrome",2002,JOURNAL OF NEUROSCIENCE RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jnr.10205,10.1002/jnr.10205
20,"Segura-Aguilar, J;Arriagada, C;Dagnino-Subiabre, A;Caviedes, P;Armero, JM;Caviedes, R;Baez, S",The possible role of one-electron reduction of aminochrome in the neurodegeneration of the dopaminergic systems and the neuroprotective role of DT-diaphorase,2000,JOURNAL OF PHYSIOLOGY-LONDON,ISI/UCH/VID,,
21,"Arriagada, C; Olivares, A; Alvarez, RM; Rapoport, SI; Caviedes, R; Cardenas, AM; Caviedes, P","Morphological characterization and intracellular calcium signals in cell lines derived from the spinal cord of normal and trisomy 16 fetal mice, an animal model of human Down's syndrome",2000,JOURNAL OF PHYSIOLOGY-LONDON,ISI/UCH/VID,,
