,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1241629,Preoperative Nicotinamide supplementation prevents cognitive impairment by reducing neuroinflammation and metabolic failure after surgery in older adults,01/08/2023,01/08/2023,"F. Salech / M. Behrens, R. Bravo, R. Díaz, G. Barrientos",Departamento de Neurociencias,FONDECYT,Regular
1,1221354,The role of cholinergic activity in increasing the sensitivity to the effect of GABAA receptors-dependent general anesthetics in cognitive impairment and brain damage both in humans and mice,01/10/2021,01/10/2026,"A. Penna / J. Egaña, R. Gutiérrez, M. Behrens",Servicio de Anestesiología,FONDECYT,Regular
2,SA22I0146,Disfunción endotelial como predictor de Injuria miocárdica tras cirugía no cardiaca (MINS): Una potencial herramienta predictora al alcance de todos,01/09/2022,01/09/2024,"F. Maldonado / A. Parra, D. Varela, R. González, M. Cáceres, J. Egaña, M. Llancaqueo, F. Medina, S. Bustamante",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
3,1210632,Role of GABAergic general anesthetics on spatial memory impairment in humans unrelated to surgical injury,01/08/2020,01/08/2020,"A. Penna / J. Valdés, M. Behrens, J. Egaña",Departamento de Anestesiología y Reanimación,FONDECYT,Regular
4,ID21I10289,"Sistema de telerrehabilitación guiado por electrogoniometría, lúdico y de bajo costo, para la recuperación funcional posterior a una artroplastía de rodilla en personas mayores",01/09/2021,01/09/2023,"H. Manzur / F. Salech, M. Barahona, J. Egaña, C. Devia, A. Penna, C. Cruz",Centro de Diagnóstico,FONDEF,IDEA
5,IT21I0041,Software cuantifica el poder relativo de alfa para determinar elriesgo de delirium postoperatorio,01/11/2022,01/11/2024,"J. Egaña / A. Penna, F. Salech, C. Devia, R. Gutiérrez, C. Briceño, F. Maldonado, E. Álvarez",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
6,ID21I10193,Desarrollo de un prototipo mínimo viable para la administración automatizada mediante lazo cerrado de propofol para la sedación profunda en pacientes en ventilación mecánica invasiva en unidades de pacientes críticos,01/09/2021,01/09/2023,"A. Penna / J. Egaña, R. Gutiérrez, V. Rojas, A. Stutzin",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
7,SA20I0075,Una nueva y sencilla herramienta predictiva para mejorar el diagnóstico oportuno de los pacientes con injuria miocárdica postcirugía no cardiaca,01/04/2020,01/04/2020,"F. Maldonado / J. Egaña, A. Penna, R. Gutiérrez, R. González",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
8,1201165,Role of GABAergic general anesthetics on spatial memory impairment in humans unrelated to surgical injury,01/07/2019,01/07/2019,"A. Penna / J. Valdés, M. Behrens, J. Egaña",Departamento de Anestesiología y Reanimación,FONDECYT,Regular
9,1191678,Cognitive impairment of elderly patients is revealed in the electroencephalographic activity under general anesthesia depending on the density of GABAA receptors in the brain,01/09/2018,01/09/2018,"A. Penna / M. Behrens, J. Egaña, G. Farías",Servicio de Anestesiología,FONDECYT,Regular
10,ID19I10345,Software cuantifica el poder relativo de alfa para determinar el riesgo de delirium postoperatorio,01/08/2019,01/08/2021,"J. Egaña / A. Penna, R. Gutiérrez, E. Álvarez, F. Maldonado, C. Briceño, F. Salech",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
11,11191098,Effects of opioid-induced analgesia on electroencephalographic markers of pain perception,01/04/2019,01/04/2019,J. Egaña,Servicio de Anestesiología,FONDECYT,Iniciación en Investigación
12,1180497,Development of integrated pharmacological models based on new nociception indices to improve opioids administration in surgical patients,01/07/2017,01/07/2017,J. Egaña,PUC. Depto. de Anatomía Normal,FONDECYT,Regular
13,11170668,Effects of opioid-induced analgesia on electroencephalographic markers of pain perception,01/06/2017,01/06/2017,J. Egaña,Servicio de Anestesiología,FONDECYT,Iniciación en Investigación
14,11160681,Effects of opioid-induced analgesia on electroencephalographic markers of pain perception,01/06/2016,01/06/2016,J. Egaña,Servicio de Anestesiología,FONDECYT,Iniciación en Investigación
15,11150565,Effects of opioid-induced analgesia on electroencephalographic markers of pain perception,01/06/2015,01/06/2015,J. Egaña,Servicio de Anestesiología,FONDECYT,Iniciación en Investigación
16,REDES150150,"Latin American Seminar+Workshop: ""Analysis Tools in Time-Series Studies""",01/12/2015,01/06/2017,J. Egaña,Instituto de Ciencias Biomédicas,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
17,3130603,Evoked and induced brain activity during free visual exploration of natural images in schizophrenia: A study of mechanisms of disease and biomarkers,01/10/2012,01/10/2012,J. Egaña / H. Silva,Programa de Fisiología y Biofísica,FONDECYT,Postdoctorado
18,3120224,Electroencephalic activity and eye movement recordings during free visual exploration of natural images in schizophrenic patients.,01/03/2012,01/03/2012,J. Egaña / P. Maldonado,Instituto de Ciencias Biomédicas,FONDECYT,Postdoctorado
19,11230936,Association between intra-operative EEG nociceptive event-related potential (ERP) features and early postoperative pain,01/03/2023,01/03/2026,R. Gutiérrez,Departamento de Anestesiología y Reanimación,FONDECYT,Iniciación en Investigación
20,1221354,The role of cholinergic activity in increasing the sensitivity to the effect of GABAA receptors-dependent general anesthetics in cognitive impairment and brain damage both in humans and mice,01/10/2021,01/10/2026,"A. Penna / J. Egaña, R. Gutiérrez, M. Behrens",Servicio de Anestesiología,FONDECYT,Regular
21,IT21I0041,Software cuantifica el poder relativo de alfa para determinar elriesgo de delirium postoperatorio,01/11/2022,01/11/2024,"J. Egaña / A. Penna, F. Salech, C. Devia, R. Gutiérrez, C. Briceño, F. Maldonado, E. Álvarez",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
22,ID21I10193,Desarrollo de un prototipo mínimo viable para la administración automatizada mediante lazo cerrado de propofol para la sedación profunda en pacientes en ventilación mecánica invasiva en unidades de pacientes críticos,01/09/2021,01/09/2023,"A. Penna / J. Egaña, R. Gutiérrez, V. Rojas, A. Stutzin",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
23,SA21I0036,Determinación de la incidencia y caracterización de los factores que condicionan el riesgo de desarrollar dolor crónico a los 90 días postoperatorios en mujeres embarazadas sometidas a cirugía de cesárea en Chile,01/04/2021,01/04/2021,"A. Jankelevich / R. Gutiérrez, F. Reyes, G. Oñate",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
24,COVID0349,"Protocolo de sedo-analgesia profunda guiada mediante electroencefalografía disminuye los días de ventilación mecánica en pacientes con COVID-19: Ensayo Clínico Aleatorizado
",01/10/2020,01/10/2021,R. Gutiérrez,Departamento de Anestesiología y Reanimación,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
25,SA20I0038,Optimización de un programa de prehabilitación mejora la funcionalidad postoperatoria de adultos mayores sometidos a cirugía abdominal mayor oncológica: Ensayo clínico randomizado,01/04/2020,01/04/2020,"A. Penna / V. Rojas, C. Briceño, A. Sanguineti, R. Gutiérrez, F. Salech, F. Reyes, C. Alzola, K. Papapietro",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
26,SA20I0075,Una nueva y sencilla herramienta predictiva para mejorar el diagnóstico oportuno de los pacientes con injuria miocárdica postcirugía no cardiaca,01/04/2020,01/04/2020,"F. Maldonado / J. Egaña, A. Penna, R. Gutiérrez, R. González",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
27,ID19I10345,Software cuantifica el poder relativo de alfa para determinar el riesgo de delirium postoperatorio,01/08/2019,01/08/2021,"J. Egaña / A. Penna, R. Gutiérrez, E. Álvarez, F. Maldonado, C. Briceño, F. Salech",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
28,SA19I0123,Disminución de la mortalidad y aumento de la adherencia a estándares de cuidado perioperatorio en cirugía abdominal de urgencia a través de un programa de mejoramiento de calidad participativo,01/03/2019,01/03/2019,"R. Gutiérrez / E. Grasset, M. Martínez, A. Penna, G. Oñate, A. Fuentes, R. Cornejo, C. Cortés, V. Zapata, V. Rojas, F. Reyes",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
29,SA21I0036,Determinación de la incidencia y caracterización de los factores que condicionan el riesgo de desarrollar dolor crónico a los 90 días postoperatorios en mujeres embarazadas sometidas a cirugía de cesárea en Chile,01/04/2021,01/04/2021,"A. Jankelevich / R. Gutiérrez, F. Reyes, G. Oñate",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
30,SA19I0123,Disminución de la mortalidad y aumento de la adherencia a estándares de cuidado perioperatorio en cirugía abdominal de urgencia a través de un programa de mejoramiento de calidad participativo,01/03/2019,01/03/2019,"R. Gutiérrez / E. Grasset, M. Martínez, A. Penna, G. Oñate, A. Fuentes, R. Cornejo, C. Cortés, V. Zapata, V. Rojas, F. Reyes",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
31,SA23I0059,Suplementación con vitamina D previene la disfunción cognitiva post-operatoria en personas mayores: Estudio clínico aleatorizado,01/05/2023,01/05/2023,"C. San Martín / A. Penna, M. Behrens, F. Salech, V. Rojas, D. Adjemian",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
32,3230738,Rol de la neuroinflamación en la hiperactividad patológica temprana en modelos de enfermedad de Alzheimer,01/03/2023,01/03/2023,A. Penna,Departamento de Anestesiología y Reanimación,FONDECYT,Postdoctorado
33,1221354,The role of cholinergic activity in increasing the sensitivity to the effect of GABAA receptors-dependent general anesthetics in cognitive impairment and brain damage both in humans and mice,01/10/2021,01/10/2026,"A. Penna / J. Egaña, R. Gutiérrez, M. Behrens",Servicio de Anestesiología,FONDECYT,Regular
34,SA22I0025,Suplementación con vitamina D previene la disfunción cognitivapostoperatoria en adultos mayores: Estudio clínico aleatorizado,01/06/2022,01/06/2022,"C. San Martín / V. Rojas, A. Penna",Departamento de Neurología y Neurocirugía Norte,CONICYT/MINSAL,FONIS-Proyectos I&D
