,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Raggio M., Donoso A.M.",Orotracheal tube and Laryngeal mask airway in the pediatric patient optimizing it¿s use,2022,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv5106061411,10.25237/revchilanestv5106061411
1,"Donoso, AM; Faundes, V; Falcon, F; Esparza, P; Maldonado, PE",Olfactory or auditory stimulation and their hedonic values differentially modulate visual working memory,2008,BIOLOGICAL RESEARCH,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0716-97602008000400003,10.4067/S0716-97602008000400003
2,"Farías, María Magdalena; Saavedra, Javiera; Baeza, Ricardo; Díaz, Rodrigo",Cumplimiento de los objetivos nutricionales durante el uso de Dispositivos de Asistencia Ventricular,2023,REVISTA CHILENA DE CARDIOLOGIA,/UCH/VID,http://dx.doi.org/10.4067/S0718-85602023000100014 ,10.4067/S0718-85602023000100014 
3,"Martinez, D; Diaz, R; Rufs, J; Fajardo, C; Valverde, C; Salech, F",Pediatric Extracorporeal Membrane Oxygenation (ECMO) Transport in a Developing Nation: A Single Center Experience,2022,ASAIO JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/MAT.0000000000001567,10.1097/MAT.0000000000001567
4,"Daniela, M; Felipe, S; Van Nicolette, SJ; Tomas, R; Eli, V; Jorge, R; Christian, F; Roberto, C; Jose, I; Luisa, D; Rodrigo, D",Mobile ECMO in COVID-19 patient: case report,2021,JOURNAL OF ARTIFICIAL ORGANS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10047-020-01209-5,10.1007/s10047-020-01209-5
5,"Diaz, AA; Morales, A; Diaz, JC; Ramos, C; Klaassen, J; Saldias, F; Aravena, C; Diaz, R; Lisboa, C; Washko, GR; Diaz, O",CT and physiologic determinants of dyspnea and exercise capacity during the six-minute walk test in mild COPD,2013,RESPIRATORY MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.rmed.2012.12.011,10.1016/j.rmed.2012.12.011
6,"Fernandez, P; Munoz, P; Fischer, D; Mendez, F; Florenzano, M; Valdes, S; Parada, MT; Fica, M; Rodriguez, P; Diaz, R; Rufs, J",Bridge to lung transplantation with a novel pumpless lung assist device. Report of one case,2009,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872009001000013,10.4067/S0034-98872009001000013
7,"Alvarez, EA; Rojas, VA; Caipo, LI; Galaz, MM; Ponce, DP; Gutierrez, RG; Salech, F; Tobar, E; Reyes, FI; Vergara, RC; Egana, JI; Briceno, CA; Penna, A",Non-pharmacological prevention of postoperative delirium by occupational therapy teams: A randomized clinical trial,2023,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2023.1099594,10.3389/fmed.2023.1099594
8,"Koch S., Egaña J.I., Penna A., Orser B.A., Purdon P.L., Gutiérrez R.",Editorial: Innovative approaches for assessing and improving perioperative neurocognitive disorders,2022,FRONTIERS IN AGING NEUROSCIENCE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3389/fnagi.2022.1098250,10.3389/fnagi.2022.1098250
9,"Tobar, E; Farias, JI; Rojas, V; Penna, A; Egana, JI; Ponce, D; Bravo, D; Maldonado, F; Gajardo, A; Gutierrez, R",Electroencephalography spectral edge frequency and suppression rate-guided sedation in patients with COVID-19: A randomized controlled trial,2022,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2022.1013430,10.3389/fmed.2022.1013430
10,"Montefusco-Siegmund, R; Schwalm, M; Jubal, ER; Devia, C; Egana, JI; Maldonado, PE",Alpha EEG Activity and Pupil Diameter Coupling during Inactive Wakefulness in Humans,2022,ENEURO,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1523/ENEURO.0060-21.2022,10.1523/ENEURO.0060-21.2022
11,"Gutierrez, R; Maldonado, F; Egana, JI; Penna, A",Electroencephalographic Alpha and Delta Oscillation Dynamics in Response to Increasing Doses of Propofol,2022,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/ANA.0000000000000733,10.1097/ANA.0000000000000733
12,"Gutiérrez R.G., Egaña J.I., Maldonado F.A., Sáez I.A., Reyes F.I., Soulat H., Purdon P.L., Penna A.",Association Between Lower Preoperative Cognition With Intraoperative Electroencephalographic Features Consistent With Deep States of Anesthesia in Older Patients: An Observational Cohort Study,2021,ANESTHESIA AND ANALGESIA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1213/ANE.0000000000005262,10.1213/ANE.0000000000005262
13,"Varas, V; Bertinelli, P; Carrasco, P; Souper, N; Alvarez, P; Danilla, S; Egana, JI; Penna, A; Sepulveda, S; Arancibia, V; Alvarez, MG; Vergara, R",Intraoperative Ketamine and Magnesium Therapy to Control Postoperative Pain After Abdominoplasty and/or Liposuction: A Clinical Randomized Trial,2020,JOURNAL OF PAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2147/JPR.S276710,10.2147/JPR.S276710
14,"Aranda F., Aliste J., Altermatt F., Alvarez J.P., Bernucci F., Bruhn A., Cabrera M.C., Carrasco E., Castillo R., De La Fuente R., Díaz R., Egaña J.I., González R., Honorato T., Lacassie H.J., López M., Merino W., Penna A., Pizarro F., Torres D., Rocco C., Bruhn A., Acuña D., Regueira T.",Recommendations for the management of patients with COVID-19 with therapeutic indication for mechanical ventilation that are eventually connected to anesthesia machines,2020,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV49N03.09,10.25237/REVCHILANESTV49N03.09
15,"Devia, C; Egana, J; Mayol-Troncoso, R; Vidal, GO; Maldonado, P",EVENT RELATED POTENTIALS (ERPS) DURING FREE VIEWING OF IMAGES WITH INCREASING SEMANTIC COMPLEXITY IN SUBJECTS' AFFECTED WITH SCHIZOPHRENIA,2020,SCHIZOPHRENIA BULLETIN,ISI/UCH/VID,http://dx.doi.org/10.1093/schbul/sbaa029.691,10.1093/schbul/sbaa029.691
16,"Sepulveda, P; Cortinez, LI; Irani, M; Egana, JI; Contreras, V; Corzo, AS; Acosta, I; Sitaram, R",Differential frontal alpha oscillations and mechanisms underlying loss of consciousness: a comparison between slow and fast propofol infusion rates,2020,ANAESTHESIA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/anae.14885,10.1111/anae.14885
17,"Gutierrez, R; Egana, JI; Saez, I; Reyes, F; Briceno, C; Venegas, M; Lavado, I; Penna, A",Intraoperative Low Alpha Power in the Electroencephalogram Is Associated With Postoperative Subsyndromal Delirium,2019,FRONTIERS IN SYSTEMS NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnsys.2019.00056,10.3389/fnsys.2019.00056
18,"Gutierrez, R; Contreras, F; Blanch, A; Bravo, D; Egana, JI; Rappoport, D; Cabane, P; Rodriguez, F; Penna, A",	Remifentanil-Induced Secondary Hyperalgesia Is Not Prevented By Preoperative Acetazolamide Administration In Patients Undergoing Total Thyroidectomy: A Randomized Controlled Trial,2019,JOURNAL OF PAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2147/JPR.S221131,10.2147/JPR.S221131
19,"Gutierrez, R; Egana, JI; Saez, I; Reyes, F; Briceno, C; Venegas, M; Lavado, I; Penna, A",LOW ALPHA POWER FROM ELECTROENCEPHALOGRAPHIC ACTIVITY IS ASSOCIATED WITH THE DEVELOPMENT OF ACUTE CONFUSIONAL STATE,2019,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
20,"Gutierrez, R; Contreras, F; Blanch, A; Egana, JI; Bravo, D; Rappoport, D; Cabane, P; Gac, P; Rodriguez, F; Penna, A",REMIFENTANIL-INDUCED HYPERALGESIA IS NOT PREVENTED BY ACETAZOLAMIDE IN PATIENTS UNDERGOING TOTAL THYROIDECTOMY,2019,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
21,"Devia, C; Mayol-Troncoso, R; Parrini, J; Orellana, G; Ruiz, A; Maldonado, PE; Egana, JI",EEG Classification during Scene Free-Viewing for Schizophrenia Detection,2019,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TNSRE.2019.2913799,10.1109/TNSRE.2019.2913799
22,"Vergara, RC; Moenne-Loccoz, C; Avalos, C; Egana, J; Maldonado, PE",Finger Temperature: A Psychophysiological Assessment of the Attentional State,2019,FRONTIERS IN HUMAN NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnhum.2019.00066,10.3389/fnhum.2019.00066
23,"Gutierrez, R; Reyes, F; Saez, I; Briceno, C; Egana, JI; Penna, A",A LOWER RATIO OF ALPHA AND DELTA FREQUENCY IN THE ELECTROENCEPHALOGRAPHIC ACTIVITY DURING A SURGERY UNDER GENERAL ANESTHESIA IS ASSOCIATED WITH LOW PREOPERATIVE COGNITIVE PERFORMANCE IN OLDER PATIENTS,2018,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
24,"Rivera-Lillo, G; Rojas-Libano, D; Burgos, P; Egana, JI; Chennu, S; Maldonado, PE",Reduced delta-band modulation underlies the loss of P300 responses in disorders of consciousness,2018,CLINICAL NEUROPHYSIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.clinph.2018.09.104,10.1016/j.clinph.2018.09.104
25,"Tomic J.I.E., Soler P.F., Esperidión C.J., Schnettler Á.J., Caniulao F.M., Silva A.P., Urrutia W.M.",Recomendación Clínica: Disponibilidad y Uso de Monitorización Perioperatoria,2018,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv47n02.12,10.25237/revchilanestv47n02.12
26,"Rojas-Libano, D;Frederick, DE;Egana, JI;Kay, LM",The olfactory bulb theta rhythm follows all frequencies of diaphragmatic respiration in the freely behaving rat,2014,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnbeh.2014.00214,10.3389/fnbeh.2014.00214
27,"Egaña, J.I., Devia, C., Mayol, R., Parrini, J., Orellana, G., Ruiz, A., Maldonado, P.E.",Small saccades and image complexity during free viewing of natural images in schizophrenia,2013,FRONTIERS IN PSYCHIATRY,SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyt.2013.00037,10.3389/fpsyt.2013.00037
28," Egana, JI; Aylwin, ML; Maldonado, PE",Odor response properties of neighboring mitral/tufted cells in the rat olfactory bulb,2005,NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/ 10.1016/j.neuroscience.2005.04.027, 10.1016/j.neuroscience.2005.04.027
29,"Alvarez, EA; Rojas, VA; Caipo, LI; Galaz, MM; Ponce, DP; Gutierrez, RG; Salech, F; Tobar, E; Reyes, FI; Vergara, RC; Egana, JI; Briceno, CA; Penna, A",Non-pharmacological prevention of postoperative delirium by occupational therapy teams: A randomized clinical trial,2023,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2023.1099594,10.3389/fmed.2023.1099594
30,"Jankelevich A., Carmona C., Gutiérrez R., Reyes F., Ásfora C., Oñate G., Astele F.",An unknown problem chronic Pain post cesarean section,2022,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV5130111514,10.25237/REVCHILANESTV5130111514
31,"Koch S., Egaña J.I., Penna A., Orser B.A., Purdon P.L., Gutiérrez R.",Editorial: Innovative approaches for assessing and improving perioperative neurocognitive disorders,2022,FRONTIERS IN AGING NEUROSCIENCE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3389/fnagi.2022.1098250,10.3389/fnagi.2022.1098250
32,"Chao, JY; Gutierrez, R; Legatt, AD; Yozawitz, EG; Lo, YT; Adams, DC; Delphin, ES; Shinnar, S; Purdon, PL",Decreased Electroencephalographic Alpha Power during Anesthesia Induction Is Associated with EEG Discontinuity in Human Infants,2022,ANESTHESIA AND ANALGESIA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1213/ANE.0000000000005864,10.1213/ANE.0000000000005864
33,"Tobar, E; Farias, JI; Rojas, V; Penna, A; Egana, JI; Ponce, D; Bravo, D; Maldonado, F; Gajardo, A; Gutierrez, R",Electroencephalography spectral edge frequency and suppression rate-guided sedation in patients with COVID-19: A randomized controlled trial,2022,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2022.1013430,10.3389/fmed.2022.1013430
34,"Maldonado, F; Morales, D; Diaz-Papapietro, C; Valdes, C; Fernandez, C; Valls, N; Lazo, M; Espinoza, C; Gonzalez, R; Gutierrez, R; Jara, A; Romero, C; Cerda, O; Caceres, M",Relationship Between Endothelial and Angiogenesis Biomarkers Envisage Mortality in a Prospective Cohort of COVID-19 Patients Requiring Respiratory Support,2022,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2022.826218,10.3389/fmed.2022.826218
35,"Gutierrez, R; Maldonado, F; Egana, JI; Penna, A",Electroencephalographic Alpha and Delta Oscillation Dynamics in Response to Increasing Doses of Propofol,2022,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/ANA.0000000000000733,10.1097/ANA.0000000000000733
36,"Castillo, JL; Reyes, P; Gutierrez, R; Matamala, JM; Segovia, L; Menendez, P; Torres, C; Cid, R; Bustamante, G; Feuerhake, W",Quantitative electroencephalogram for prediction of delayed ischemia in subarachnoid haemorrhage. Report of one case,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872021000901377,10.4067/S0034-98872021000901377
37,"Gutiérrez R.G., Egaña J.I., Maldonado F.A., Sáez I.A., Reyes F.I., Soulat H., Purdon P.L., Penna A.",Association Between Lower Preoperative Cognition With Intraoperative Electroencephalographic Features Consistent With Deep States of Anesthesia in Older Patients: An Observational Cohort Study,2021,ANESTHESIA AND ANALGESIA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1213/ANE.0000000000005262,10.1213/ANE.0000000000005262
38,"Ebner P., Rumie A., González F., Gutiérrez R., Penna A.",One-year postoperative mortality in a cohort of older patients,2021,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV50N03-05,10.25237/REVCHILANESTV50N03-05
39,"Maldonado, F; Morales, D; Gutierrez, R; Barahona, M; Cerda, O; Caceres, M",Effect of sevoflurane and propofol on tourniquet-induced endothelial damage: a pilot randomized controlled trial for knee-ligament surgery,2020,BMC ANESTHESIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12871-020-01030-w,10.1186/s12871-020-01030-w
40,"Gutierrez, R; Egana, JI; Saez, I; Reyes, F; Briceno, C; Venegas, M; Lavado, I; Penna, A",Intraoperative Low Alpha Power in the Electroencephalogram Is Associated With Postoperative Subsyndromal Delirium,2019,FRONTIERS IN SYSTEMS NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnsys.2019.00056,10.3389/fnsys.2019.00056
41,"Gutierrez, R; Contreras, F; Blanch, A; Bravo, D; Egana, JI; Rappoport, D; Cabane, P; Rodriguez, F; Penna, A",	Remifentanil-Induced Secondary Hyperalgesia Is Not Prevented By Preoperative Acetazolamide Administration In Patients Undergoing Total Thyroidectomy: A Randomized Controlled Trial,2019,JOURNAL OF PAIN RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2147/JPR.S221131,10.2147/JPR.S221131
42,"Gutierrez, R; Egana, JI; Saez, I; Reyes, F; Briceno, C; Venegas, M; Lavado, I; Penna, A",LOW ALPHA POWER FROM ELECTROENCEPHALOGRAPHIC ACTIVITY IS ASSOCIATED WITH THE DEVELOPMENT OF ACUTE CONFUSIONAL STATE,2019,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
43,"Gutierrez, R; Contreras, F; Blanch, A; Egana, JI; Bravo, D; Rappoport, D; Cabane, P; Gac, P; Rodriguez, F; Penna, A",REMIFENTANIL-INDUCED HYPERALGESIA IS NOT PREVENTED BY ACETAZOLAMIDE IN PATIENTS UNDERGOING TOTAL THYROIDECTOMY,2019,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
44,"Fernandez-Gajardo, R; Matamala, JM; Gutierrez, R; Lozano, P; Cortes-Fuentes, IA; Sotomayor, CG; Bustamante, G; Pasten, JA; Vargas, G; Guerrero, R; Reyes, P; Cavada, G; Feuerhake, W; Rodrigo, R",Relationship between infarct size and serum uric acid levels during the acute phase of stroke,2019,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0219402,10.1371/journal.pone.0219402
45,"Gutierrez, RG; Reyes, FI; Penna, A",Delirium in the post-anesthesia care unit may be associated with the development of postoperative delirium in a cohort of elderly patients,2019,MINERVA ANESTESIOLOGICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.23736/S0375-9393.18.13304-9,10.23736/S0375-9393.18.13304-9
46,"Gutierrez, R; Reyes, F; Saez, I; Briceno, C; Egana, JI; Penna, A",A LOWER RATIO OF ALPHA AND DELTA FREQUENCY IN THE ELECTROENCEPHALOGRAPHIC ACTIVITY DURING A SURGERY UNDER GENERAL ANESTHESIA IS ASSOCIATED WITH LOW PREOPERATIVE COGNITIVE PERFORMANCE IN OLDER PATIENTS,2018,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
47,"Becerra, CB; Guerra, ED; Rojas, RG; Montero, JG; Cordero, MP; Salinas, RR; Yanez, PB",Placental Hypoxia Developed During Preeclampsia Induces Telocytes Apoptosis in Chorionic Villi Affecting The Maternal-Fetus Metabolic Exchange,2016,CURRENT STEM CELL RESEARCH & THERAPY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2174/1574888X10666150202144855,10.2174/1574888X10666150202144855
48,"Bosco, C; Diaz, E; Gutierrez, R; Gonzalez, J; Parra-Cordero, M; Rodrigo, R; Barja, P",A putative role for telocytes in placental barrier impairment during preeclampsia,2015,MEDICAL HYPOTHESES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.mehy.2014.11.019,10.1016/j.mehy.2014.11.019
49,"Fernandez-Gajardo, R; Matamala, JM; Carrasco, R; Gutierrez, R; Melo, R; Rodrigo, R",Novel Therapeutic Strategies for Traumatic Brain Injury: Acute Antioxidant Reinforcement,2014,CNS DRUGS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s40263-013-0138-y,10.1007/s40263-013-0138-y
50,"Bosco Becerra, Cleofina; González Montero, Jaime; Gutiérrez Rojas, Rodrigo; Rodrigo Salinas, Ramón",The role of nitric oxide in placental function,2013,"The Placenta: Development, Function and Diseases",SCOPUS/UCH/VID,,
51,"Bosco Becerra, Cleofina; Gutiérrez Rojas, Rodrigo; González Montero, Jaime; Díaz Guerra, Eugenia; Rodrigo Salinas, Ramón","Role of placental hypoxia, oxidative stress and alcohol exposure in fetal development",2013,"The Placenta: Development, Function and Diseases",SCOPUS/UCH/VID,,
52,"Bosco Becerra, Cleofina; Díaz Guerra, Eugenia; Gutiérrez Rojas, Rodrigo; González Montero, Jaime; Rodrigo Salinas, Ramón",Relationship between placenta-preeclampsia and the long term clinical outcome in adult offspring,2013,"The Placenta: Development, Function and Diseases",SCOPUS/UCH/VID,,
53,"Bosco, C;Diaz, E;Gutierrez, R;Gonzalez, J;Perez, J",Ganglionar nervous cells and telocytes in the pancreas of Octodon degus Extra and intrapancreatic ganglionar cells and telocytes in the degus,2013,AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.autneu.2013.05.002,10.1016/j.autneu.2013.05.002
54,"Rodrigo, R;Fernandez-Gajardo, R;Gutierrez, R;Matamala, JM;Carrasco, R;Miranda-Merchak, A;Feuerhake, W",Oxidative Stress and Pathophysiology of Ischemic Stroke: Novel Therapeutic Opportunities,2013,CNS & NEUROLOGICAL DISORDERS-DRUG TARGETS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.2174/1871527311312050015,10.2174/1871527311312050015
55,"Rodrigo, R., Miranda-Merchak, A., Gutiérrez, R., Fernández, R.",New insights in ischemic stroke: Role of antioxidant supplementation,2012,Handbook on Oxidative Stress New Research,SCOPUS/UCH/VID,,
56,"Bosco, C; Gonzalez, J; Gutierrez, R; Parra-Cordero, M; Barja, P; Rodrigo, R","Oxidative damage to pre-eclamptic placenta: immunohistochemical expression of VEGF, nitrotyrosine residues and von Willebrand factor",2012,JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3109/14767058.2012.695823,10.3109/14767058.2012.695823
57,"Rodrigo, R; Gutierrez, R; Fernandez, R; Guzman, P",Ageing improves the antioxidant response against postoperative atrial fibrillation: a randomized controlled trial,2012,INTERACTIVE CARDIOVASCULAR AND THORACIC SURGERY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1093/icvts/ivs154,10.1093/icvts/ivs154
58,"Parra-Cordero, M ; Bosco, C ; Gonzalez, J ; Gutierrez, R ; Barja, P ; Rodrigo, R",Immunohistochemical expression of von Willebrand factor in the preeclamptic placenta,2011,JOURNAL OF MOLECULAR HISTOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s10735-011-9351-5,10.1007/s10735-011-9351-5
59,"Alvarez, EA; Rojas, VA; Caipo, LI; Galaz, MM; Ponce, DP; Gutierrez, RG; Salech, F; Tobar, E; Reyes, FI; Vergara, RC; Egana, JI; Briceno, CA; Penna, A",Non-pharmacological prevention of postoperative delirium by occupational therapy teams: A randomized clinical trial,2023,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2023.1099594,10.3389/fmed.2023.1099594
60,"Koch S., Egaña J.I., Penna A., Orser B.A., Purdon P.L., Gutiérrez R.",Editorial: Innovative approaches for assessing and improving perioperative neurocognitive disorders,2022,FRONTIERS IN AGING NEUROSCIENCE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3389/fnagi.2022.1098250,10.3389/fnagi.2022.1098250
61,"Tobar, E; Farias, JI; Rojas, V; Penna, A; Egana, JI; Ponce, D; Bravo, D; Maldonado, F; Gajardo, A; Gutierrez, R",Electroencephalography spectral edge frequency and suppression rate-guided sedation in patients with COVID-19: A randomized controlled trial,2022,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2022.1013430,10.3389/fmed.2022.1013430
62,"Gutierrez, R; Maldonado, F; Egana, JI; Penna, A",Electroencephalographic Alpha and Delta Oscillation Dynamics in Response to Increasing Doses of Propofol,2022,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/ANA.0000000000000733,10.1097/ANA.0000000000000733
