,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,11240350,"Sexualidad de las personas mayores, un tema emergente e invisibilizado socialmente ¿Qué saben, piensan, sienten y hacen desde lo formativo y pedagógico los estudiantes y docentes de cinco carreras de las ciencias salud en chile?",01/05/2023,01/05/2023,J. Acevedo,Departamento de Atención Primaria y Salud Familiar,FONDECYT,Iniciación en Investigación
1,SA17I0087,"Evaluación de una intervención comunitaria para mejorar la adherencia terapéutica en usuarios con diagnóstico de hipertensión arterial y/o diabetes, en centros de Atención Primaria
",01/05/2017,01/05/2017,J. Acevedo,Otras Instituciones,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA18I0081,"Caracterización de experiencias en salud intercultural: visión desde los agentes tradicionales de salud, usuarios/as, equipo de salud y agentes de la política pública en centros de Atención Primaria urbanos y rurales",01/04/2018,01/04/2018,"C. Lagos / M. Manríquez, H. Aguilera, V. Figueroa, M. Vásquez, J. Rebolledo",Departamento de Kinesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
3,FO-PRE-035,Factores que influyen en el éxito o fracaso de la implementación del modelo de salud familiar en diferentes centros de atención de pais: 2004,01/12/2004,01/12/2005,H. Aguilera,Escuela de Medicina,CONICYT/MINSAL,FONIS-Proyectos I&D
4,SA20I0005,"Evaluación de una experiencia participativa en promoción de salud con dirigentes sociales de Bajos de Mena, Comuna de Puente Alto: Aprendizajes para políticas públicas",01/04/2020,01/04/2020,"J. Prado, V. Ulloa, K. Arancibia, D. Egaña",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
5,SA18I0013,"Afrontar la diversidad: describiendo las competencias culturales en la consulta nutricional a usuarias inmigrantes internacionales en la APS municipal de la comuna de Santiago, 2018-2020",01/04/2018,01/04/2018,"D. Egaña / A. Arias Schreiber, P. Gálvez",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA19I0202,Grado de cumplimiento de los atributos esenciales de la atención primaria y nivel de resultados de salud de la población en los CESFAM de un Servicio de Salud,01/10/2019,01/10/2021,"M. Martínez / M. Fuentes, A. Fuentes, C. Bertossi",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
7,1230297,Etnogerontología del dolor: Experiencias del padecimiento en población envejecida chilena,01/07/2022,01/07/2022,M. Moya / X. Cea,Departamento de Nutrición Humana y Clínica,FONDECYT,Regular
8,1201956,Etnogerontología del dolor: Experiencias del padecimiento en el proceso de salud/enfermedad/atención en población envejecida chilena,01/08/2019,01/08/2019,M. Moya / X. Cea,Secretarías,FONDECYT,Regular
9,1240648,Unraveling the complexity in implementing the new Chilean Dietary Guidelines: a transdisciplinary and participatory food systems-based approach,01/07/2023,01/07/2023,"R. Kanter / D. Egaña, P. Gálvez, G. Lankin, C. Baginsky",Departamento de Nutrición,FONDECYT,Regular
10,1240128,Cocinar en la crisis: prácticas de alimentación en contextos de incertidumbre,01/07/2023,01/07/2023,D. Egaña,,FONDECYT,Regular
11,SA23I0077,"Estigma de peso en la atención primaria: Un estudio de métodos mixtos para contribuir a la atención en salud, en tres regiones del país",01/03/2023,01/03/2023,"P. Gálvez / K. Basfi-Fer, D. Egaña",Departamento de Nutrición,CONICYT/MINSAL,FONIS-Proyectos I&D
12,1230545,Practices and interactions of actors in food environments: Rethinking the social determination of food,01/03/2023,01/03/2026,"P. Gálvez / C. Franch, L. Rodríguez, D. Egaña",Departamento de Nutrición,FONDECYT,Regular
13,SA20I0005,"Evaluación de una experiencia participativa en promoción de salud con dirigentes sociales de Bajos de Mena, Comuna de Puente Alto: Aprendizajes para políticas públicas",01/04/2020,01/04/2020,"J. Prado, V. Ulloa, K. Arancibia, D. Egaña",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
14,SA20I0004,Evaluando ambientes alimentarios desde el hogar: una contribución a las políticas locales,01/11/2020,01/05/2023,"D. Egaña / P. Gálvez, P. Molina, L. Rodríguez, Ã. Besoain, R. Villegas",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
15,SA19I0125,Evaluación de los ambientes alimentarios y su relación con el estado nutricional de preescolares de la Comuna de Cerro de Navia,01/03/2019,01/03/2019,"D. Egaña / P. Molina, P. Gálvez, M. Araya, L. Rodríguez",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
16,SA18I0013,"Afrontar la diversidad: describiendo las competencias culturales en la consulta nutricional a usuarias inmigrantes internacionales en la APS municipal de la comuna de Santiago, 2018-2020",01/04/2018,01/04/2018,"D. Egaña / A. Arias Schreiber, P. Gálvez",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
17,1151076,Major Cardiovascular Events and Mortality in Hypertensive patients followed in the Chilean Cardiovascular Health Program. Analysis of relations with Psychosocial characteristics and Cardiovascular Risk factors,01/03/2015,01/03/2015,D. Sandoval / D. Egaña,Escuela de Medicina,FONDECYT,Regular
18,3140115,Hacia una biografía cultural del pan en el Chile central,01/10/2013,01/10/2013,D. Egaña / S. Montecino,Departamento de Antropología,FONDECYT,Postdoctorado
19,11140321,"La importancia cultural del pan en el Chile central, y su relación con las políticas de atención primaria de salud",01/12/2014,01/12/2014,D. Egaña,Departamento de Psiquiatría y Salud Mental Sur,FONDECYT,Iniciación en Investigación
20,SA19I0214,"Mortalidad, morbilidad y eventos de violencia asociados a estrés térmico por olas de calor ocurridas en la comuna de pedro aguirre cerda",01/03/2019,01/03/2019,"C. Jara / J. Rubio, D. Sandoval, L. Cárdenas",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
