,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1201675,"Variables psicológicas asociadas a adherencia y calidad de vida en trasplantados de corazón, hígado y pulmón: un estudio longitudinal",01/08/2019,01/08/2019,A. Arriagada,Otras Instituciones,FONDECYT,Regular
1,SA17I0213,"Estudio cualitativo sobre las necesidades y barreras para la atención sanitaria de población migrante en Santiago de Chile
",01/05/2017,01/05/2017,A. Jara / A. Arriagada,Departamento de Pediatría y Cirugía Infantil Norte,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA20I0130,"Significados y prácticas de cuidado y preparación para la muerte de personas mayores en el final de la vida. Recomendaciones para cuidadores, familiares y equipos de Atención Primaria de Salud",01/08/2020,01/02/2023,"G. Huepe / M. Bascuñán, V. Aliaga, J. Rebolledo, J. Acuña",Departamento de Psiquiatría y Salud Mental Oriente,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA19I0127,"Estudio cualitativo sobre los significados y prácticas en torno al proceso de muerte: Recomendaciones para proteger la salud mental de cuidadores, familiares y equipos de APS, y mejorar la calidad de atención de personas mayores en el final de la vida",01/03/2019,01/03/2019,"G. Huepe / M. Bascuñán, J. Acuña, J. Rebolledo, V. Aliaga",Departamento de Psiquiatría y Salud Mental Oriente,CONICYT/MINSAL,FONIS-Proyectos I&D
4,FO-PRE-074,La capacidad de la persona en el contexto del consentimiento informado,01/12/2004,01/12/2004,M. Bascuñán,Departamento de Bioética y Humanidades Médicas,CONICYT/MINSAL,FONIS-Proyectos I&D
5,1040392,"La Subjetividad de los Médicos en Tiempos de Cambio: Bienestar y satisfacción de los médicos con el ejercicio de su profesión en un sistema de salud en proceso de reforma
",01/03/2004,01/03/2004,"C. Fullerton, J. Acuña, M. Bascuñán",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
6,1061099,Comprensión y legibilidad de los documentos de consentimiento informado de protocolos de investigación clínica en Chile,01/03/2006,01/03/2006,"V. Lolas, L. Risco, K. Lagos, B. Bórquez",Centro de Bioética,FONDECYT,Regular
7,623RT0148,Laboratorio iberoamericano de ética y Salud Pública (LIBERESP),01/05/2023,01/05/2026,"M. Guerrero, I. Alvarez, A. Montero, E. Águila, J. Herrera",,Prog. Iber. de Ciencia yTec. para el Des.,CYTED-Redes
8,101017716,Neurotwin. Digital twins for model-driven non-invasive electrical brain stimulation,01/03/2021,01/03/2024,M. Guerrero,Otras Instituciones,Horizon 2020,Future and emerging technologies (FET)
9,785907/945539,"""The Human Brain Project"".",01/11/2018,01/11/2023,M. Guerrero,Otras Instituciones,Horizon 2020,Future and emerging technologies (FET)
10,2018-1-DE01-KA203-004236,InterAct. Interdisciplinary Cooperation in Psychosocial Interventions:A Case on Refugees,01/03/2018,01/03/2020,M. Guerrero,Otras Instituciones,Otros Internacionales,Proyectos Internacionales
11,720270,The Human Brain Project,01/03/2016,01/03/2018,M. Guerrero,Otras Instituciones,Horizon 2020,Future and emerging technologies (FET)
12,DPI20140048,Tecnologías políticas de la memoria: Genealogía de los dispositivos de registro y denuncia por las violaciones a los derechos humanos cometidas durante la dictadura militar,01/03/2015,01/03/2018,M. Guerrero,University of Oxford,Cooperación Internacional: Proyectos bilaterales,RCUK-Reino Unido/CONICYT
13,SA22I0053,PRINCIPALES BARRERAS PARA LA ATENCIÓN DE SALUDAFIRMATIVA DE GÉNERO EN ADOLESCENTES Y JÓVENES TRANSEN CHILE: PROPUESTAS DE INTERVENCIÓN PARA LOS EQUIPOSDE SALUD,01/06/2022,01/06/2022,"C. Lüttges / M. González, G. Huepe, A. Jara",Centro de Medicina Reproductiva y Desarrollo Integral del Adolescente,CONICYT/MINSAL,FONIS-Proyectos I&D
