,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Campillay Campillay, Maggie; Araya Galleguillos, Fabián; Calle Carrasco, Ana; Dubó Araya, Pablo; Anguita Mackay, Verónica; Carrizo Zamorano, Andrea",OPINIONES DE FAMILIAS VULNERABLES SOBRE PROMOCIÓN DE LA SALUD BUCAL INFANTIL: UN ANÁLISIS DE CONTENIDO,2021,CIENCIA Y ENFERMERIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.29393/ce27-6ofmc60006,10.29393/ce27-6ofmc60006
1,"Dagnino, P; Anguita, V; Escobar, K; Cifuentes, S",Psychological Effects of Social Isolation Due to Quarantine in Chile: An Exploratory Study,2020,FRONTIERS IN PSYCHIATRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyt.2020.591142,10.3389/fpsyt.2020.591142
2,"Borquez, B; Luengo-Charath, MX; Anguita, V; Bascunan, ML; Pacheco, IM; Michaud, P; Vacarezza, R",The responsible use and dissemination of information in a pandemic: An ethical imperative,2020,REVISTA CHILENA DE PEDIATRIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.32641/rchped.vi91i5.2420,10.32641/rchped.vi91i5.2420
3,"Carrasco A.C., Jaramillo S.R., Mackay V.A., Campillay M.C.",Ethical perspective of community based rehabilitation in the Chilean context,2019,Revista de Bioetica y Derecho,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1344/rbd2019.0.21931,10.1344/rbd2019.0.21931
4,"Anguita, V;Sotomayor, MA","Confidentiality, anonimity?: the other promises of research",2011,ACTA BIOETHICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2011000200006,10.4067/S1726-569X2011000200006
5," Beca, JP; Rosselot, E; Asenjo, R; Anguita, V; Quevedo, R",Deactivating Cardiac Pacemakers and Implantable Cardioverter Defibrillators in Terminally Ill Patients,2009,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S0963180109090380,10.1017/S0963180109090380
6,"Besio, MR; Arriagada, A; Villarroel, LB; Estefo, GB; Micolich, C; Raddatz, AM; Novoa, F; Salas, SP; Salinas, RA; Valenzuela, CY",Medical teleconsultation. Analysis and recommendations from the ethics department of the Chilean medical association,2021,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872021001101614,10.4067/S0034-98872021001101614
7,"Echeverría B., Carlos; Rojas O., Alberto; Serani M., Alejandro; Arriagada U., Anamaría; Ruiz-Esquide, Gonzalo; Salinas R., Rodrigo; Taboada R., Paulina; Quintana V., Carlos; Vacarezza Y., Ricardo; Rodríguez S., María A.; Borja R., Hernán",Una reflexión ética sobre la telemedicina,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872021000600928,10.4067/s0034-98872021000600928
8,"Echeverria, C; Serani, A; Arriagada, A; Goic, A; Rojas, A; Ruiz-Esquide, G; Salinas, R; Taboada, P; Quintana, C; Vacarezza, R",Conscientious objection in medical actions,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872020000200252,10.4067/s0034-98872020000200252
9,"Salas, SP; Salinas, RA; Besio, M; Micolich, C; Arriagada, A; Raddatz, AM; Valenzuela, CY; Novoa, F; Estefo, GB",Ethical arguments for and against the participation of the medical profession in assisted death: analysis of the Ethics Department of the Chilean Medical Association,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872020000400542,10.4067/s0034-98872020000400542
