,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Contreras-Parraguez J.E., Núñez-Villegas J.C., Villao-Maridueña D., Bravo-López J.",Laparoscopic gastric plication: Long-term follow-up,2021,REVISTA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.35687/s2452-45492021006980,10.35687/s2452-45492021006980
1,"Contreras, J; Leon, P; Paoletto, C; Bravo, J; Court, I; Bravo, D; Brante, P; Marin, P",LAPAROSCOPIC WEDGE RESECTION OF GASTROJEJUNOSTOMY FOR WEIGHT RECIDIVISM AFTER GASTRIC BYPASS,2018,OBESITY SURGERY,ISI/UCH/VID,,
2,"Contreras, JE; Leon, P; Paoletto, C; Court, I; Bravo, J; Marin, P; Brante, P; Santander, C; Bravo, D",COMPARISON BETWEEN 3 MECHANICAL SUTURE LINE REINFORCEMENT TECHNIQUES IN LAPAROSCOPIC SLEEVE GASTRECTOMY,2018,OBESITY SURGERY,ISI/UCH/VID,,
3,"Contreras, JE; Santander, C; Court, I; Bravo, J; Brante, P; Marin, P",DO YOUNGER PATIENTS HAVE BETTER RESULTS AFTER BARIATRIC SURGERY?,2018,OBESITY SURGERY,ISI/UCH/VID,,
4,"Contreras, JE; Leon, P; Santander, C; Court, I; Bravo, J; Brante, P; Marin, P",INCIDENCE OF GALLSTONE FORMATION AFTER BARIATRIC SURGERY. A PROSPECTIVE STUDY AND FOLLOW UP,2018,OBESITY SURGERY,ISI/UCH/VID,,
5,"Villao, D; Contreras, J; Bravo, J; Bravo, M; Nunez, J; Cortez, J; Fluxa, P",GASTRIC PLICATION TO SLEEVE GASTRECTOMY - REVISIONAL SURGERY (video),2015,OBESITY SURGERY,ISI/UCH/VID,,
6,"Zamarin Morales, Jaime; Bravo López, Jorge; Contreras Parraguez, Juan",Hernia del espacio de Petersen: Complicación tardía del bypass gástrico laparoscópico,2014,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262014000600005,10.4067/S0718-40262014000600005
7,"Contreras, JE;Villao, D;Santander, C;Bravo, J",WHY WE ABANDON THE LAPAROSCOPIC GASTRIC PLICATION (LGP) STUDY PROTOCOL AND MID-TERM FOLLOW-UP,2014,OBESITY SURGERY,ISI/UCH/VID,,
8,"Contreras, JE;Zamarin, J;Bravo, M;Court, I;Bravo, J;Villao, D;Santander, C;Hamilton, J;Brante, P",LAPAROSCOPIC SLEEVE GASTRECTOMY (LSG): 3-6 YEAR FOLLOW-UP,2014,OBESITY SURGERY,ISI/UCH/VID,,
9,"Contreras, JE;Zamarin, J;Bravo, M;Bravo, J;Court, I;Villao, D;Santander, C;Hamilton, J;Brante, P",PETERSEN'S SPACE HERNIA: DIAGNOSIS AND TREATMENT OF A CASE SERIES,2014,OBESITY SURGERY,ISI/UCH/VID,,
