,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Abularach, R; Venturelli, F; Cerda, R; Urizar, A; Lira, E; Haito, Y; Loyola, C; Matus, C",Transverse colon interposition as an alternative to reconstruction after total esophagogastrectomy,2011,REVISTA CHILENA DE CIRUGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262011000400019,10.4067/S0718-40262011000400019
1,"Reyes, A; Siegel, S; Torres, J; Derosas, C; Acuna, F; Marine, L; Julio, R; Saavedra, C; Obando, R; Lemus, C; Schultz, C",Vessel loops for primary closure of fasciotomies,2010,REVISTA CHILENA DE CIRUGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262010000400009,10.4067/S0718-40262010000400009
2,"de Aretxabala, X; Castillo, F; Hepp, J; Munoz, S; Vivanco, M; Burgos, L; Solano, N; Rencoret, G; Roa, I",Gallbladder cancer who is really cured?,2021,HPB,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.hpb.2020.12.006,10.1016/j.hpb.2020.12.006
3,"Castillo F., de Aretxabala X., Torres-Quevedo R., Lim F., Wan B.A., Silva M.F.",Management of gallbladder cancer,2019,Journal of Pain Management,SCOPUS/UCH/VID,,
4,"Rencoret P., Guillermo; Vivanco L., Marcelo; Castillo H., Felipe A.; Schippacasse F., Giancarlo; Aretxabala U., Xabier De; Bianchi S., Víctor; Hepp K., Juan; Ríos R., Horacio",Resección hepática extendida con vena cava inferior por colangiocarcinoma intrahepático. Presentación de 2 casos,2019,REVISTA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.35687/s2452-45492019006308,10.35687/s2452-45492019006308
5,"Castillo H, Felipe; Moraga C, Javier; Pérez C, Pablo; Borel B, Claudio",Trauma cervical penetrante,2015,REVISTA CHILENA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262015000600004,10.4067/S0718-40262015000600004
6,"Alvarez Zepeda, Carlos; Pérez Castro, Pablo; Castillo Henríquez, Felipe; Sanhueza, Belén ; Ruiz Figueroa, Iván",Treatment of hemodynamically stable penetrating mediastinal gunshot wounds in chile: Comparison of 3 cases and literature review,2015,"Journal of Emergencies, Trauma and Shock",SCOPUS/UCH/VID,http://dx.doi.org/10.4103/0974-2700.150406,10.4103/0974-2700.150406
7,"Aguiló Martinez, Jorge; Matus Floody, Carlos; Leiva Peña, Luis; Pérez Castro, Pablo; Castillo Henríquez, Felipe; Vergara Martínez, Jorge; Gaete Villegas, Jorge; Alarcón T., Pablo; Donoso P., Daniel",Nefrectomía laparoscópica de donante vivo: Experiencia de 75 casos consecutivos,2015,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262015000100009,10.4067/S0718-40262015000100009
8,"Castillo Henríquez, Felipe; Moraga C., Javier; Pérez Castro, Pablo; Álvarez Z., Carlos; Iglesias B., Andrés",Diagnóstico y manejo precoz de la gangrena de Fournier,2015,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262015000200011,10.4067/S0718-40262015000200011
9,"BURDILES P, PATRICIO; JULIO A, RODRIGO; MUSLEH K, MAHER; CHIONG T, HÉCTOR; CSENDES J, ATTILA; KORN B, OWEN",Síntomas ácido-pépticos gastroesofágicos como causa de consumo de antiácidos y ácido-supresores y su asociación con el índice de masa corporal en población adulta urbana,2006,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262006000600003,10.4067/S0718-40262006000600003
10,"Maquilon, C;Chiong, H;Bello, S;Naranjo, C;Lira, P;Diaz, M",Comparative study of health care costs for patients using home oxygen therapy or those in waiting lists,2001,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872001001200005,10.4067/S0034-98872001001200005
11,"Jahr C., Silva M., Chahuán I., Cruz A., Quiroz C., Morales C.",Levamisol-adulterated cocaine thrombotic vasculopathy,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.10.010,10.1016/j.piel.2020.10.010
12,"MONTALVA N, S; FLISFISCH F, H; LENA P, L; CERDA S, R; HERNÁNDEZ F, F; MATUS F, C; RIOSECO V, M; TABILO C, P; TOLENTINO A, M; CANALES P, J; CAPONA P, R",Resultados de la colecistectomía videolaparoscópica en el adulto mayor,2007,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262007000600007,10.4067/S0718-40262007000600007
13,"Molano, JA;Rossel, G;Gonzalez, M;Plass, I",Papillary carcinoma in thyroglossal duct cyst,2013,REVISTA CHILENA DE CIRUGIA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262013000300012,10.4067/S0718-40262013000300012
14,"ROCHA A, LUIS; SUAZO L, CRISTÓBAL; GONZÁLEZ P, MIGUEL; LEE CH, KUEN; ROSSEL D, GONZALO",Hiperparatiroidismo primario y cáncer de paratiroides: Caso clínico,2010,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262010000500016,10.4067/S0718-40262010000500016
15,"ROCHA A, LUIS; NÚÑEZ B, CRISTIÁN; SUAZO L, CRISTÓBAL; GONZÁLEZ P, MIGUEL",Tromboflebitis séptica de la vena yugular interna o síndrome de Lemierre,2010,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262010000500002,10.4067/S0718-40262010000500002
16,"ZAMORANO S,R; ROCHA A,L; NÚÑEZ B,C; ESPÍNOLA MJ,D; HAITO CH,Y; GONZÁLEZ P,M",Ameloblastoma mandibular muy agresivo,2008,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262008000400014,10.4067/S0718-40262008000400014
17,"Alvarez, C; Cerda, C; Jadue, A; Rojas, F; Abelleira, M; Hermansen, C; Gatica, F",Spontaneous retroperitoneal hematoma. Report of one case,2007,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872007000800013,10.4067/S0034-98872007000800013
18,"Aguiló Martinez, Jorge; Matus Floody, Carlos; Leiva Peña, Luis; Pérez Castro, Pablo; Castillo Henríquez, Felipe; Vergara Martínez, Jorge; Gaete Villegas, Jorge; Alarcón T., Pablo; Donoso P., Daniel",Nefrectomía laparoscópica de donante vivo: Experiencia de 75 casos consecutivos,2015,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262015000100009,10.4067/S0718-40262015000100009
19,"MONTALVA N, S; FLISFISCH F, H; LENA P, L; CERDA S, R; HERNÁNDEZ F, F; MATUS F, C; RIOSECO V, M; TABILO C, P; TOLENTINO A, M; CANALES P, J; CAPONA P, R",Resultados de la colecistectomía videolaparoscópica en el adulto mayor,2007,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262007000600007,10.4067/S0718-40262007000600007
