,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"García-Cárdenas C., Jara-Meza F., Aldunce-Soto M.J.",Retronychia: A cause of acute proximal nail fold paronychia,2021,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.04.013,10.1016/j.piel.2020.04.013
1,"Aldunce-Soto M.J., Soto Paredes R., Sánchez-Regaña M., Salleras Redonnet M.",Nail abnormalities induced by drugs,2016,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2015.06.017,10.1016/j.piel.2015.06.017
2,"Jahr C., Folch H., Aranibar L., Silva M., Gómez P.",Peripheral T-cell lymphoma in a pediatric patient with cutaneous involvement,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2022.03.016,10.1016/j.piel.2022.03.016
3,"González Godoy D., Kinzel Maluje F., Gaona C.U., Toro L.C., Duran L.A.",Chronic lichenoid keratosis,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2021.11.010,10.1016/j.piel.2021.11.010
4,"del Castillo D., Barraza C., Aranibar L., Villarroel J.L., Barrancos N., Avila-Jaque D.",Netherton syndrome: A rare and disabling genodermatosis,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2021.12.015,10.1016/j.piel.2021.12.015
5,"Peruilh-Bagolini, L; Jahr-Andrade, C; Garate-Gonzalez, M; Heredia-Miranda, L; Aranibar-Duran, L; Ramirez-Rondon, C",Hydroxychloroquine in the treatment of actinic prurigo in pediatric patients: Report of three cases,2022,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/ddg.14831,10.1111/ddg.14831
6,"Peruilh-Bagolini, L; Jahr-Andrade, C; Garate-Gonzalez, M; Heredia-Miranda, L; Aranibar-Duran, L; Ramirez-Rondon, C",Hydroxychloroquine in the treatment of actinic prurigo in pediatric patients: Report of three cases,2022,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/ddg.14831,10.1111/ddg.14831
7,"Flores R., Brazil K., Aranibar L., Navarrete C.",Candidiasis mucocutánea crónica por mutación STAT1,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.12.010,10.1016/j.piel.2020.12.010
8,"Carvajal Aguilera D., Aranibar Durán L.",Collodion baby case series: Updating of early multidisciplinary management,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.08.007,10.1016/j.piel.2020.08.007
9,"Brazil K., González D., García S., Barrientos P., Aranibar L.",Congenital ichthyosiform erythroderma: Genetic study as a method of diagnostic confirmation,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2021.02.012,10.1016/j.piel.2021.02.012
10,"Carvajal Aguilera D., Aranibar Durán L., Martin Merlez F., Muñoz Möller P., Cares Basualto C.",Capillary malformation – Arteriovenous malformation syndrome. Case report and literature review,2022,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.11.010,10.1016/j.piel.2020.11.010
11,"Suárez C., Nakousi-Capurro N., Aranibar L.",Pigmentary mosaicisms and cytogenetic abnormalities,2021,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.07.020,10.1016/j.piel.2020.07.020
12,"Morales J.P., Aranibar L., Muñoz P., Gálvez K., Arce C.",Cutaneous mucormycosis after a liver transplant,2021,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2020.12.011,10.1016/j.piel.2020.12.011
