,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Antúnez-Riveros M.A., Rojas-Serey A.M., Ríos-Teillier M.I., Fuentes-Cimma J., Villagrán I., Maureira Leiva P.",Documentary analysis of competency-based exit profile of Physiotherapy entry-level programs in Chile,2023,Fisioterapia,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ft.2022.02.004,10.1016/j.ft.2022.02.004
1,"Aguilera-Godoy, A; Antunez-Riveros, MA; Carrasco-Penna, G; Nunez-Cortes, R",A post-surgical rehabilitation program for women over 60 years old who underwent surgery in trauma and orthopedic hospital after distal radius fracture,2021,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1016/j.jbmt.2021.07.042,10.1016/j.jbmt.2021.07.042
2,"Palet, MJ; Antunez-Riveros, M; Barahona, M",Construct Validity of a Virtual Reality Simulator for Surgical Training in Knee Arthroscopy,2021,CUREUS JOURNAL OF MEDICAL SCIENCE,ESCI/UCH/VID,http://dx.doi.org/10.7759/cureus.15237,10.7759/cureus.15237
3,"Nunez-Cortes, R; Cruz-Montecinos, C; Antunez-Riveros, MA; Perez-Alenda, S",Does the educational level of women influence hand grip and pinch strength in carpal tunnel syndrome?,2020,MEDICAL HYPOTHESES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.mehy.2019.109474,10.1016/j.mehy.2019.109474
4,"Romero-Dapueto, C; Mahn, J; Cavada, G; Daza, R; Ulloa, V; Antunez, M",Hand grip strength values in normal Chilean subjects,2019,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872019000600741,10.4067/S0034-98872019000600741
5,"Quiroga-Maraboli, P; Antunez-Riveros, MA; Jerez, MA; Saldana, AB; Peralta-Camposano, J; Bahillo, MPRD",Perceptions of the educational environment among undergraduate physical therapy students in a competency-based curriculum at the University of Chile,2019,JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.3352/jeehp.2019.16.9,10.3352/jeehp.2019.16.9
6,"Leonidas C., Eduardo C., Giovanni O., Victoria V., Marcela A., Carolina R.",A presentation of the ergonomic analysis of risk factors in productive sectors of Chile and their relation with upper limb musculoskeletal symptomatology,2019,Advances in Intelligent Systems and Computing,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-319-96083-8_75,10.1007/978-3-319-96083-8_75
7,"Leonidas C.D., Carolina R., Eduardo C.D., Giovanni O., Marcela A.",Ergonomics intervention project in undergraduate physical therapy program. A curricular innovation approach,2019,Advances in Intelligent Systems and Computing,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-319-96098-2_68,10.1007/978-3-319-96098-2_68
8,"Torres, SO; Barrios, ME",Online interprofessional education materials through a community learning program during the COVID 19 pandemic in Chile,2022,JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.3352/jeehp.2022.19.6,10.3352/jeehp.2022.19.6
9,"Barrios, ME; Torres, SO",Interprofessional health education teacher training at the University of Chile,2021,JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.3352/jeehp.2021.18.30,10.3352/jeehp.2021.18.30
