,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Navarrete, SB; Salvo, CA; Reyes, DC; Gonzalez, LP",Structured clinical examinations with simulated patients during internal medicine clerkship,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872020000600810,10.4067/S0034-98872020000600810
1,"Maggiolo Landaeta, Maria; Varela Moraga, Virginia; Arancibia Salvo, Claudia; Ruiz Molina, Felipe",Dificultades de lenguaje en niños preescolares con antecedente de prematuridad extrema,2014,REVISTA CHILENA DE PEDIATRIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0370-41062014000300008,10.4067/S0370-41062014000300008
2,"Cristia, A; Foushee, R; Aravena-Bravo, P; Cychosz, M; Scaff, C; Casillas, M",Combining observational and experimental approaches to the development of language and communication in rural samples: Opportunities and challenges,2023,JOURNAL OF CHILD LANGUAGE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S0305000922000617,10.1017/S0305000922000617
3,"Helo, A; Guerra, E; Coloma, CJ; Aravena-Bravo, P; Rama, P",Do Children With Developmental Language Disorder Activate Scene Knowledge to Guide Visual Attention? Effect of Object-Scene Inconsistencies on Gaze Allocation,2022,FRONTIERS IN PSYCHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyg.2021.796459,10.3389/fpsyg.2021.796459
4,"Christou, S; Coloma, CJ; Andreu, L; Guerra, E; Araya, C; Rodriguez-Ferreiro, J; Sanz-Torrent, M",Online Comprehension of Verbal Number Morphology in Children With Developmental Language Disorder: An Eye-Tracking Study,2022,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1044/2022_JSLHR-21-00591,10.1044/2022_JSLHR-21-00591
5,"Christou, S; Andreu, L; Coloma, CJ; Guerra, E; Araya, C; Rodriguez-Ferreiro, J; Sanz-Torrent, M",Insights from real-time comprehension of Spanish verbal tense in children with developmental language disorder: An eye-tracking study,2022,APPLIED PSYCHOLINGUISTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S0142716422000042,10.1017/S0142716422000042
6,"Christou, S; Sanz-Torrent, M; Coloma, CJ; Guerra, E; Araya, C; Andreu, L",Real-time comprehension of Spanish prepositions and prepositional locutions in bilingual children with developmental language disorder: A study based on eye-movement evidence,2021,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/1460-6984.12581,10.1111/1460-6984.12581
7,"Christou, S; Guerra, E; Coloma, CJ; Barrachina, LA; Araya, C; Rodriguez-Ferreiro, J; Pereda, MJB; Sanz-Torrent, M",Real time comprehension of Spanish articles in children with developmental language disorder: Empirical evidence from eye movements,2020,JOURNAL OF COMMUNICATION DISORDERS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jcomdis.2020.106027,10.1016/j.jcomdis.2020.106027
8,"Coloma, CJ; De Barbieri, Z; Quezada, C; Bravo, C; Chaf, G; Araya, C","The impact of vocabulary, grammar and decoding on reading comprehension among children with SLI: a longitudinal study",2020,JOURNAL OF COMMUNICATION DISORDERS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jcomdis.2020.106002,10.1016/j.jcomdis.2020.106002
9,"Coloma, CJ; Araya, C; Quezada, C; Pavez, MM; Alvarez, C; Maggiolo, M",Development of grammaticality and sentence complexity in monolingual Spanish-speaking children with specific language impairment: An exploratory study,2019,SINTAGMA,ISI/UCH/VID,http://dx.doi.org/10.21001/sintagma.2019.31.06,10.21001/sintagma.2019.31.06
10,"Penaloza, C; Araya, C; Coloma, CJ",Development of Syntactic Complexity in Narrative Retellings by Preschool and School-Age Children,2017,LOGOS-REVISTA DE LINGUISTICA FILOSOFIA Y LITERATURA,SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.15443/RL2726,10.15443/RL2726
11,"Coloma, CJ; Araya, C; Quezada, C; Pavez, MM; Maggiolo, M",Grammaticality and complexity of sentences in monolingual Spanish-speaking children with specific language impairment,2016,CLINICAL LINGUISTICS & PHONETICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3109/02699206.2016.1163420,10.3109/02699206.2016.1163420
12,"Pavez Guzman, Maria; Coloma Tirapegui, Carmen; Araya Castillo, Claudia; Maggiolo Landaeta, María; Peñaloza Castillo, Christian",Grammaticality and complexity in narration and conversation in children with specific language impairment,2015,"Revista de Logopedia, Foniatria y Audiologia",SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.rlfa.2015.07.004,10.1016/j.rlfa.2015.07.004
13,"Coloma, CJ; Pavez, MM; Penaloza, C; Araya, C",Reading and narrative performance in students with Specific Language Impairment,2012,ONOMAZEIN,ISI/SCOPUS/UCH/VID,,
14,"Guzman, M; Ortega, A; Olavarria, C; Munoz, D; Cortes, P; Azocar, MJ; Cayuleo, D; Quintana, F; Silva, C",Comparison of Supraglottic Activity and Spectral Slope Between Theater Actors and Vocally Untrained Subjects,2016,JOURNAL OF VOICE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jvoice.2015.10.017,10.1016/j.jvoice.2015.10.017
15,"Master, S; Guzman, M; Azocar, MJ; Munoz, D; Bortnem, C",How Do Laryngeal and Respiratory Functions Contribute to Differentiate Actors/Actresses and Untrained Voices?,2015,JOURNAL OF VOICE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jvoice.2014.09.003,10.1016/j.jvoice.2014.09.003
16,"Guzman, M; Lanas, A; Olavarria, C; Azocar, MJ; Munoz, D; Madrid, S; Monsalve, S; Martinez, F; Vargas, S; Cortez, P; Mayerhoff, RM",Laryngoscopic and Spectral Analysis of Laryngeal and Pharyngeal Configuration in Non-Classical Singing Styles,2015,JOURNAL OF VOICE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jvoice.2014.05.004,10.1016/j.jvoice.2014.05.004
17,"Fuentes-Lopez, E; Fuente, A; Bowen, MP",Increased Signs of Noise-Induced Hearing Loss in Dental Students: A Multilevel Approach,2022,NOISE & HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4103/nah.nah_21_21,10.4103/nah.nah_21_21
18,"Vicencio-Jimenez, S; Bucci-Mansilla, G; Bowen, M; Terreros, G; Morales-Zepeda, D; Robles, L; Delano, PH",The Strength of the Medial Olivocochlear Reflex in Chinchillas Is Associated With Delayed Response Performance in a Visual Discrimination Task With Vocalizations as Distractors,2021,FRONTIERS IN NEUROSCIENCE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3389/fnins.2021.759219,10.3389/fnins.2021.759219
19,"Bowen, M; Terreros, G; Moreno-Gomez, FN; Ipinza, M; Vicencio, S; Robles, L; Delano, PH",The olivocochlear reflex strength in awake chinchillas is relevant for behavioural performance during visual selective attention with auditory distractors,2020,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-020-71399-8,10.1038/s41598-020-71399-8
20,"Pardo-Jadue J., Dragicevic C.D., Bowen M., Delano P.H.","On the origin of the 1,000 Hz peak in the spectrum of the human tympanic electrical noise",2017,FRONTIERS IN NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnins.2017.00395,10.3389/fnins.2017.00395
21,"Pardo J, Javiera; Dragicevic R, Constantino; Bowen M, Macarena; Délano R, Paul",Ruido eléctrico de la ventana redonda,2015,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162015000200014,10.4067/S0718-48162015000200014
22,"Dragicevic, CD; Aedo, C; Leon, A; Bowen, M; Jara, N; Terreros, G; Robles, L; Delano, PH",The Olivocochlear Reflex Strength and Cochlear Sensitivity are Independently Modulated by Auditory Cortex Microstimulation,2015,JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10162-015-0509-9,10.1007/s10162-015-0509-9
23,"Bustos-Rubilar M., Kyle F., Tapia-Mora D., Hormazábal-Reed X., Mahon M.",Chilean Spanish transcultural adaptation of CAP-II and SIR scales in an online format for parents of children with hearing aids or cochlear implants,2022,Revista Chilena de Fonoaudiologia,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4692.2022.64710,10.5354/0719-4692.2022.64710
24,"Bustos-Rubilar, M; Cerda, PJ; Hidalgo, NC",Policy-linkage for children with hearing disabilities; Perceptions from Basque Country in Spain and Chile,2022,REVISTA DE INVESTIGACION EN LOGOPEDIA,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5209/rlog.74197,10.5209/rlog.74197
25,"Bustos-Rubilar, M; Coloma, CJ; Quezada, C; Caviedes, C; Morales, MF; Adrian, J; Pais, J",The fingerspelling as a learning support of the reading decodification process in a group of Chilean primary school students; An exploratory Study,2021,REVISTA DE EDUCACION INCLUSIVA,ESCI/UCH/VID,,
