,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Opazo-Diaz, EA; Aceituno, HF; Diaz, AA; Baes, MI; Fuentes, JP; Perez-bey, A",Training response and time course adaptations to sprint interval training and moderate intensity continuous training in sedentary young people,2023,GAZZETTA MEDICA ITALIANA ARCHIVIO PER LE SCIENZE MEDICHE,/UCH/VID,http://dx.doi.org/10.23736/S0393-3660.22.04918-X,10.23736/S0393-3660.22.04918-X
1,"Aliaga-Castillo, V; Horment-Lara, G; Contreras-Sepulveda, F; Cruz-Montecinos, C",Safety and effectiveness of telerehabilitation program in people with severe haemophilia in Chile. A qualitative study,2022,MUSCULOSKELETAL SCIENCE AND PRACTICE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.msksp.2022.102565,10.1016/j.msksp.2022.102565
2,"Horment-Lara, G; Luttges-Sciaccaluga, C; Espinoza-Ordonez, C; Aliaga-Castillo, V",I don't want to be a burden A qualitative study of the beliefs of women with chronic low back pain in relation to their painful experience,2022,MUSCULOSKELETAL SCIENCE AND PRACTICE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.msksp.2022.102539,10.1016/j.msksp.2022.102539
3,"Palma, A; Aliaga-Castillo, V; Bascunan, L; Rojas, V; Ihl, F; Medel, JN",AN INTENSIVE CARE UNIT TEAM REFLECTS ON END-OF-LIFE EXPERIENCES WITH PATIENTS AND FAMILIES IN CHILE,2022,AMERICAN JOURNAL OF CRITICAL CARE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4037/ajcc2022585,10.4037/ajcc2022585
4,"Aliaga-Castillo, V; Horment-Lara, G; Contreras, F; Cruz-Montecinos, C",Telerehabilitation experiences in people with severe haemophilia during the COVID-19 pandemic: A qualitative study,2021,HAEMOPHILIA,ISI/UCH/VID,http://dx.doi.org/10.1111/hae.14385,10.1111/hae.14385
5,Mónica Manríquez Hizaut; Gabriela Huepe Ortega; Jame Rebolledo Sanhueza; Álvaro Besoain Saldaña; Verónica Aliaga Castillo,EXPERIENCIAS Y PERCEPCIONES SOBRE REHABILITACIÓN COMUNITARIA EN LA REGIÓN METROPOLITANA DE CHILE: ESTUDIO CUALITATIVO,2021,Revista Argentina de Salud Pública,SCIELO-otros paises /UCH/VID,,
6,"Rebolledo-Sanhueza, J; Besoain-saldana, A; Manriquez-Hizaut, M; Huepe-Ortega, G; Aliaga-Castillo, V",Experiences and perceptions on disability and social participation in community rehabilitation centers in Chile,2021,SAUDE E SOCIEDADE,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/S0104-12902021200858,10.1590/S0104-12902021200858
7,"Besoain-Saldana, A; Sanhueza, JR; Hizaut, MM; Rojas, VC; Ortega, GH; Aliaga-Castillo, V",Community-Based Rehabilitation (CBR) in primary care centers in Chile,2020,REVISTA DE SAUDE PUBLICA,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.11606/s1518-8787.2020054001999,10.11606/s1518-8787.2020054001999
8,"Castillo-Parra S., Oyarzo Torres S., Espinoza Barrios M., Rojas-Serey A.M., Maya J.D., Sabaj Diez V., Aliaga Castillo V., Castillo Niño M., Romero Romero L., Foster J., Hawes Barrios G.",The implementation of multiple interprofessional integrated modules by health sciences faculty in Chile,2017,JOURNAL OF INTERPROFESSIONAL CARE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1080/13561820.2017.1345872,10.1080/13561820.2017.1345872
9,"Valenzuela, S; Aliaga, V; Burdiles, P; Carvallo, A; Diaz, E; Guerrero, M; Rueda, L; Valenzuela, C",Reflexiones en torno a la ley N° 20.584 y sus implicancias para la investigación biomédica en Chile,2015,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015000100012,10.4067/S0034-98872015000100012
10,"Del Sorbo, L; Tisminetzky, M; Chen, L; Brochard, L; Arellano, D; Brito, R; Diaz, JC; Cornejo, R",Association of lung recruitment and change in recruitment-to-inflation ratio from supine to prone position in acute respiratory distress syndrome,2023,CRITICAL CARE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13054-023-04428-3,10.1186/s13054-023-04428-3
11,"Bugedo, G; Tobar, E; Alegria, L; Oviedo, V; Arellano, D; Basoalto, R; Enberg, L; Suarez, P; Bitran, E; Chabert, S; Bruhn, A",Development of mechanical ventilators in Chile. Chronicle of the initiative Un Respiro para Chile,2022,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872022000700958 ,10.4067/s0034-98872022000700958 
