,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1161372,Diminishing of radiation risk to patients and medical staff during paediatric interventional cardiology procedures,01/08/2015,01/08/2015,D. Aguirre,Otras Instituciones,FONDECYT,Regular
1,1191928,"The upregulation of long-noncoding RNA, a novel opportunity to address the complexities of the pathogenesis of gastric cancer",01/04/2019,01/04/2023,"F. Aguayo, E. Aravena",PUC. Depto. de Enfermedades Hematológicas Oncológicas,FONDECYT,Regular
2,1151411,Role Of microRNAs In The Pathogenesis Of Gastric Carcinoma And Development Of Non-Invasive Strategies For Early Detection,01/03/2015,01/03/2019,"E. Aravena, F. Aguayo",PUC. Escuela de Medicina,FONDECYT,Regular
3,1080563,Epigenetic bases of gastric carcinoma pathogenesis and strategies for early detection,01/03/2008,01/03/2011,E. Aravena,PUC. Depto. de Anatomía Patológica,FONDECYT,Regular
4,FONDAP2013-05,Center of excellency for the study of chronic cardiomyopathy in Chile ,01/12/2014,01/12/2014,"J. Maya / M. Zúñiga, C. Valck, G. Cabrera, U. Kemmerling, C. Olea, I. Zulantay, A. Solari, W. Apt, J. Arribada",Programa de Farmacología Molecular y Clínica,FONDAP,Programa FONDAP
5,1961076,Seguimiento y evaluación de pacientes con enfermedad de chagas crónica tratados con itraconazol y alopurinol,01/03/1996,01/03/1996,W. Apt / J. Arribada,Programa de Parasitología,FONDECYT,Regular
6,049-1995,Seguimiento y evaluación de pacientes con Enfermedad de Chagas crónica tratados con Alopurinol o Itraconazol,01/03/1995,01/03/1995,"W. Apt / J. Arribada, I. Zulantay",Programa de Parasitología,FONDECYT,Regular
7,1920920,Tratamiento de la enfermedad de Chagas humana crónica con Itraconazol y Alopurinol,01/03/1992,01/03/1995,W. Apt / J. Arribada,Programa de Parasitología,FONDECYT,Regular
8,15150011,Chilean phytoscience medicine center,01/01/2015,01/01/2015,"U. Urzúa, M. Chahuán",Instituto de Ciencias Biomédicas,FONDAP,Programa FONDAP
9,1151160,Genomic Studies in Circulating Free DNA (cfDNA) in Lung Cancer patients,01/03/2015,01/03/2015,"M. Chahuán, U. Urzúa",Programa de Biología Celular y Molecular,FONDECYT,Regular
10,1120090,DNA Copy-number alterations at chromosomes 19q13.33/10q11.23 in lung adenocarcinomas and squamous cell carcinomas in never smokers historically exposed to envirnmental arsenic,01/03/2012,01/03/2012,M. Chahuán,Programa de Biología Celular y Molecular,FONDECYT,Regular
11,IT23I0027,Plataforma informática basada en inteligencia artificial para predecir la adherencia al tratamiento antirretroviral en personas viviendo con VIH para apoyar una intervención temprana y seguimiento continuo,01/04/2023,01/04/2023,"M. Guiñazú / C. Cortés, S. Barroilhet, J. Velásquez",Departamento de Psiquiatría y Salud Mental Norte,FONDEF,IDEA
12,ID20I10174,Plataforma informática basada en Inteligencia Artificial para la caracterización e identificación del grado de adherencia al tratamiento para la población con VIH+,01/08/2020,01/08/2022,"C. Cortés / M. Wolff, M. Guiñazú, J. Velásquez",Departamento de Medicina Interna Centro,FONDEF,IDEA
13,SA19I0023,"Contextos de vulnerabilidad, prácticas sexuales y barreras institucionales para el abordaje de la salud sexual, el VIH y otras ITS en población migrante: Recomendaciones para los distintos niveles de atención del sistema sanitario chileno",01/10/2019,01/04/2022,"J. Belmar / C. Cortés, V. Stuardo, M. Fuentes",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
14,IM19MInD,Instituto Milenio en Enfermedades infecciosas,01/11/2019,01/11/2019,"M. Santolaya / F. Fredes, C. Cortés, R. Vidal, J. Torres, M. Farfán, R. Soto, M. O'Ryan, A. Gaggero, M. Wolff",Departamento de Pediatría y Cirugía Infantil Oriente,Iniciativa científica Milenio,Institutos Milenios
15,ID18I10020,Validación de nuevas drogas antirretrovirales para ser presentadas a la FDA,01/04/2018,01/04/2018,"R. Soto / G. Barriga, F. Valiente, C. Cortés",Instituto de Ciencias Biomédicas,FONDEF,IDEA
16,SA16I0042,Proyecto embarazadas Santiago: 15 años de embarazos en mujeres con infección por VIH,01/10/2016,01/10/2016,C. Cortés,Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
17,1981221,Efecto de la modificación de los niveles plasmáticos de homocisteína sobre la reactividad vascular en adultos.,01/03/1998,01/03/2001,"D. Bunout, E. Escobar",Dirección,FONDECYT,Regular
18,1911317,Enfermedad coronaria: prostanoides y eje renina angiotensina,01/03/1991,01/03/1993,E. Escobar,Departamento de Medicina Interna Oriente,FONDECYT,Regular
19,FO-PRE-054,Como mejorar la pesquisa precoz del cáncer gástrico mediante endoscopia en población de alto riesgo. Estudio transversal y longitudinal,01/12/2004,01/12/2006,"R. Estela, R. Ponce",Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
20,FO-PRE-055,Identificación de indicadores de adherencia y abandono de tratamiento para el diseño de un plan de atención que aumente el índice de retención en control y tratamiento de los hipertensos conocidos,01/12/2004,01/12/2005,J. Estévez / M. Vidal,Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
21,SA18I0007,Rol de hormonas y gasto energético en el desarrollo de obesidad post-estimulación cerebral profunda en pacientes con distonia generalizada,01/04/2018,01/04/2018,N. Jara / D. Aguirre,Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
22,1120594,Prevention of reperfusion damage associated with percutaneous coronary angioplasty following acute myocardial infarction,01/03/2012,01/03/2016,"G. Dussaillant, R. Castillo, A. Ramos, J. Prieto, L. León",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
23,11140383,Oxidative stress response in patients with severe aortic stenosis undergoing transcatheter and surgical aortic valve replacement,01/12/2014,01/12/2016,G. Maluenda,Departamento de Medicina Interna Centro,FONDECYT,Iniciación en Investigación
24,FO-PRE-110,Ingesta excesiva de yodo y tiroiditis autoinmune en escolares y adultos de 2 comunas del gran Santiago,01/12/2004,01/12/2004,F. Munizaga / C. Liberman,Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
25,1911121,"Caracterización del perfil epidemiológico, clínico y social de la infección por Virus de Inmunodeficiencia Humana en Chile y elaboración de recomendaciones locales de evaluación, prevención y tratamiento de sus complicaciones más frecuentes",01/03/1991,01/03/1994,M. Wolff / R. Northland,Departamento de Medicina Interna Centro,FONDECYT,Regular
26,SA06I10539,Comparación de la gravedad y factores pronósticos de la artritis reumatoide entre población chilena mapuche y caucásica,01/12/2006,01/12/2006,D. Pacheco,Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
27,FO-PRE-054,Como mejorar la pesquisa precoz del cáncer gástrico mediante endoscopia en población de alto riesgo. Estudio transversal y longitudinal,01/12/2004,01/12/2006,"R. Estela, R. Ponce",Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
28,FO-PRE-055,Identificación de indicadores de adherencia y abandono de tratamiento para el diseño de un plan de atención que aumente el índice de retención en control y tratamiento de los hipertensos conocidos,01/12/2004,01/12/2005,J. Estévez / M. Vidal,Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
29,ID20I10174,Plataforma informática basada en Inteligencia Artificial para la caracterización e identificación del grado de adherencia al tratamiento para la población con VIH+,01/08/2020,01/08/2022,"C. Cortés / M. Wolff, M. Guiñazú, J. Velásquez",Departamento de Medicina Interna Centro,FONDEF,IDEA
30,IM19MInD,Instituto Milenio en Enfermedades infecciosas,01/11/2019,01/11/2019,"M. Santolaya / F. Fredes, C. Cortés, R. Vidal, J. Torres, M. Farfán, R. Soto, M. O'Ryan, A. Gaggero, M. Wolff",Departamento de Pediatría y Cirugía Infantil Oriente,Iniciativa científica Milenio,Institutos Milenios
31,SA09I10016,Construccion de un estandar dorado ampliado para el diagnostico de enfermedad por citomegalovirus en adultos inmunocomprometidos,01/12/2009,01/12/2009,"V. Luchsinger / C. Larrañaga, M. Garmendia, M. Wolff, L. Elgueta",Programa de Virología,CONICYT/MINSAL,FONIS-Proyectos I&D
32,1040123,"Cohorte Chilena de pacientes infectados por VIH (SidaChile): Seguimiento prospectivo del programa nacional de acceso expandido a terapia antiretroviral y evaluación del impacto en sobrevida, eficacia y toxicidad 
",01/03/2004,01/03/2004,M. Wolff,Departamento de Medicina Interna Centro,FONDECYT,Regular
33,SA04I2098,Contribución de un modelo de cohorte nacional a la implementación y evaluación del programa de aceso expandido a terapia anti retroviral en Chile,01/12/2004,01/12/2005,M. Wolff,Departamento de Medicina Interna Centro,CONICYT/MINSAL,FONIS-Proyectos I&D
34,1020536,Rol de virus respiratorios y bacterias atipicas en la etiologia de las neumonias del adulto ,01/06/2002,01/06/2002,"L. Avendaño / V. Luchsinger, M. Ruiz, M. Wolff",Programa de Virología,FONDECYT,Regular
35,1911121,"Caracterización del perfil epidemiológico, clínico y social de la infección por Virus de Inmunodeficiencia Humana en Chile y elaboración de recomendaciones locales de evaluación, prevención y tratamiento de sus complicaciones más frecuentes",01/03/1991,01/03/1994,M. Wolff / R. Northland,Departamento de Medicina Interna Centro,FONDECYT,Regular
