,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1080521,"Identificación de los Polimorfismos genéticos y de blancos moleculares como predictores de la eficacia terapéutica antidepresiva de Fluoxetina, en pacientes con depresión mayor",01/03/2008,01/03/2008,"L. Herrera / M. Rojas, J. Fiedler, A. Araya",Programa de Genética Humana,FONDECYT,Regular
1,P2,Programa Domeyko en Salud: Diabetes,01/03/2007,01/03/2010,"A. Araya / L. García, G. López",Servicio de Endocrinología,Fondo Central de Investigación,Programa Domeyko
2,1070135,Islet Transplantation: experimental approaches to improve islet isolation procedures and preliminary clinical trials in patients with diabetes,01/03/2007,01/03/2007,A. Araya,Unidad de Apoyo a la Investigación Científica,FONDECYT,Regular
3,INCL-03,Evaluación de los niveles circulantes de Factor Neurotrófico Derivado de Cerebro (BDNF) en pacientes obesos antes y después de un programa de ejercicio,01/12/2006,01/12/2007,A. Araya,Servicio de Endocrinología,Hospital Clinico,Investigación Clínica 
4,1040937,Marcadores moleculares como elementos predictivos tempranos de la eficacia del tratamiento con antidepresivos,01/03/2004,01/03/2007,"J. Fiedler / H. Silva, H. Lara, A. Araya, S. Jerez",Departamento de Bioquímica y Biología Molecular,FONDECYT,Regular
5,SAL-03/12-3,Marcadores moleculares como elementos predictivos tempranos de la eficacia del tratamiento con antidrepesivos,01/03/2003,01/03/2003,"J. Fiedler / A. Araya, S. Jerez, H. Lara, D. Miranda, E. Morales, H. Silva",Departamento de Bioquímica y Biología Molecular,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
6,REIN-07/2002,Evaluación de la expresión en el receptor II de TGF-beta1 y de caderina-E en tumores de corteza suprarrenal,01/11/2002,01/11/2003,A. Araya,Departamento de Medicina,Fondo Central de Investigación,REINSERCION
7,1020691,Poliformismo genético de citoquinas pro- y anti-inflamatoriasa en enfermedades autoinmunes e inflamatorias y actividad transcripcional asociada,01/06/2002,01/06/2002,"J. Aguillón / A. Araya, F. Salazar",Programa de Inmunología,FONDECYT,Regular
8,SAL-01/17-2,"Asociación de polimorfismos genéticos y sobre-expresión de TNF, IL-1 y TGF-b1 con la presencia de diabetes y periodontitis",01/03/2001,01/03/2001,J. Aguillón / A. Araya,Programa de Inmunología,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
9,237,Expresión del factor de necrosis tumoral (TNF) y su asociación con periodontitis en sujetos con Diabetes Mellitus tipo 1,01/12/1999,01/12/2000,A. Araya,Servicio de Endocrinología,Facultad de Medicina,Concurso Clínico
10,1970242,Viabilidad a largo plazo de islotes pancreáticas de ratón transplantados en un sistema inmuno-protegido perfundido con liquido cefaloraquideo en llamas y alpacas para curar la diabetes,01/03/1997,01/03/1999,A. Araya,Programa de Anatomía y Biología del Desarrollo,FONDECYT,Regular
11,028-1995,Efectos de la estrogenoterapia (oral y transdérmica) sobre la sensibilidad a la insulina y el eje anabólico (GH/IGF1 /BP1/ Insulina) en menopáusicas y diabéticas tipo II pre menopáusicas,01/03/1995,01/03/1995,A. Araya,Departamento de Medicina Interna Centro,FONDECYT,Regular
12,1240076,Maladaptive trained immunity to endodontic bacteria in Apical Periodontitis: Exploring of reprogramming mechanisms and their therapeutic modulation in monocyte,01/07/2023,01/07/2023,"E. Hernández / C. Garrido, R. Vernal, A. Hoare, P. Hernández, C. Beltrán",Departamento de Patología y Medicina Oral,FONDECYT,Regular
13,1231596,Involvement of the lung microbiome in the combined harmful effects of cigarette smoke and microplastics on the respiratory mucosa,01/03/2023,01/03/2027,"F. Magne / M. Gotteland, F. Aguayo, C. Beltrán, S. Vargas",Instituto de Ciencias Biomédicas,FONDECYT,Regular
14,13220235,Discovering biomarkers in tears: a novel approach for the clinical assessment of Uveitis and Irritable Bowel Syndrome,01/09/2022,01/09/2022,C. Urzúa / C. Beltrán,Escuela de Medicina,Fondecyt_Anid,Proyectos de Exploración
15,REDES180134,"Gastrointestinal diseases: loss of gut homeostasis due to the complex interaction between genetics, immune response and microbiota",01/10/2018,01/10/2020,"M. Hermoso / L. López, M. O'Ryan, R. Vidal, F. Magne, C. Beltrán, M. Gotteland",Instituto de Ciencias Biomédicas,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
16,1180980,Protective effects of bacterial lactate in the newborn´s intestine,01/07/2017,01/07/2017,"F. Magne / C. Beltrán, M. Gotteland, B. Carvajal",Instituto de Ciencias Biomédicas,FONDECYT,Regular
17,1180666,Programmed Cell Death-ligand (PD-L1) in Neisseria gonorrhoeae-infected macrophages and anti-PD-L1 as novel therapy for gonorrhea,01/03/2018,01/03/2021,A. Escobar / C. Beltrán,Salud Pública,FONDECYT,Regular
18,1181699,Unraveling the role of bcl3 on par2 signalling pathway and the intestinal permeability in irritable bowel syndrome,01/03/2018,01/03/2022,"C. Beltrán / A. Madrid, M. Gotteland, E. Pérez de Arce",Servicio de Gastroentereología,FONDECYT,Regular
19,1171701,The regulatory role of mindfulness based stress reduction in the interleukin-6/B cell lymphoma-3 inflammatory pathway of irritable bowel syndrome,01/09/2016,01/09/2016,"C. Beltrán / L. Massardo, A. Madrid, E. Pérez de Arce",Departamento de Medicina Interna Norte,FONDECYT,Regular
20,1171681,Characterization of the microbiota in mother-infant pairs: An intergenerational transmissible and modifiable risk factor for obesity ,01/09/2016,01/09/2016,"F. Magne / S. Vargas, M. Gotteland, B. Carvajal, M. Garmendia, C. Beltrán",Instituto de Ciencias Biomédicas,FONDECYT,Regular
21,1150963,"COX-2 inhibition on Neisseria gonorrhoeae-associate alternatively activated macrophages, a novel approach to the treatment of gonorrhea",01/03/2015,01/03/2015,"A. Escobar, C. Beltrán",Departamento de Ciencias Físicas y Químicas,FONDECYT,Regular
