,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,Armijo Videla Germán; Acuña Aguayo Pilar; Sarango Martínez Byron; Tamayo Carlos; Donoso Peña Hernán; Sanhueza Cardemil Patricio; Sepúlveda Varela Pablo,Miocardiopatía periparto: Caso clínico,2014,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602014000100010,10.4067/S0718-85602014000100010
1,"Carrasco, R; Ramirez, MC; Nes, K; Schuster, A; Aguayo, R; Morales, M; Ramos, C; Hasson, D; Sotomayor, CG; Henriquez, P; Cortes, I; Erazo, M; Salas, C; Gormaz, JG","Prevention of doxorubicin-induced Cardiotoxicity by pharmacological non-hypoxic myocardial preconditioning based on Docosahexaenoic Acid (DHA) and carvedilol direct antioxidant effects: study protocol for a pilot, randomized, double-blind, controlled trial (CarDHA trial)",2020,TRIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13063-019-3963-6,10.1186/s13063-019-3963-6
2,"Massardo, Teresa; Pereira, Jaime; Sáez, Claudia G.; Aramburú, Ivonne; Morris, Raimundo; Aguayo, Rubén; Brugère, Solange; Pino, Angela; Hiplan, Enrique; Paillahueque, Gabriela; Alarcón, Luis; Spuler, Jane; Fernández, René; Swett, Eduardo; Sanhueza, Eduardo; Asenjo, René; Palominos, Macarena; Olivares, Nixa; Valenzuela, Guillermo; Torres, José; Garate, Javier; Karmelic, Christian",Efecto de la terapia de resincronización ventricular en los parámetros de disfunción endotelial y función sistólica izquierda en pacientes con insuficiencia cardíaca crónica y bloqueo completo de rama izquierda,2018,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602018000300183 ,10.4067/S0718-85602018000300183 
3,"Massardo, T; Pereira, J; Saez, CG; Aramburu, I; Morris, R; Brugere, S; Pino, A; Swett, E; Hiplan, E; Aguayo, R; Aguayo, R; Paillahueque, G; Alarcon, L; Torres, J; Spuler, J; Fernandez, R; Sanhueza, E; Palominos, M; Olivares, N; Valenzuela, G; Asenjo, R",Effect of resyncronization therapy on endothelial dysfunction and functional parameters in patients with chronic heart failure and left bundle branch block,2017,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,ISI/UCH/VID,,
4,"Navarrete, Wilfredo; Armijo, Germán; Aguayo, Rubén; Cisternas, Carlos",Taquicardia ventricular como expresión de Distrofia Miotónica tipo 1,2017,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602017000300239,10.4067/S0718-85602017000300239
5,"Ramos, C; Brito, R; Gonzaez-Montero, J; Valls, N; Gormaz, JG; Prieto, JC; Aguayo, R; Puentes, A; Noriega, V; Pereira, G; Palavecino, T; Rodrigo, R",Effects of a novel ascorbate-based protocol on infarct size and ventricle function in acute myocardial infarction patients undergoing percutaneous coronary angioplasty,2017,ARCHIVES OF MEDICAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5114/aoms.2016.59713,10.5114/aoms.2016.59713
6,"Valls, N; Gormaz, JG; Aguayo, R; Gonzalez, J; Brito, R; Hasson, D; Libuy, M; Ramos, C; Carrasco, R; Prieto, JC; Dussaillant, G; Puentes, A; Noriega, V; Rodrigo, R",Amelioration of persistent left ventricular function impairment through increased plasma ascorbate levels following myocardial infarction,2016,REDOX REPORT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1179/1351000215Y.0000000018,10.1179/1351000215Y.0000000018
7,"Rodrigo, R;Korantzopoulos, P;Cereceda, M;Asenjo, R;Zamorano, J;Villalabeitia, E;Baeza, C;Aguayo, R;Castillo, R;Carrasco, R;Gormaz, JG",A Randomized Controlled Trial to Prevent Post-Operative Atrial Fibrillation by Antioxidant Reinforcement,2013,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jacc.2013.07.014,10.1016/j.jacc.2013.07.014
8,"Soto, Gastón; Sepúlveda, Pablo; Donoso, Hernán; Puentes, Ángel; Bellet, Augusto; Albisú, Guillermo; Aguayo, Rubén; Dighero, Humberto","Trombosis ""extremadamente"" tardía de stent",2012,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602012000300011,10.4067/S0718-85602012000300011
9,"Castillo, R ; Rodrigo, R ; Perez, F ; Cereceda, M ; Asenjo, R ; Zamorano, J ; Navarrete, R ; Villalabeitia, E ; Sanz, J ; Baeza, C ; Aguayo, R",Antioxidant Therapy Reduces Oxidative and Inflammatory Tissue Damage in Patients Subjected to Cardiac Surgery with Extracorporeal Circulation,2011,BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1742-7843.2010.00651.x,10.1111/j.1742-7843.2010.00651.x
10,"Asenjo, R; Zapata, M; Aramburu, I; Morris, R; Cereceda, M; Brugere, S; Aguayo, R; Rios, J; Toro, C; Hassi, M; Gonzalez, P; Cannessa, J; Oyarzun, R; Ortiz, M; Avalos, V; Morales, P; Nicola, M; Oyonarte, M; Abufhele, A",Results of intraventricular resynchronization in patients with severe cardiac failure,2003,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872003001000001,10.4067/S0034-98872003001000001
11,"Bravo, F; Galvan, G; Arancibia, JM",Bacterial infections in COVID-19 patients hospitalized in intensive care unit,2022,REVISTA CHILENA DE INFECTOLOGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182022000200224,10.4067/S0716-10182022000200224
12,"Godoy J.P., Chacón R.R., Ortiz F.B., Messen C.L., Henríquez J.M.A., Azurmendi D.P., Muñoz C.G., Hernández F.A., Oyarzún R.R., Pérez R.P., Ávila M.A., Cornejo L.C., Heskia T.R., Fuenzalida L.M., Mazurek R.H., Lucero M.A., Navarro P.I., Kunst C.P., Claude M.E.P.",Recommendations for the study and pharmacological management in adult patients with suspected infection by sars-cov-2 (Covid-19),2020,REVISTA CHILENA DE INFECTOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182020000600646,10.4067/S0716-10182020000600646
13,"Pavez Azurmendi D., González Muñoz C., Bernal Ortiz F., Pérez Pérez R., Acuña Ávila M., Rosales Chacón R., Perillán Torres J., Quijarro Santibáñez P., Scheu Goncalves C., María Fuenzalida L., Pérez Godoy J., Miguel Arancibia J., Impellizzeri P., Pinto Claude M.E., Escobar L., Santana R., Darlic M., Comite de Antimicrobianos Sociedad Chilena de Infectologia (SOCHINF)",Recommendations for diagnosis and pharmacological management in pediatric patients with sars-cov-2 (Covid-19) infection,2020,REVISTA CHILENA DE INFECTOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182020000600625,10.4067/S0716-10182020000600625
14,"Acuña M.P., Arancibia J.M.",COVID-19: Evidence review of an evolving pandemic,2020,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV49N04-04,10.25237/REVCHILANESTV49N04-04
15,"Arancibia, JM",Strategies for the use of antimicrobials in seriously ill patients,2019,REVISTA MEDICA CLINICA LAS CONDES,ESCI/UCH/VID,http://dx.doi.org/10.1016/j.rmclc.2019.03.001,10.1016/j.rmclc.2019.03.001
16,"Bassi, A; Diaz, JA; Arancibia, JM; Ocampo-Garces, A; Vivaldi, EA","A comparison of Respiratory Disturbance Variable (RDV), conventional breathing disturbance indexes and oximetry based metrics",2016,JOURNAL OF SLEEP RESEARCH,ISI/UCH/VID,,
17,"Cifuentes, M; Silva, F; Arancibia, JM; Rosales, R; Ajenjo, MC; Riedel, G; Camponovo, R; Labarca, J","Grupo Colaborativo de Resistencia Bacteriana, Chile: recommendations 2014 towards the control of bacteria resistance",2015,REVISTA CHILENA DE INFECTOLOGIA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182015000400008,10.4067/S0716-10182015000400008
18,"Diaz, JA; Arancibia, JM; Bassi, A; Vivaldi, EA",Envelope Analysis of the Airflow Signal To Improve Polysomnographic Assessment of Sleep Disordered Breathing,2014,SLEEP,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5665/sleep.3338,10.5665/sleep.3338
19,"Vivaldi, EA; Bassi, A; Diaz, J; Arancibia, J",Towards a diagnostic method for obstructive sleep apnoea and upper airway resistance syndromes based on features extracted from the envelope of the breathing signal,2012,JOURNAL OF SLEEP RESEARCH,ISI/UCH/VID,,
20,Aravena Florencia; Araya Nikol; Morales Juan; Carabantes Jorge;Sanhueza Patricio,"Masa cardíaca derecha, a propósito de un caso",2013,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602013000100010,10.4067/S0718-85602013000100010
21,"Navarrete, SB; Salvo, CA; Reyes, DC; Gonzalez, LP",Structured clinical examinations with simulated patients during internal medicine clerkship,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872020000600810,10.4067/S0034-98872020000600810
22,"Kunakov, N;Bozzo, S",A standardized practical examination for title revalidation of graduates of foreign medical schools,2015,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015000800014,10.4067/S0034-98872015000800014
