,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Benavente, Rafael; Parada, Natalia; Sánchez, Bárbara; Meneses, Rodrigo; Torres, Sebastián; Pineda, Camila; Aguirre, Herman; Peña, Camila",Sulfhemoglobinemia secondary to the use of zopiclone. Report of two cases,2022,REVISTA MEDICA DE CHILE,/UCH/VID,http://dx.doi.org/10.4067/S0034-98872022001001401,10.4067/S0034-98872022001001401
1,"Benavente, R; Pena, C; Soto, A; Valladares, X; Puga, B; Cabrera, ME",Overall survival in Chilean patients with lymphoma and human immunodeficiency virus: A retrospective cohort study,2022,HEMATOLOGY TRANSFUSION AND CELL THERAPY,SCOPUS/SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1016/j.htct.2021.06.007,10.1016/j.htct.2021.06.007
2,"Valladares, X; Benavente, R; Rojas, C; Pena, C; Valenzuela, R; Monardes, V; Lopez, H; Abarca, M; Leon, P; Osorio, R; Perez, E; Soto, P; La Rocca, G; Cardemil, D; Torres, V; Intriago, M; Cabrera, ME; Undurraga, MS",Clinical and epidemiological characteristics of the Philadelphia negative myeloproliferative neoplasms in Chile,2021,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/s0034-98872021001201687,10.4067/s0034-98872021001201687
3,"Benavente, R; Cid, F; Puga, B; Molina, J; Bass, F; Andrade, A; Monardes, V; Encina, A; Cabrera, ME",Intensive chemotherapy with tyrosine kinase inhibitors in philadelphia-positive acute lymphoblastic leukemia,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872021000901249,10.4067/S0034-98872021000901249
4,"Castillo, RL; Ibacache, M; Cortinez, I; Carrasco-Pozo, C; Farias, JG; Carrasco, RA; Vargas-Errazuriz, P; Ramos, D; Benavente, R; Torres, DH; Mendez, A",Dexmedetomidine Improves Cardiovascular and Ventilatory Outcomes in Critically Ill Patients: Basic and Clinical Approaches,2020,FRONTIERS IN PHARMACOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fphar.2019.01641,10.3389/fphar.2019.01641
5,"Cabrera, Maria Elena; Monardes, Virginia; Salgado, Carmen; Cares, Carolina; Gonzalez, Claudio",Incidence and clinical significance of FLT3 and nucleophosmin mutation in childhood acute myeloid leukemia in Chile,2023,HEMATOLOGY TRANSFUSION AND CELL THERAPY,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1016/j.htct.2021.06.003,10.1016/j.htct.2021.06.003
6,"Boussi, LS; Koh, MJ; Han, XY; Peng, LK; Koh, MJ; Eche, I; Ford, JG; Singh, S; Miranda, E; Chiattone, CS; Van der Weyden, C; Prince, HM; Foss, FM; Yoon, SE; Kim, WS; Panchoo, G; Verburgh, E; Alturas, JC; Al-mansour, M; Manni, M; Federico, M; Cabrera, ME; Casadei, B; Zinzani, PL; Yoshida, N; Okatani, T; Merrill, MH; Jacobsen, ED; O'Connor, OA; Marchi, E; Jain, S",Incorporation of Machine Learning Tools to Predict Global Outcomes for Patients with Relapsed and Refractory Peripheral T and NK/T-Cell Lymphomas in the Contemporary Era,2022,BLOOD,ISI/UCH/VID,http://dx.doi.org/10.1182/blood-2022-162944,10.1182/blood-2022-162944
7,"Hapgood, G; Civallero, M; Stepanishyna, Y; Vose, JM; Cabrera, ME; Advani, RH; Pileri, SA; Manni, M; Horwitz, SM; Foss, FM; Hitz, F; Radford, J; Dlouhy, I; Chiattone, CS; Kim, WS; Skrypets, T; Nagler, A; Trotman, J; Luminari, S; Federico, M","Age, Albumin, and LDH Predict Outcome of Patients with Limited Stage Peripheral T Cell Lymphoma: A Prognostic Model Developed on 244 Cases Enrolled in the T Cell Project 1 By the International T Cell Project Network",2022,BLOOD,ISI/UCH/VID,http://dx.doi.org/10.1182/blood-2022-158883,10.1182/blood-2022-158883
8,"Benavente, R; Pena, C; Soto, A; Valladares, X; Puga, B; Cabrera, ME",Overall survival in Chilean patients with lymphoma and human immunodeficiency virus: A retrospective cohort study,2022,HEMATOLOGY TRANSFUSION AND CELL THERAPY,SCOPUS/SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1016/j.htct.2021.06.007,10.1016/j.htct.2021.06.007
9,"Chiattone, C; Civallero, M; Fischer, T; Miranda, E; Manni, M; Zing, NPC; Pileri, SA; Montoto, S; Horwitz, SM; Cabrera, ME; De Souza, CA; Nagler, A; Luminari, S; Ferreri, AJM; Carson, KR; Re, A; Rigacci, L; Nassi, L; Stepanishyna, Y; Federico, M; Inghirami, G",Characteristics and clinical outcomes of patients with ALK-positive anaplastic large cell lymphoma: Report from the prospective international T-cell lymphoma project,2022,HEMATOLOGICAL ONCOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/hon.3074,10.1002/hon.3074
10,"Cabrera, ME; Pena, C; Leon, P; Lois, V; Rojas, H; Vega, V; Pizarro, A; Calderon, S; Rojas, C; Aspillaga, A; Gonzalez, ML; Intriago, M; Rojas, B; Hales, C; Oliva, J; Romero, M; Capurro, M; Castillo, JJ",Diffuse Large B-Cell Lymphoma in Chile: The Impact of Combined CHOP Plus Rituximab in the Public Health System,2022,JCO GLOBAL ONCOLOGY,SCOPUS/UCH/VID,http://dx.doi.org/10.1200/GO.22.00165,10.1200/GO.22.00165
11,"Cabrera, ME; Marinov, N; Roa, M; Castillo, JJ; Matutes, E",Epidemiology of chronic lymphocytic leukemia in Chilean and Amerindian population in Chile,2022,LEUKEMIA & LYMPHOMA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/10428194.2021.2012663,10.1080/10428194.2021.2012663
12,"Viera, MAT; Villela, L; Beltran, BE; Castro, D; Candelaria, M; Idrobo, H; Otero, V; Von Glasenapp, A; Valvert, F; Paredes, SR; Barrios, J; Ramirez-Ibarguen, AF; Pena, C; Cabrera, ME; Gajardo, C; Roa, M; Diaz, C; Fiad, L; Best, C; Prates, M; Ospina, JA; Idarraga, LS; Martinez, H; Otanez, M; Luna, MA; Lome, C; Perez-Jacobo, F; Baena, R; Macias, J; Cristaldo, N; Perini, GF; Cardoso, LL; Rios, RO; Rodriguez, Y; Valcarcel, B; Castillo, JJ; Castillo, LM","Serum Albumin and Neutrophil-to-Lymphocyte Ratio, Two Independent Factor Predicting Survival in Patients with Follicular Lymphoma: A Multi-Institutional Retrospective Cohort of 741 FL, from the Latin American Lymphoproliferative Study Group (GELL)",2021,BLOOD,ISI/UCH/VID,http://dx.doi.org/10.1182/blood-2021-149662,10.1182/blood-2021-149662
13,"Villela, L; Beltran, BE; Castro, D; Ramirez-Ibarguen, AF; Viera, MAT; Perini, GF; Lome, C; Candelaria, M; Idrobo, H; Paredes, SR; Von Glasenapp, A; Valvert, F; Otero, V; Pena, C; Fiad, L; Best, C; Rios, RO; Martinez-Cordero, H; Otanez, M; Perez-Jacobo, F; Idarraga, JO; Baena, R; Nancy, C; Oliver, AC; Irigoin, MV; Cardoso, LL; Rodriguez, Y; Macias, J; Prates, MV; Luna, MA; Cabrera, ME; Roa, M; Gajardo, C; Diaz, C; Figueroa, EHM; Bichara, E; Bonfil, KL; Cordero-Moreno, VL; Valcarcel, B; Castillo, JJ; Castillo, LM",Biological and Classical Prognostic Factors with Impact on Overall Survival in Patients with Early Stage (I/II) Diffuse Large B-Cell Lymphoma: A Study from the Grupo De Estudio Latinoamericano De Linfoproliferativos (GELL),2021,BLOOD,ISI/UCH/VID,http://dx.doi.org/10.1182/blood-2021-152724,10.1182/blood-2021-152724
14,"Malpica, L; Enriquez, DJ; Castro, DA; Pena, C; Idrobo, H; Fiad, L; Prates, M; Otero, V; Biglione, M; Altamirano, M; Sandival-Ampuero, G; Aviles-Perez, U; Meza, K; Aguirre-Martinez, L; Cristaldo, N; Maradei, JL; Guanchiale, L; Soto, P; Vinuela, JL; Cabrera, ME; Paredes, SR; Riva, E; Di Stefano, M; Noboa, A; Choque, JA; Candelaria, M; Von Glasenapp, A; Valvert, F; Torres-Viera, MA; Castillo, JJ; Ramos, JC; Villela, L; Beltran, BE",Real-World Data on Adult T-Cell Leukemia/Lymphoma in Latin America: A Study From the Grupo de Estudio Latinoamericano de Linfoproliferativos,2021,JCO GLOBAL ONCOLOGY,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1200/GO.21.00084,10.1200/GO.21.00084
15,"Valladares, X; Benavente, R; Rojas, C; Pena, C; Valenzuela, R; Monardes, V; Lopez, H; Abarca, M; Leon, P; Osorio, R; Perez, E; Soto, P; La Rocca, G; Cardemil, D; Torres, V; Intriago, M; Cabrera, ME; Undurraga, MS",Clinical and epidemiological characteristics of the Philadelphia negative myeloproliferative neoplasms in Chile,2021,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/s0034-98872021001201687,10.4067/s0034-98872021001201687
16,"Benavente, R; Cid, F; Puga, B; Molina, J; Bass, F; Andrade, A; Monardes, V; Encina, A; Cabrera, ME",Intensive chemotherapy with tyrosine kinase inhibitors in philadelphia-positive acute lymphoblastic leukemia,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872021000901249,10.4067/S0034-98872021000901249
17,"Skrypets, T; Civallero, M; Manni, M; Vose, JM; Dlouhy, I; Pileri, S; Cabrera, ME; Hitz, F; Inghirami, G; Bobillo, S; Marino, D; Advani, R; Stelitano, C; Federico, M",Patterns of Care for Elderly Patients with Peripheral T-Cell Lymphoma: A Report from the International T-Cell Project 1.0,2021,CLINICAL LYMPHOMA MYELOMA & LEUKEMIA,ISI/UCH/VID,http://dx.doi.org/10.1016/S2152-2650(21)01932-7,10.1016/S2152-2650(21)01932-7
18,"Advani, RH; Skrypets, T; Civallero, M; Spinner, MA; Manni, M; Kim, WS; Shustov, AR; Horwitz, SM; Hitz, F; Cabrera, ME; Dlouhy, I; Vassallo, J; Pileri, SA; Inghirami, G; Montoto, S; Vitolo, U; Radford, J; Vose, JM; Federico, M",Outcomes and prognostic factors in angioimmunoblastic T-cell lymphoma: final report from the international T-cell Project,2021,BLOOD,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1182/blood.2020010387,10.1182/blood.2020010387
19,"Shustov, A; Cabrera, ME; Civallero, M; Bellei, M; Ko, YH; Manni, M; Skrypets, T; Horwitz, SM; De Souza, CA; Radford, JA; Bobillo, S; Prates, MV; Ferreri, AJM; Chiattone, C; Spina, M; Vose, JM; Chiappella, A; Laszlo, D; Marino, D; Stelitano, C; Federico, M",ALK-negative anaplastic large cell lymphoma: features and outcomes of 235 patients from the International T-Cell Project,2021,BLOOD ADVANCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1182/bloodadvances.2020001581,10.1182/bloodadvances.2020001581
20,"Cabrera, María Elena; Peña, Camila","Leucemia/Linfoma T del adulto HTLV1, un desafío para el clínico",2020,Revista de la Facultad de Medicina Humana,SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.25176/rfmh.v20i2.2919,10.25176/rfmh.v20i2.2919
21,"Pena, C; Villegas, P; Cabrera, ME",Double or triple-expressor lymphomas: prognostic impact of immunohistochemistry in patients with diffuse large B-cell lymphoma,2020,HEMATOLOGY TRANSFUSION AND CELL THERAPY,SCOPUS/SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1016/j.htct.2019.04.002,10.1016/j.htct.2019.04.002
22,"Fox C.P., Civallero M., Ko Y.-H., Manni M., Skrypets T., Pileri S., Kim S.J., Cabrera M.E., Shustov A.R., Chiattone C.S., Horwitz S.M., Dlouhy I., Spina M., Hitz F., Montoto S., Nagler A., Martinez V., De Souza C.A., Fernandez-Alvarez R., Ballova V., Gabús R., Inghirami G., Federico M., Kim W.S.",Survival outcomes of patients with extranodal natural-killer T-cell lymphoma: a prospective cohort study from the international T-cell Project,2020,LANCET HAEMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/S2352-3026(19)30283-2,10.1016/S2352-3026(19)30283-2
23,"Foss, FM; Horwitz, SM; Civallero, M; Bellei, M; Marcheselli, L; Kim, WS; Cabrera, ME; Dlouhy, I; Nagler, A; Advani, RH; Pesce, EA; Ko, YH; Montoto, S; Chiattone, C; Moskowitz, A; Spina, M; Cesaretti, M; Biasoli, I; Federico, M","Incidence and outcomes of rare T cell lymphomas from the T Cell Project: hepatosplenic, enteropathy associated and peripheral gamma delta T cell lymphomas",2020,AMERICAN JOURNAL OF HEMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/ajh.25674,10.1002/ajh.25674
24,"Derio Palacios M.L., Cabrera Contreras M.E., Chacón G.C., Herrera Ó.A.",Pain characteristic of adult advanced hematological malignancies from the public health network. Ministry of Health of Chile,2019,MEDICINA PALIATIVA,SCOPUS/UCH/VID,http://dx.doi.org/10.20986/medpal.2019.1035/2019,10.20986/medpal.2019.1035/2019
