,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,085,"Efectos de la terapia musical en el tratamiento y rehabilitación de pacientes con enfermedad de Parkinson
",01/03/2006,01/03/2006,"D. Sáez / L. Aracena, G. Farías",Departamento de Neurología y Neurocirugía Sur,FONDECYT,Regular
1,1231839,Data-driven assessment of everyday functioning in dementia: An integrative approach of clinical and neural phenotypes,01/03/2023,01/03/2027,"A. Slachevsky / G. Farías, C. Okuma, M. Cerda, P. Lillo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
2,1221769,Data-driven assessment of everyday functioning in dementia: An integrative approach of clinical and neural phenotypes,01/08/2021,01/08/2021,"A. Slachevsky / J. Gajardo, P. Lillo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
3,1201225,Uncovering the neuroplastic reserve in amyotrophic lateral sclerosis,01/03/2020,01/03/2024,"J. Matamala / P. Lillo, J. Castillo",Departamento de Ciencias Neurológicas Oriente,FONDECYT,Regular
4,1200561,"Profiling functional decline in dementia subtypes: from cognitive, motor, and neuropsychiatric drivers to neural correlates",01/08/2019,01/08/2019,"A. Slachevsky / P. Lillo, J. Gajardo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
5,1190870,"Behavioral, motor, and brain imaging markers of functional decline in dementia disorders",01/07/2018,01/07/2018,"A. Slachevsky / P. Lillo, J. Gajardo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
6,1190497,"Afrontamiento saludable a la pérdida de salud progresiva y limitante en personas adultas mayores: variables psicológicas, sociales y neurológicas implicadas en el ajuste a la enfermedad de Parkinson",01/08/2018,01/08/2018,"D. Thumala / P. Lillo, R. Villagra, N. Arnold",Departamento de Psicología,FONDECYT,Regular
7,1191658,Uncovering the neuroplastic reserve in amyotrophic lateral sclerosis,01/09/2018,01/09/2018,"J. Matamala / P. Lillo, J. Castillo",Departamento de Ciencias Neurológicas Oriente,FONDECYT,Regular
8,1181498,"Behavioural, motor, brain structural and connectivity markers of functional decline in neurodegenerative diseases modulated by environmental factors",01/08/2017,01/08/2017,"A. Slachevsky / P. Lillo, D. Thumala, J. Gajardo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
9,1160940,Social cognition in the amyotrophic lateral sclerosis and frontotemporal dementia continuum,01/04/2016,01/04/2019,"P. Lillo / A. Slachevsky, J. Matamala",Departamento de Neurología y Neurocirugía Sur,FONDECYT,Regular
10,15150012,"Centro de Gerociencia, Salud Mental y Metabolismo Procesos de Envejecimiento y Factores Asociados a la Salud y Bienestar de los Adultos",01/11/2015,01/11/2025,"C. González / R. Villagra, C. Hetz, P. Lillo, M. Concha, A. Slachevsky, D. Thumala, R. Assar",Departamento de Biología,FONDAP,Programa FONDAP
11,11130613,Neural correlates of emotion processing and behavioural impairment in amyotrophic lateral sclerosis.,01/10/2013,01/10/2013,P. Lillo,Departamento de Neurología y Neurocirugía Sur,FONDECYT,Iniciación en Investigación
12,1150269,The Loss of consciousness key scale (LOCK scale): an international tool for improving diagnostic accuracy,01/03/2015,01/03/2015,"V. Díaz / C. Guevara, D. Sáez, R. Guiloff, C. Silva, R. Salinas",Servicio de Neurología - Neurocirugía,FONDECYT,Regular
13,114-072,The Loss of consciousness key scale (LOCK scale): an international tool for improving diagnostic accuracy,01/03/2014,01/03/2014,"V. Díaz / C. Silva, R. Guiloff, C. Guevara, R. Salinas, D. Sáez",Departamento de Cirugía,FONDECYT,Regular
14,085,"Efectos de la terapia musical en el tratamiento y rehabilitación de pacientes con enfermedad de Parkinson
",01/03/2006,01/03/2006,"D. Sáez / L. Aracena, G. Farías",Departamento de Neurología y Neurocirugía Sur,FONDECYT,Regular
15,UI-002/20,"Caracterización de pacientes con enfermedades desmielinizantes, encefalitis autoinmunes y cuadros paraneoplásicos atendidos en el hospital Barros Luco Trudeau",01/10/2020,01/10/2022,J. Vargas,Departamento de Neurología y Neurocirugía Sur,Fondo Central de Investigación,U-INICIA
