,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Tobar P.R., Assad R.A., Nazal O.N., Suárez E.R.",Ovarian squamous cell carcinoma,2022,JOURNAL OF CANCER RESEARCH AND THERAPEUTICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4103/jcrt.JCRT_562_20,10.4103/jcrt.JCRT_562_20
1,"Merino, GF; Altamirano, RA; Herrera, J; Arab, C; Roje, DD; Becerra, S; Escobar, P; Rios, JA",Molecular diagnosis of human papillomavirus infection. The Chilean experience,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872021000901339,10.4067/S0034-98872021000901339
2,"Moloney, K; Janda, M; Frumovitz, M; Leitao, M; Abu-Rustum, NR; Rossi, E; Nicklin, JL; Plante, M; Lecuru, FR; Buda, A; Mariani, A; Leung, Y; Ferguson, SE; Pareja, R; Kimmig, R; Tong, PSY; McNally, O; Chetty, N; Liu, KJ; Jaaback, K; Lau, J; Ng, SYJ; Falconer, H; Persson, J; Land, R; Martinelli, F; Garrett, A; Altman, A; Pendlebury, A; Cibula, D; Altamirano, R; Brennan, D; Ind, TE; De Kroon, C; Tse, KY; Hanna, G; Obermair, A",Development of a surgical competency assessment tool for sentinel lymph node dissection by minimally invasive surgery for endometrial cancer,2021,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/ijgc-2020-002315,10.1136/ijgc-2020-002315
3,"Ibacache, J; Lagos, A; Altamirano, R; Nazzal, O; Solari, M; Pincheira, E; Rojas, L; Cervantes, P; Suarez, E",SURGICAL RESULTS OF ABDOMINAL VERSUS MINIMALLY INVASIVE RADICAL HYSTERECTOMY FOR CERVICAL CANCER IN SAN BORJA CLINICAL HOSPITAL SANTIAGO OF CHILE,2020,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,ISI/UCH/VID,http://dx.doi.org/10.1136/ijgc-2020-IGCS.243,10.1136/ijgc-2020-IGCS.243
4,"Cervantes, P; Altamirano, R; Nazzal, O; Castillo, C; Solari, M; Pincheira, E; Rojas, J; Suarez, E",PREVALENCE OF UTERINE SARCOMAS IN THE ONCOLOGICAL GYNECOLOGY UNIT OF THE SAN BORJA ARRIARAN HOSPITAL,2020,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,ISI/UCH/VID,http://dx.doi.org/10.1136/ijgc-2020-IGCS.237,10.1136/ijgc-2020-IGCS.237
5,"Cervantes, P; Altamirano, R; Nazzal, O; Lagos, A; Solari, M; Pincheira, E; Rojas, J; Suarez, E",CERVICAL ADENOCARCINOMA. WHAT IS THE REASON FOR REFERRAL?,2020,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,ISI/UCH/VID,http://dx.doi.org/10.1136/ijgc-2020-IGCS.327,10.1136/ijgc-2020-IGCS.327
6,"Cervantes, P; Altamirano, R; Nazzal, O; Solari, M; Pincheira, E; Rojas, J; Suarez, E",POST-CONE RESIDUAL DISEASE IN MICROINVASIVE CERVICAL CANCER: IMPORTANCE OF SURGICAL MARGIN,2020,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,ISI/UCH/VID,http://dx.doi.org/10.1136/ijgc-2020-IGCS.342,10.1136/ijgc-2020-IGCS.342
7,"Cervantes, P; Altamirano-Assad, R; Nazzal, O",Prevalence on Synchronic Ovarian and Endometrial Cancer in the San Borja Arriaran Hospital From 2016 to 2019,2020,OBSTETRICS AND GYNECOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1097/01.AOG.0000664088.68996.45,10.1097/01.AOG.0000664088.68996.45
8,"Cervantes, P; Altamirano-Assad, R; Nazzal, O",High Cervical Intraepithelial Neoplasia and Its Abnormal PAP Referral: A 13-Year Analysis,2020,OBSTETRICS AND GYNECOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1097/01.AOG.0000665292.71828.ee,10.1097/01.AOG.0000665292.71828.ee
9,"Altamirano Assad, Roberto",Nada es blanco o negro.,2020,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-75262020000100001,10.4067/S0717-75262020000100001
