,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,HJJA-2_2009,"Niveles plasmáticos de VEGF y NGF como marcadores de respuesta ovárica, potencial de embarazo y riesgo de desarrollar Síndrome de hiperestimulación ovárica en pacientes que se someten a FIV...",01/12/2009,01/12/2010,"R. Carvajal, C. Romero, C. Miranda",Departamento de Obstetricia y Ginecología,Hospital Clinico,Investigación Clínica 
1,MULT 04/31-2,Mecanismos celulares en la regulación de la progresión tumoral mamaria por factores de origen adiposo,01/12/2004,01/12/2004,"J. Martínez / M. Bono, M. Pardo",Dirección,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
2,IJ-02,Detección de Chlamykia Trachomatis en tracto genital femenino. Una forma de prevenir embarazo ectópico,01/12/2002,01/12/2004,V. Paredes,Unidad de Apoyo a la Investigación Científica,Hospital Clinico,Investigadores Jóvenes 
3,1180766,The effectiveness of maternal therapy in the prevention and treatment of severe foetal growth restriction and applying new strategies for its early detection,01/07/2017,01/07/2017,"M. Parra / M. López, G. Rencoret, Ã. Sepúlveda",Departamento de Obstetricia y Ginecología,FONDECYT,Regular
4,1171043,The efficacy of maternal therapy in the management of severe foetal growth restriction and development of new strategies for its early detection ,01/09/2016,01/09/2016,"M. Parra / M. López, Ã. Sepúlveda, G. Rencoret",Departamento de Obstetricia y Ginecología,FONDECYT,Regular
5,1170660,Time-course modeling of the epigenetic programming of endothelial function in fetal growth restriction: role of micro-RNA 21 and 126 on hypoxia- and oxidative stress-induced responses,01/09/2016,01/09/2016,"R. Uauy, E. Herrera, M. Parra",PUC. Facultad de Medicina,FONDECYT,Regular
6,ENL019/17,The efficacy of maternal therapy in the management of severe fetal growth restriction and development of new strategies for its early detection,01/08/2017,01/08/2018,M. Parra,Departamento de Obstetricia y Ginecología,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
7,1161174,Preeclampsia and somatotrophic placental function in humans: relationship with fetal growth,01/06/2015,01/06/2015,"G. Iñíguez / M. Parra, F. Cassorla, M. Mericq, M. Johnson, M. García",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
8,1141207,Docosahexaenoic acid (DHA) supplementation during pregnancy to prevent deep placentation disorders: A randomized clinical trial and a study of the molecular pathways of abnormal placentation prevention,01/03/2014,01/03/2018,M. Parra,PUC. Escuela de Medicina,FONDECYT,Regular
9,1130668,"Role of immune and inflammatory markers as screening test for preeclampsia during the first trimester of pregnancy
",01/03/2013,01/03/2016,"M. Parra / M. Molina, G. Rencoret, E. Valdés",Departamento de Obstetricia y Ginecología,FONDECYT,Regular
10,1090245,Prevención de preeclamsia por L-Arginina a través de una disminución de la alteración de la placentación mediante la reducción de los procesos de apoptosis e inflamación.,01/03/2009,01/03/2013,M. Parra,Departamento de Obstetricia y Ginecología,FONDECYT,Regular
11,1080373,Deteccion precoz de preeclampsia y restriccion de crecimiento fetal mediante marcadores moleculares de muerte y apoptosis de celulas trofoblasticas en plasma materno,01/03/2008,01/03/2011,M. Parra,Facultad de Medicina,FONDECYT,Regular
12,7070058,Estudio multicéntrico nacional para determinar el papel de las vitaminas antioxidantes en la profilaxis de preeclampsia severa y restricción de crecimiento fetal,01/03/2007,01/03/2008,M. Parra,Departamento de Obstetricia y Ginecología,FONDECYT,Cooperación Internacional
13,1050482,Estudio multicéntrico nacional para determinar el papel de las vitaminas antioxidantes en la profilaxis de preeclampsia severa y restricción de crecimiento fetal,01/03/2005,01/03/2009,M. Parra,Servicio de Ginecología,FONDECYT,Regular
14,FO-PRE-014,Rol de la evalución de la longitud cervical en la prevención de parto prematuro,01/12/2004,01/12/2004,"M. Parra / H. Muñoz, D. Pedraza",Servicio de Maternidad,CONICYT/MINSAL,FONIS-Proyectos I&D
15,FO-PRE-016,Pesquisa de trombofilia en pacientes con riesgo aumentado de insuficiencia placentaria,01/12/2004,01/12/2004,M. Parra / D. Pedraza,Servicio de Maternidad,CONICYT/MINSAL,FONIS-Proyectos I&D
16,FO-PRE-015,Introducción de la cirugía laser para el tratamiento de la transfusión feto-fetal y su impacto en la prematurez extrema,01/12/2004,01/12/2004,"M. Parra / E. Valdés, H. Muñoz, D. Pedraza",Servicio de Maternidad,CONICYT/MINSAL,FONIS-Proyectos I&D
17,I-03/05-1,Evaluación morfofuncional de placentas de término de mujeres con síndrome de ovario poliquístico,01/03/2003,01/03/2003,M. Maliqueo / M. Parra,Departamento de Medicina Interna Occidente,Fondo Central de Investigación,INICIACION
