,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Martínez López C., Tapia Tudela G., Aranibar Lobos H., Ullrich Gaona C.",Asymptomatic papule lesions on the cheek. Diagnosis and comment,2019,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2018.11.023,10.1016/j.piel.2018.11.023
1,"Aguirre, MM; Mayanz, S; Blanch, A; Aranibar, H; Salazar, A; Roizen, G; Alvarez, MG; Izquierdo, C; Penna, A",Registry of perioperative cardiac arrests in a clinical hospital in the period 2006-2017,2019,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872019000100034,10.4067/s0034-98872019000100034
2,"Martínez López C., Tapia Tudela G., Aranibar Lobos H., Calderón Herschman P.",Ocular rosacea treated with oral ivermectin,2019,Piel,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.piel.2018.05.011,10.1016/j.piel.2018.05.011
3,"Alvo V, Andrés; Barahona A, Luis; Aranibar L, Héctor; Gianini V, Romina",Rinosinusitis crónica: Una revisión de su etiopatogenia,2018,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0717-75262018000400451,10.4067/s0717-75262018000400451
4,"Anguita, R; Nazar, C; Kobus, R; Salinas, A; Astete, M",Bilateral ocular ischemic syndrome as a manifestation of Takayasu arteritis in children,2019,CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jcjo.2018.08.018,10.1016/j.jcjo.2018.08.018
5,"Larranaga-Fragoso, P; Peralta, J; Bravo-Ljubetic, L; Pastora, N; Abelairas-Gomez, J",Intravitreal Bevacizumab for Zone II Retinopathy of Prematurity,2016,JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3928/01913913-20160727-01,10.3928/01913913-20160727-01
6,"Larranaga-Fragoso, P; Pastora, N; Bravo-Ljubetic, L; Peralta, J; Abelairas-Gomez, J",Topical carbonic anhydrase inhibitors in macular edema associated with Alstrom syndrome,2016,OPHTHALMIC GENETICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3109/13816810.2015.1094493,10.3109/13816810.2015.1094493
7,"Mellado, F; Rojas, T; Cumsille, C",Fungal keratitis: review of diagnosis and treament,2013,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/S0004-27492013000100016,10.1590/S0004-27492013000100016
8,"Arenas-Cavalli, JT; Abarca, I; Rojas-Contreras, M; Bernuy, F; Donoso, R",Clinical validation of an artificial intelligence-based diabetic retinopathy screening tool for a national health system,2022,EYE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41433-020-01366-0,10.1038/s41433-020-01366-0
9,"Arenas-Cavalli, JT; Abarca, I; Rojas-Contreras, M; Bernuy, F; Donoso, R","Clinical validation of an artificial intelligence-based diabetic retinopathy screening tool for a national health system (Jan, 10.1038/s41433-020-01366-0, 2021)",2021,EYE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1038/s41433-021-01690-z,10.1038/s41433-021-01690-z
