,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1190462,Genetic Markers for Risk of Testicular Germ Cell Tumors in Patients with Cryptorchidism,01/07/2018,01/07/2018,"F. Rodríguez / C. Acevedo, F. Cassorla, M. Ebensperger",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
1,1140434,Improving testicular cancer risk evaluation and pharmacotherapy through pharmacogenomics,01/03/2014,01/03/2018,"L. Quiñones / N. Varela, C. Acevedo, D. Cáceres",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
2,1110204,Study of genetic variants related with response to chemotherapy in patients with testicular cancer and their potential use as clinical tools,01/03/2011,01/03/2011,"L. Quiñones / M. Ahumada, D. Cáceres, C. Acevedo",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
3,1070756,Estudio sobre la expresión de proteinas de señalización apoptótica en células espermatogénicas: relación con envejecimiento y patología testicular,01/03/2007,01/03/2010,"C. Acevedo, M. Castro",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
4,1061084,"Expresión de moleculas asociadas a las vias de señalizacion de apoptosis en testiculo humano.  relación con la edad y el varicocele
",01/03/2006,01/03/2006,"C. Acevedo, M. Castro",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
5,1050516,"Detección de proteoglucanos de heparansulfato y moléculas de adhesión en biopsias y cultivos celulares primarios provenientes de cáncer prostático humano. Reversión fenotípica inducida por proteoglucano
",01/06/2005,01/06/2005,"H. Contreras / C. Acevedo, E. Castellón",Programa de Fisiología y Biofísica,FONDECYT,Regular
6,1040541,"Estudio sobre proteglucanos de heparansulfato y moléculas de adhesión involucrados en la invasión y metástasis en células de cáncer prostático humano en cultivos primarios. Reversión fenotípica inducida por proteoglucanos 
",01/03/2004,01/03/2004,"H. Contreras / C. Acevedo, E. Castellón",Programa de Fisiología y Biofísica,FONDECYT,Regular
7,ID21I10355,Desarrollo y Validación a pequeña escala de un ensayo para la detección de mutaciones tumorales en biopsia líquida de pacientes con cáncer de mama avanzado,01/09/2021,01/09/2023,"K. Marcelain / R. Armisen, I. Gallegos, J. González, O. Barajas, A. Marín, M. Ahumada",Departamento de Oncología Básico _ Clínico,FONDEF,IDEA
8,SA20I0059,Impacto clínico de la clasificación molecular del cáncer colorrectal: un paso crucial hacia la medicina personalizada,01/08/2020,01/02/2023,"J. González / K. Marcelain, O. Barajas, M. Ahumada",Departamento de Oncología Básico _ Clínico,CONICYT/MINSAL,FONIS-Proyectos I&D
9,UR-11-XI,Red de medicina traslacional en Cáncer (U-CANCER),01/11/2011,01/11/2012,"R. Armisen / M. Ahumada, E. Castellón, M. López, H. Contreras, F. Salazar, M. Galindo, J. Tapia, F. Alonso, I. Gallegos, J. Fernández, K. Marcelain, V. Torres, O. Barajas, A. Quest",Programa de Fisiopatología,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
