,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,CP22-P043,Herramientas audiovisuales para aumentar la concientización sobre el cáncer en la población chilena,01/11/2022,01/11/2023,H. Contreras / F. Cardemil,Departamento de Oncología Básico _ Clínico,Programa Ciencia Pública,Ciencia Pública para el Desarrollo de Productos de Divulgación del Conocimiento
1,SA21I0003,"Resultados oncológicos, funcionales y asociación entre virus papiloma humano y carcinoma escamoso orofaríngeo en pacientes tratados en un centro público de referencia oncológica",01/09/2021,01/09/2023,"F. Carvajal / C. Araya, E. Castellón, H. Contreras, F. Cardemil",Departamento de Oncología Básico _ Clínico,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA20I0072,MAPA DEL CÁNCER OROFARÍNGEO EN CHILE DURANTE EL DECENIO 2008-2018,01/04/2020,01/04/2020,"F. Carvajal / H. Contreras, F. Cardemil, C. Araya, E. Castellón",Departamento de Oncología Básico _ Clínico,CONICYT/MINSAL,FONIS-Proyectos I&D
3,1151502,Age-related changes in the processing of complex sounds in the central auditory nervous system: speech communication and hearing aid benefit in older adults,01/03/2015,01/03/2018,A. Fuente / F. Cardemil,Escuela de Fonoaudiología,FONDECYT,Regular
4,10964,De la presbiacusia a la demencia: un enfoque básico-clínico,01/10/2015,01/10/2018,"P. Délano / M. Torrente, E. Brunetti, C. Delgado, J. Maass, F. Cardemil",Programa de Fisiología y Biofísica,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
5,SA11I2199,Programa teleeducativo para mejorar adherencia al uso de audífonos en pacientes con hipoacusia: un ensayo CL aleatorizado,01/12/2011,01/12/2012,F. Cardemil,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
6,INCL-08,"Rol de la Alergia en el diagnóstico, evolución y tratamiento de los pacientes con Reflujo Faringolaringeo",01/12/2006,01/12/2007,R. Nazar,Departamento de Medicina,Hospital Clinico,Investigación Clínica 
7,IS2015-08,Rehabilitación Olfatoria en Pacientes Laringectomizados: Maniobra de Inducción del Flujo Aéreo Nasal,01/11/2015,01/11/2016,J. Osorio,Unidad de Otorrinolaringología Norte,Facultad de Medicina,Proyectos de investigación en Salud
8,SA21I0082,Estudio de validación de una prueba de tamizaje auditivo con reforzamiento visual realizado mediante dispositivos móviles en niños pre-escolares durante atención primaria de salud en Chile,01/04/2021,01/04/2021,J. Maass / N. Tamblay,Instituto de Ciencias Biomédicas,CONICYT/MINSAL,FONIS-Proyectos I&D
9,SA20I0135,Prevalencia de hipoacusia y factores asociados en escolares de 6 años adscritos a la red pública de salud,01/08/2020,01/08/2022,"M. Torrente / J. Maass, N. Tamblay",Centro de Diagnóstico,CONICYT/MINSAL,FONIS-Proyectos I&D
10,1221838,Hearing Disorders in Myasthenia Gravis: exploration of auditive cholinergic pathways and their clinical impact,01/08/2021,01/08/2021,J. Cea / C. Tapia,Departamento de Ciencias Neurológicas Oriente,FONDECYT,Regular
11,SA10I20012,Impacto de la traquestomía percutánea precoz sobre la incidencia de disfunción de la deglución en pacientes críticos sometidos a ventilación mecánica. Un ensayo clínico randomizado,01/12/2010,01/09/2012,"C. Romero / P. Walker, R. Cornejo, M. Ruiz, R. Zamorano",Unidad de Pacientes Críticos,CONICYT/MINSAL,FONIS-Proyectos I&D
12,267/07,"Expresión de EGRF y cerbB2 en carcinomas escamosos de cabeza y cuello, correlación pronóstica",01/12/2007,01/12/2010,P. Walker,Servicio de Otorrinolaringología,Sociedades científicas,Sociedad chilena de Otorrinolaringología
