,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Osorio M., Jaime; Correa V., María; Ricci L., Lara; Abarca S., Agustín; Cantero C., Daniel",Orbital hematoma secondary to endoscopic sinus surgery,2022,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0718-48162022000300333,10.4067/s0718-48162022000300333
1,"Bahamondes M., Natalia; Alvo V., Andrés; Kuroiwa R., Maya; Robles M., Carlos; Sedano M., Cecilia",Mastoiditis enmascarada: Reporte de caso en un hospital pediátrico de alta complejidad,2022,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,/UCH/VID,http://dx.doi.org/10.4067/S0718-48162022000400466 ,10.4067/S0718-48162022000400466 
2,"Céspede M., Barahona L., Aedo K., Alvo A.",Neurocognitive and psychiatric effects of pediatric sleep apnea-hypopnea syndrome secondary to adenotonsillar hyperplasia and postsurgical outcomes,2022,Otorhinolaryngology(Italy),SCOPUS/UCH/VID,http://dx.doi.org/10.23736/S2724-6302.22.02458-6,10.23736/S2724-6302.22.02458-6
3,"Vicencio S., Daniela; Reyes S., Gary; Alvo V., Andrés; García C., Karen",Síndrome de la boca ardiente: revisión de la literatura,2022,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0718-48162022000100086,10.4067/s0718-48162022000100086
4,"Alvo V., Andrés; Sedano M., Cecilia",Aplicaciones diagnósticas y terapéuticas del videolaringoscopio C-MAC® en cirugía de vía aérea pediátrica,2022,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0718-48162022000100095,10.4067/s0718-48162022000100095
5,"Pérez T., Francisco; Aguayo G., Lorena; Gutiérrez C., Daniela; Kuroiwa R., Maya; Sedano M., Cecilia; Bahamondes M., Natalia; Alvo V., Andrés",Quistes subglóticos adquiridos: Reporte de tres casos y revisión de la literatura,2021,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0718-48162021000400566,10.4067/s0718-48162021000400566
6,"Alvo, A; Villarroel, G; Sedano, C",Neonatal nasal obstruction,2021,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s00405-020-06546-y,10.1007/s00405-020-06546-y
7,"García C., Karen; Reyes S., Gary; Petit-Breuilh S., Valerie; Alvo V., Andrés",Malformaciones vasculares linfáticas de cabeza y cuello en pacientes pediátricos: revisión de la literatura,2020,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162020000400554,10.4067/S0718-48162020000400554
8,"Alvo V., Andrés",Rinoplastía y rinoseptoplastía funcional: Mejorando la función nasal más allá de la cirugía del tabique y los cornetes nasales,2020,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162020000300360,10.4067/S0718-48162020000300360
9,"García C., Karen; Fuentealba D., David; Barahona A., Luis; Lago K., Sofía del; Alvo C., Andrés; Cataldo de la C., Rodrigo; Naser G., Alfredo; Nazar S., Rodolfo",Abordaje prelagrimal del seno maxilar: experiencia del Hospital Clínico de la Universidad de Chile,2020,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162020000400488,10.4067/S0718-48162020000400488
10,"Alvo, A",The child with persistent stridor,2020,REVISTA CHILENA DE PEDIATRIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.32641/RCHPED.V91I6.2115,10.32641/RCHPED.V91I6.2115
11,"Alvo V, Andrés; Sedano M, Cecilia; van der Meer, Graeme",Traqueomalacia pediátrica,2019,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162019000300347,10.4067/S0718-48162019000300347
12,"Alvo V, Andrés; Villarroel O, Galia; Castro M, Sebastián; Chávez S, Cristóbal; Sedano M, Cecilia",Dilatación precoz de estenosis subglótica adquirida posintubación utilizando tubos endotraqueales,2019,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162019000300271,10.4067/S0718-48162019000300271
13,"Sedano M, Cecilia; Alvo V, Andrés; Muñoz S, Daniel; Cantero C, Daniel",Portación nasal de Staphylococcus aureus en población pediátrica con epistaxis anterior recurrente,2019,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162019000400414,10.4067/S0718-48162019000400414
14,"Alvo V, Andrés; Barahona A, Luis; Aranibar L, Héctor; Gianini V, Romina",Rinosinusitis crónica: Una revisión de su etiopatogenia,2018,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0717-75262018000400451,10.4067/s0717-75262018000400451
15,"Sauvalle, M; Alvo, A",Effect of the temperature of nasal lavages on mucociliary clearance: a randomised controlled trial,2018,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00405-018-5060-y,10.1007/s00405-018-5060-y
16,"Alvo V, Andrés; Sedano M, Cecilia","Prevención, diagnóstico y manejo de lesiones laringotraqueales agudas y subagudas posintubación en pacientes pediátricos",2017,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162017000100014,10.4067/S0718-48162017000100014
17,"Alvo V, Andrés; Sauvalle C, Marcel; Sedano M, Cecilia; Gianini V, Romina","Amigdalectomía y adenoidectomía: Conceptos, técnicas y recomendaciones",2016,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162016000100015,10.4067/S0718-48162016000100015
18,"Alvo V, Andrés; Téllez G, Valentina; Sedano M, Cecilia; Fica C, Alberto",Conceptos básicos para el uso racional de antibióticos en otorrinolaringología,2016,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162016000100019,10.4067/S0718-48162016000100019
19,"Cabrera S, Natalia; Sedano M, Cecilia; Délano R, Paul H; Alvo V, Andrés",Uso de resonancia magnética con secuencia de difusión no-ecoplanar para la detección de colesteatoma en pacientes con cirugía de oído previa: Presentación de 4 casos,2015,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162015000200009,10.4067/S0718-48162015000200009
20,"Alvo V, Andrés; Sedano M, Cecilia",Complicaciones velofaríngeas de adenoamigdalectomía,2015,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162015000300015,10.4067/S0718-48162015000300015
21,"Leon, F; Alvo, A; Sanhueza, D; Delano, PH; Stott, CE",HASTE Diffusion-Weighted Magnetic Resonance Imaging of Middle Ear Teratoma,2015,OTOLOGY & NEUROTOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/MAO.0000000000000528,10.1097/MAO.0000000000000528
22,"Alvo A., Zamorano R.","Surgical tracheostomy: Technique, pearls and pitfalls",2014,"Tracheostomy: Prospective Practices, Management and Potential Complications",SCOPUS/UCH/VID,,
23,"Alvo Vergara, Andrés; Olavarría Leiva, Christian",Decannulation and assessment of deglutition in the tracheostomized patient in non-neurocritical intensive care,2014,ACTA OTORRINOLARINGOLOGICA ESPANOLA,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.otorri.2013.01.004,10.1016/j.otorri.2013.01.004
24,Macchiavello Poblete Cecilia; Alvo Vergara Andrés; Bravo Cordero Gustavo; Naser Gonzalez Alfredo,Piercings en cabeza y cuello,2014,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162014000100011 ,10.4067/S0718-48162014000100011 
25,"Alvo, A; Garrido, C; Salas, A; Miranda, G; Stott, CE; Delano, PH",Use of Non-Echo-Planar Diffusion-Weighted MR Imaging for the Detection of Cholesteatomas in High-Risk Tympanic Retraction Pockets,2014,AMERICAN JOURNAL OF NEURORADIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3174/ajnr.A3952,10.3174/ajnr.A3952
26,Alvo Vergara Andrés; Jara Natalia; Rubio Marín Fabián; Stott Caro Carlos; Naser González Alfredo,Keratosis obturans y colesteatoma del conducto auditivo externo: Caso clínico y revisión de la literatura,2013,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162013000300008,10.4067/S0718-48162013000300008
27,"Alvo, A; Miranda, G; Delano, PH",Metastatic Prostate Adenocarcinoma Presenting as Hearing Loss and Disequilibrium,2012,OTOLOGY & NEUROTOLOGY,SCOPUS/UCH/VID,http://dx.doi.org/10.1097/MAO.0b013e3182713c4a,10.1097/MAO.0b013e3182713c4a
