,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1161662,"Genetic and systemic biomarkers associated with severity of invasive fungal disease in children with cancer, fever and neutropenia: A new insight",01/04/2016,01/04/2020,"M. Santolaya / V. de la Maza, M. Farfán, J. Torres, M. Acuña, C. Salgado",Departamento de Pediatría y Cirugía Infantil Oriente,FONDECYT,Regular
1,1130911,"Clinical severity and specific gene expression profile in respiratory viral infections in children with cancer, fever and neutropenia: a step forward",01/03/2013,01/03/2016,"J. Torres / M. Acuña, M. Santolaya, G. Izquierdo, M. Farfán",Departamento de Pediatría y Cirugía Infantil Oriente,FONDECYT,Regular
2,1060753,"Estudio clinico aleatorio de neuroprotección con nicotinamida en recien nacidos de término con asfixia severa al nacer
",01/03/2006,01/03/2006,"M. Avaria, M. Herrera-Marschitz",Departamento de Pediatría y Cirugía Infantil Norte,FONDECYT,Regular
3,1050574,"Estudio clínico aleatorio de neuroprotección con nicotinamida en recien nacidos de termino con asfixia severa al nacer 
",01/06/2005,01/06/2005,"M. Avaria, M. Herrera-Marschitz",Departamento de Pediatría y Cirugía Infantil Norte,FONDECYT,Regular
4,FO-PRE-104,Desarrollo de un laboratorio multidisciplinario para el diagnóstico clínico e histopatológico de certeza de las miopatías e investigación de una nueva hipótesis fisiopatológica de la distrofia muscular,01/12/2004,01/12/2005,"J. Bevilacqua / M. Avaria, K. Kleinsteuber",Instituto de Ciencias Biomédicas,CONICYT/MINSAL,FONIS-Proyectos I&D
5,1040243,Estudio clínico aleatorio de neuroprotección con nicotinamida en recién nacidos de término con asfixia severa al nacer,01/03/2004,01/03/2008,"M. Avaria, M. Herrera-Marschitz",Departamento de Pediatría y Cirugía Infantil Norte,FONDECYT,Regular
6,1020603,Trombosis venosa profunda (TVP) en relacion al uso de catéter venoso central (CVC) en niños oncológicos: Incidencia y evolución ,01/06/2002,01/06/2002,C. Rostion / M. Campbell,Departamento de Pediatría y Cirugía Infantil Norte,FONDECYT,Regular
7,1920747,Caracterización biológica del blasto leucémico en la leucemia linfoblástica aguda: correlación con factores de riesgo clínico y respuesta precoz al tratamiento,01/03/1992,01/03/1994,"M. Cabrera, M. Campbell",PUC. Depto. de Enfermedades Hematológicas Oncológicas,FONDECYT,Regular
8,1221516,"Genetic variants affecting the human respiratory syncytial virus F protein expression are critical pathogenic factors during primary infection in children, independently from the G gene-based genotype classification",01/10/2021,01/10/2021,"L. Tapia / M. Acevedo, F. Valiente, J. Torres, P. Clement",Instituto de Ciencias Biomédicas,FONDECYT,Regular
9,1180948,Genetic variants affecting the expression of the respiratory syncytial virus fusion protein are critical pathogenic factors determining the immune and clinical outcome in infants,01/07/2017,01/07/2017,"L. Tapia / P. Clement, M. Palomino, J. Torres, R. Soto, F. Valiente",Instituto de Ciencias Biomédicas,FONDECYT,Regular
