,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Bustos, RB; Hickmann, LO; Acuna, CA; Arriagada, M; Palavecino, C",HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS IN CHILDREN REQUIRING INTENSIVE CARE IN CHILE,2022,PEDIATRIC CRITICAL CARE MEDICINE,/UCH/VID,http://dx.doi.org/10.1097/01.pcc.0000900224.13629.7e,10.1097/01.pcc.0000900224.13629.7e
1,"Agulnik, A; Malone, S; Puerto-Torres, M; Gonzalez-Ruiz, A; Vedaraju, Y; Wang, HQ; Graetz, D; Prewitt, K; Villegas, C; Cardenas-Aguierre, A; Acuna, C; Arana, AE; Diaz, R; Espinoza, S; Guerrero, K; Martinez, A; Mendez, A; Montalvo, E; Soberanis, D; Torelli, A; Quelal, J; Villanueva, E; Devidas, M; Luke, D; McKay, V",Reliability and validity of a Spanish-language measure assessing clinical capacity to sustain Paediatric Early Warning Systems (PEWS) in resource-limited hospitals,2021,BMJ OPEN,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/bmjopen-2021-053116,10.1136/bmjopen-2021-053116
2,"Yunge, M; Cordero, J; Martinez, D; Bustos, R; Wegner, A; Castro, M; Arrau, L; Diaz, B; Dalmazzo, R; Hickmann, L; Lapadula, M; Yanez, L; Roque, J; Cecchetti, C; Bravo, P; Cruces, P; Acuna, C; Oyaguez, P; Miras, A; Morales, A; Nieto, M; Lopez, Y; Morales, G; Drago, M; Nalegach, ME; Sepulveda, G; Menchaca, A; Jerez, F; Glasinovic, M; Mallea, F; Lopez-Herce, J",Effectiveness of Two Targeted Temperature Management Methods After Pediatric Postcardiac Arrest: A Multicenter International Study,2019,PEDIATRIC CRITICAL CARE MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/PCC.0000000000001813,10.1097/PCC.0000000000001813
3,"Aggarwal, V; Imamura, M; Acuna, C; Cabrera, AG","Chromosome 22q11 deletion in a patient with pulmonary atresia, intact ventricular septum, and confluent branch pulmonary arteries",2018,CARDIOLOGY IN THE YOUNG,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S104795111700227X,10.1017/S104795111700227X
4,Acuña Aguirre Carlos,"Sepsis, una tarea de todos",2013,REVISTA CHILENA DE PEDIATRIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0370-41062013000600002,10.4067/S0370-41062013000600002
5,"Acuna, C;Morales, J;Castillo, C;Torres, JP",Phamacokinetics of vancomycin in children hospitalized in a critical care unit,2013,REVISTA CHILENA DE INFECTOLOGIA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0716-10182013000600001,10.4067/S0716-10182013000600001
6,"Uribe, M; Alba, A; Hunter, B; Gonzalez, G; Godoy, J; Ferrario, M; Buckel, E; Cavallieri, S; Heine, C; Rebolledo, R; Auad, H; Acuna, C",Liver Transplantation in Children Weighing Less Than 10 kg: Chilean Experience,2013,TRANSPLANTATION PROCEEDINGS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.transproceed.2013.08.092,10.1016/j.transproceed.2013.08.092
7,"Uribe, M; Alba, A; Gonzalez, G; Hunter, B; Heine, C; Iniguez, R; Cavallieri, S; Flores, L; Soto, P; Auad, H; Zuleta, R; Acuna, C",Pediatric Liver Transplant Outcome Using Severe Hypernatremic Donors,2013,TRANSPLANTATION PROCEEDINGS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.transproceed.2013.08.078,10.1016/j.transproceed.2013.08.078
8,"Acuna, C; Zuleta, R; Dalmazzo, R; Valverde, C; Uribe, M; Alba, A; Buckel, E; Hunter, B; Gonzalez, G; Godoy, J; Ferrario, M; Cavallieri, S; Campos, M; Pizarro, F; Wash, A; Ferron, S; Diaz, V; Macho, L; Herzog, C; Calabran, L; Flores, L; Soto, P; Heine, C; Rebolledo, R; Auad, H",Pediatric Liver Transplantation Experience and Outcome in Chile,2013,TRANSPLANTATION PROCEEDINGS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.transproceed.2013.08.090,10.1016/j.transproceed.2013.08.090
9,"Alvarado L, Jimena; Vergara B, Loreto",Estudio electrodiagnóstico en síndrome de Guillain Barré en adultos,2016,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-92272016000200006,10.4067/S0717-92272016000200006
