,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA19I0086,"Infancia e inmigración en el chile de hoy: estudio clínico multicéntrico e interregional para mejorar la adherencia al control de salud, vacunación y prevención de malnutrición en hijos de mujeres migrantes",01/03/2019,01/03/2019,"M. Herrera / L. Andino, L. Toro, M. Contardo, P. Segura",Servicio de Pediatría,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA21I0164,Hijos/hijas de madres inmigrantes y no inmigrantes: Factores que determinan inequidades sociales en salud durante el primer año de vida de niños y niñas nacidos en Chile,01/05/2021,01/05/2021,"L. Villanueva / R. Villegas, O. Horna, M. Carroza, M. Araya",Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,CONICYT/MINSAL,FONIS-Proyectos I&D
2,ODA_ALC_20_01,Derecho a la Alimentación en la Constitución: fundamentos y conceptos participativos,01/05/2020,01/05/2021,"L. Rodríguez / M. Carroza, J. Aranda, M. Araya, P. Gálvez",Instituto de Salud Poblacional,Otros,Otros
3,SA20I0112,Propuesta de un nuevo estándar de evaluación nutricional en gestantes adolescentes,01/08/2020,01/02/2023,"M. Araya / L. Rodríguez, M. Carroza, R. Villegas",Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,CONICYT/MINSAL,FONIS-Proyectos I&D
4,COVID0139,Autogestión del cuidado y acceso a prestaciones en salud de personas con factores de riesgo asociados a estilo de vida en condiciones de pandemia por COVID-19,01/06/2020,01/06/2021,"M. Araya, R. Retamal, L. Rodríguez, D. Nicoletti",Departamento de Nutrición,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
5,SA19I0125,Evaluación de los ambientes alimentarios y su relación con el estado nutricional de preescolares de la Comuna de Cerro de Navia,01/03/2019,01/03/2019,"D. Egaña / P. Molina, P. Gálvez, M. Araya, L. Rodríguez",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA16I0287,"Embarazo Adolescente: Riesgo Metabólico, porcentaje de grasa corporal y retención de peso, a los dos años después del parto, en gestantes adolescentes que ingresaron al estudio de la primera cohorte de embarazadas chilenas (CHiMINCs) el año 2013, en el Servicio de Salud del Área Sur-Oriente de la Región Metropolitana",01/11/2016,01/11/2018,M. Araya / M. Garmendia,Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,CONICYT/MINSAL,FONIS-Proyectos I&D
7,1150878,"Effectiveness on maternal and offspring metabolic control of a home-based dietary and physical activity counseling and n3-long chain pufa supplementation in obese pregnant women
",01/03/2015,01/03/2019,"M. Garmendia / M. Araya, C. Corvalán, R. Uauy",Epidemiología,FONDECYT,Regular
8,114-196,Healthy pregnancies for a healthy life: Effectiveness of dietary and physical activity interventions in obese pregnant women on the metabolic control of mothers and their offspring,01/03/2014,01/03/2014,"M. Garmendia / M. Araya, C. Corvalán, R. Uauy",Dirección,FONDECYT,Regular
9,1130277,"Effectiveness of a normative intervention (diet, physical activity and breastfeeding) on maternal nutrition and offspring growth and development: Nutrition in the first 1000 days key to healthy growth and long-term health",01/03/2013,01/03/2017,"R. Uauy / C. Corvalán, M. Araya, M. Garmendia",Dirección,FONDECYT,Regular
10,11240157,"Design, implementation and evaluation of a transdisciplinary training program on sociocultural and psychosocial factors involved in decision-making and sexual health behaviors in a migrant population aimed at primary health care teams",01/05/2023,01/05/2023,J. Belmar,Instituto de Salud Poblacional,FONDECYT,Iniciación en Investigación
11,1220371,Community based surveillance of socio-epidemiological aspects linked to sexual health and related communicable diseases in migrant population in Chile,01/04/2022,01/04/2025,V. Stuardo / J. Belmar,Instituto de Salud Poblacional,FONDECYT,Regular
12,SA19I0023,"Contextos de vulnerabilidad, prácticas sexuales y barreras institucionales para el abordaje de la salud sexual, el VIH y otras ITS en población migrante: Recomendaciones para los distintos niveles de atención del sistema sanitario chileno",01/10/2019,01/04/2022,"J. Belmar / C. Cortés, V. Stuardo, M. Fuentes",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
13,REDES180058,"The Iberoamerican Network on Gay Men, other MSM and Trans Studies (RIGHT Plus)",01/10/2018,01/04/2020,V. Stuardo / J. Belmar,Instituto de Salud Poblacional,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
14,SA18I0137,"Impacto en la salud infantil, del acceso y adherencia a los programas de salud materno infantiles de las mujeres inmigrantes",01/04/2018,01/04/2018,"M. Reyes / K. Basfi-Fer, L. Binfa, J. Ilabaca, R. Vásquez, J. Ortiz",Departamento de Nutrición,CONICYT/MINSAL,FONIS-Proyectos I&D
15,SA16I0181,Impacto en la calidad de la atención a la gestante con la implementación del modelo participativo de cuidado prenatal grupal,01/08/2016,01/08/2016,L. Binfa,Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,CONICYT/MINSAL,FONIS-Proyectos I&D
16,SA12I2079,Evaluación Cuali- Cuantitativa de la Implementación de la Guía de Atención Personalizada del Parto: Percepción de usuarias y profesionales involucrados y evolución de variables obstétricas y neonatales,01/12/2012,01/12/2014,L. Binfa,Escuela de Obstetricia y Puericultura,CONICYT/MINSAL,FONIS-Proyectos I&D
17,SA09I10057,Prevalencia de las dificultades del lenguaje en un grupo de niños prematuros entre 4 y 5 años 11 meses,01/12/2009,01/12/2009,"M. Maggiolo / L. Binfa, C. Díaz, V. Varela",Escuela de Fonoaudiología,CONICYT/MINSAL,FONIS-Proyectos I&D
18,FO-PRE-077,Impacto de la utilización de un modelo de atención integral en la salud y calidad de vida de la mujer durante el climaterio,01/12/2004,01/12/2004,"L. Binfa / J. Blumel, G. Cavada",Escuela de Obstetricia y Puericultura,CONICYT/MINSAL,FONIS-Proyectos I&D
19,1241980,Cardiovascular risk in a cohort of childhood cancer survivor in Chile: pilot study evaluating the impact of exercise training in physical fitness and cardiotoxicity markers,01/08/2023,01/08/2023,R. Castillo / A. Candia,Departamento de Medicina Interna Oriente,FONDECYT,Regular
20,1240684,Exploring deleterious outcomes of fungal colonization of the placenta by Pneumocystis for the mother-fetus binomia,01/07/2023,01/07/2023,"S. Vargas / M. Galindo, U. Kemmerling, M. Carroza, F. Magne, B. Pesce",Instituto de Ciencias Biomédicas,FONDECYT,Regular
21,SA21I0164,Hijos/hijas de madres inmigrantes y no inmigrantes: Factores que determinan inequidades sociales en salud durante el primer año de vida de niños y niñas nacidos en Chile,01/05/2021,01/05/2021,"L. Villanueva / R. Villegas, O. Horna, M. Carroza, M. Araya",Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,CONICYT/MINSAL,FONIS-Proyectos I&D
22,1211991,Characterization of vascular inflammation and consequences of Pneumocystis colonization in placenta: A newly recognized target-organ for this fungal infection in the general population,01/08/2020,01/08/2020,"S. Vargas / M. Gotteland, M. Henríquez, M. Carroza",Instituto de Ciencias Biomédicas,FONDECYT,Regular
23,ODA_ALC_20_01,Derecho a la Alimentación en la Constitución: fundamentos y conceptos participativos,01/05/2020,01/05/2021,"L. Rodríguez / M. Carroza, J. Aranda, M. Araya, P. Gálvez",Instituto de Salud Poblacional,Otros,Otros
24,SA20I0112,Propuesta de un nuevo estándar de evaluación nutricional en gestantes adolescentes,01/08/2020,01/02/2023,"M. Araya / L. Rodríguez, M. Carroza, R. Villegas",Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,CONICYT/MINSAL,FONIS-Proyectos I&D
25,UI-014/20,"EMBARAZO ADOLESCENTE: Efecto de la pandemia por COVID-19 en el aumento de la morbimortalidad materna y perinatal en gestantes adolescentes pertenecientes al Servicio de Salud Metropolitano Norte (SSMN), año 2020",01/10/2020,01/10/2020,M. Carroza,Departamento de Promoción de la Salud de la Mujer y el Recién Nacido,Fondo Central de Investigación,U-INICIA
