,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Lorena, RO; Jorge, AO; Patricia, GEFGN; Maria, BCIO; Pamela, EC; Figarir, AM; Medinas, FR; Bannout, MA","Right to food in the Chilean constitution: legal, social and nutritional elements for a proposal",2022,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872022000801026,10.4067/S0034-98872022000801026
1,"Ortiz-Contreras J., Carroza-Escobar M.B., Neira-Insulsa C., Guajardo-Santis F., Quiroz-Carreño J., Díaz-Navarrete M., Araya-Bannout M.",Maternal and perinatal health of pregnant Haitian women residing in Santiago de Chile: situation and challenges,2022,Matronas Profesion,SCOPUS/UCH/VID,,
2,"Araya-Bannout, M",Right to adequate food in the Chilean political-social context,2022,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/s0717-75182022000400008,10.4067/s0717-75182022000400008
3,"Bannout, MAB; Rodriguez-Osiac, L; Rojas, DE; Espinoza, PG; Ortega, JA",From the constitution to the table. Conversations on the right to feeding,2022,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/s0717-75182022000400007,10.4067/s0717-75182022000400007
4,"Escobar, MBC; Galvez-Espinoza, P; Rodriguez-Osiac, L; Araya, M; Marin, A; Estay-Castro, P; Rojo-Medina, F; Aranda, J",The right to food: What do the constitutions of America and the Caribbean say?,2022,REVISTA CHILENA DE NUTRICION,SCIELO-Chile/ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75182022000200226,10.4067/S0717-75182022000200226
5,"Araya, BM; Kusanovic, JP; Corvalan, C; Garmendia, ML",Response to the letter: Impact of the change of the Atalah standard cut-off point to classify underweight nutritional status during pregnancy,2022,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182022000200289,10.4067/S0717-75182022000200289
6,"Galvez, P; Carroza, MB; Bannout, MA; Marin, A; Aranda, J; Estay, P; Rojo, F; Rodriguez-Osiac, L",Right to food and COVID-19: A qualitative study of key actors' perceptions in Chile,2021,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182021000600901,10.4067/S0717-75182021000600901
7,"Araya, BM; Kusanovic, JP; Corvalan, C; Garmendia, ML",Impact of the change of the Atalah standard cut-off point to classify underweight nutritional status during pregnancy,2021,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182021000500717,10.4067/S0717-75182021000500717
8,"Escobar, MBC; Contreras, JO; Bertoglia, MP; Bannout, MA","Pregestational obesity, maternal morbidity and risk of caesarean delivery in a country in an advanced stage of obstetric transition",2021,OBESITY RESEARCH & CLINICAL PRACTICE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.orcp.2020.12.006,10.1016/j.orcp.2020.12.006
9,"Contreras J.O., Carroza Escobar M.B., Quiroz-Carreño J., Navarrete M.D., Bannout M.A.",Maternal and perinatal outcomes of peruvian pregnant women in chile: Exploring the healthy immigrant effect,2020,REVISTA PERUANA DE MEDICINA EXPERIMENTAL Y SALUD PUBLICA,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.17843/rpmesp.2020.374.6098,10.17843/rpmesp.2020.374.6098
10,"Garmendia, ML; Corvalan, C; Araya, M; Casanello, P; Kusanovic, JP; Uauy, R",Effectiveness of a normative nutrition intervention in Chilean pregnant women on maternal and neonatal outcomes: the CHiMINCs study,2020,AMERICAN JOURNAL OF CLINICAL NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ajcn/nqaa185,10.1093/ajcn/nqaa185
11,"Osiac, LR; Rojas, DE; Espinoza, PG; Navarro-Rosenblatt, D; Araya, M; Carroza, MB; Baginsky, C",Let's avoid food insecurity in COVID-19 time in Chile,2020,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182020000300347,10.4067/S0717-75182020000300347
12,"Ortiz, J; Diaz, M; Araya, M; Quiroz, J; Carroza, B; Pavez, J; Gutierrez, L; Binfa, L","Comparison of bio-sociodemographic, obstetric and perinatal characteristics among immigrant and native women in the Metropolitan Region in Chile",2019,MIDWIFERY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.midw.2019.04.008,10.1016/j.midw.2019.04.008
13,"Anleu, E; Reyes, M; Araya, M; Flores, M; Uauy, R; Garmendia, ML",Effectiveness of an Intervention of Dietary Counseling for Overweight and Obese Pregnant Women in the Consumption of Sugars and Energy,2019,NUTRIENTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nu11020385,10.3390/nu11020385
14,"Garmendia M.L., Corvalán C., Casanello P., Araya M., Flores M., Bravo A., Kusanovic J.P., Olmos P., Uauy R.",Effectiveness on maternal and offspring metabolic control of a home-based dietary counseling intervention and DHA supplementation in obese/overweight pregnant women (MIGHT study): A randomized controlled trial¿Study protocol,2018,CONTEMPORARY CLINICAL TRIALS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.cct.2018.05.007,10.1016/j.cct.2018.05.007
15,"Ortiz, J; Diaz, M; Quiroz, J; Pavez, J; Carroza, B; Binfa, L; Araya, M",COMPARISON OF NUTRITIONAL STATUS Y PERINATAL OUTCOMES BETWEEN IMMIGRANT AND CHILEAN PREGNANT WOMEN WHO ATTENDED THEIR DELIVERY AT SAN BORJA ARRIARAN HOSPITAL IN THE YEAR 2015,2017,ANNALS OF NUTRITION AND METABOLISM,ISI/UCH/VID,,
16,"Araya B.M., Díaz M., Paredes D., Ortiz J.",Association between preterm birth and its subtypes and maternal sociodemographic characteristics during the post-transitional phase in a developing country with a very high human development index,2017,PUBLIC HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.puhe.2017.01.027,10.1016/j.puhe.2017.01.027
17,"Garmendia, ML; Zamudio, C; Araya, M; Kain, J",Association between prepregnancy obesity and metabolic risk in Chilean premenopausal women 10 y postpartum,2017,NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.nut.2017.01.003,10.1016/j.nut.2017.01.003
18,"Garmendia, ML; Corvalan, C; Araya, M; Casanello, P; Kusanovic, JP; Uauy, R","Effectiveness of a normative nutrition intervention (diet, physical activity and breastfeeding) on maternal nutrition and offspring growth: the Chilean maternal and infant nutrition cohort study (CHiMINCs)",2015,BMC PREGNANCY AND CHILDBIRTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12884-015-0605-1,10.1186/s12884-015-0605-1
19,"Araya, M; Padilla, O; Garmendia, ML; Atalah, E; Uauy, R",Prevalence of obesity among Chilean women in childbearing ages,2014,REVISTA MEDICA DE CHILE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872014001100011,10.4067/S0034-98872014001100011
20,"Atalah, E; Araya, M; Rosselot, G; Araya, H; Vera, G; Andreu, R; Barba, C; Rodriguez, L","Consumption of a DHA-enriched milk drink by pregnant and lactating women, on the fatty acid composition of red blood cells, breast milk, and in the newborn.",2009,ARCHIVOS LATINOAMERICANOS DE NUTRICION,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
21,"Atalah S, Eduardo; Vera A, Gloria; Rosselot P, Gastón; Araya L, Héctor; Andreu R, Ramón; Alviña W, Marcela; Araya B, Marcela; Vargas P, Vianny; Peñafiel W, Karina; Barba G, Catalina; Pizarro Q, Tito","Desarrollo, consumo y aceptabilidad de una bebida láctea con dha para embarazadas y nodrizas",2008,REVISTA CHILENA DE NUTRICION,SCIELO-Chile/SCOPUS/UCH/VID,,
22,Araya Bannout Marcela; Atalah Samur Eduardo,Factores que determinan la selección de alimentos en familias de sectores populares,2002,REVISTA CHILENA DE NUTRICION,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-75182002000300006,10.4067/S0717-75182002000300006
23,"Avila, VS; Alburquenque, MF; Munoz, R; Lobos, LB; Faba, A; Prieto, JB; Casabona, J","Prevalence and Risk Factors for HIV Infection in a Population of Homosexual, Bisexual, and Other Men Who Have Sex with Men in the Metropolitan Region of Chile: A Re-emerging Health Problem",2020,AIDS AND BEHAVIOR,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10461-019-02486-9,10.1007/s10461-019-02486-9
24,"Prieto, JB; Avila, VS; Folch, C; Montoliu, A; Casabona, J",Linked factors to access to sexual health checkups of female sex workers in the metropolitan region of Chile,2019,INTERNATIONAL JOURNAL OF PUBLIC HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00038-018-1175-6,10.1007/s00038-018-1175-6
25,"Belmar J., Stuardo V., Folch C., Carvajal B., Clunes M.J., Montoliu A., Casabona J.","A typology of female sex work in the Metropolitan Region of Santiago, Chile",2018,CULTURE HEALTH & SEXUALITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/13691058.2017.1355478,10.1080/13691058.2017.1355478
