,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Conejero Sandoval, Jennifer; Almonte Vyhmeister, Carlos",Desarrollo de la orientación sexual en adolescentes de 16 a 18 años de ambos sexos de Santiago de Chile: Estudio Exploratorio,2009,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCOPUS/SCIELO-Chile/UCH/VID,,
1,"Salinas, DG; Bustamante, ML; Gallardo, MO",Modelling quarantine effects on SARS-CoV-2 epidemiological dynamics in Chilean communes and their relationship with the Social Priority Index,2023,PEERJ,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.7717/peerj.14892,10.7717/peerj.14892
2,"Zazueta, A; Castillo, T; Cavieres, A; Gonzalez, R; Abarca, M; Nieto, RR; Deneken, J; Araneda, C; Moya, PR; Bustamante, ML",Polymorphisms in Schizophrenia-Related Genes Are Potential Predictors of Antipsychotic Treatment Resistance and Refractoriness,2022,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ijnp/pyac025,10.1093/ijnp/pyac025
3,"Castillo, JV; Diaz, SC; Bustamante, ML; Ferreira, MG; Teive, HAG; Miranda, M",Autosomal Recessive Cerebellar Ataxia 1: First Case Report Depicting a Variant in SYNE1 Gene in a Chilean Patient,2021,CEREBELLUM,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12311-021-01250-x,10.1007/s12311-021-01250-x
4,"Barozet, E; Valenzuela, CY; Cifuentes, L; Verdugo, RA; Herrera, L; Acuna, M; Llop, E; Moraga, M; Berrios, S; Di Genova, A; Digman, D; Symon, A; Asenjo, S; Lopez, P; Bustamante, ML; Pezo-Valderrama, P; Suazo, J; Caba, F; Villalon, M; Alvarado, S; Caceres, D; Salgado, K; Portales, P; Loira, N; Maas, A",The Chilean socio-ethno-genomic cline,2021,BIODEMOGRAPHY AND SOCIAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/19485565.2021.1879626,10.1080/19485565.2021.1879626
5,"Nieto, RR; Carrasco, A; Corral, S; Castillo, R; Gaspar, PA; Bustamante, ML; Silva, H",BDNF as a Biomarker of Cognition in Schizophrenia/Psychosis: An Updated Review,2021,FRONTIERS IN PSYCHIATRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyt.2021.662407,10.3389/fpsyt.2021.662407
6,"Salinas V., Villarroel J., Silva H., Herrera L., Jerez S., Zazueta A., Montes C., Nieto R., Bustamante M.L.",SERT and BDNF polymorphisms interplay on neuroticism in borderline personality disorder,2020,BMC RESEARCH NOTES,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13104-020-4924-6,10.1186/s13104-020-4924-6
7,"Villarroel, J; Salinas, V; Silva, H; Herrera, L; Montes, C; Jerez, S; Vohringer, PA; Bustamante, ML",Beyond the Categorical Distinction Between Borderline Personality Disorder and Bipolar II Disorder Through the Identification of Personality Traits Profiles,2020,FRONTIERS IN PSYCHIATRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyt.2020.00552,10.3389/fpsyt.2020.00552
8,"Miranda, M; Harmuth, F; Bustamante, ML; Rossi, M; Sturm, M; Magnusson, OT; Bauer, P; Klockgether, T; Ramirez, A",Intermediate phenotype of ATP13A2 mutation in two Chilean siblings: Towards a continuum between parkinsonism and hereditary spastic paraplegia,2020,PARKINSONISM & RELATED DISORDERS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.parkreldis.2020.10.004,10.1016/j.parkreldis.2020.10.004
9,"Verdugo, RA; Di Genova, A; Herrera, L; Moraga, M; Acuna, M; Berrios, S; Llop, E; Valenzuela, CY; Bustamante, ML; Digman, D; Symon, A; Asenjo, S; Lopez, P; Blanco, A; Suazo, J; Barozet, E; Caba, F; Villalon, M; Alvarado, S; Caceres, D; Salgado, K; Portales, P; Moreno-Estrada, A; Gignoux, CR; Sandoval, K; Bustamante, CD; Eng, C; Huntsman, S; Burchard, EG; Loira, N; Maass, A; Cifuentes, L",Development of a small panel of SNPs to infer ancestry in Chileans that distinguishes Aymara and Mapuche components,2020,BIOLOGICAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40659-020-00284-5,10.1186/s40659-020-00284-5
