,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA20I0130,"Significados y prácticas de cuidado y preparación para la muerte de personas mayores en el final de la vida. Recomendaciones para cuidadores, familiares y equipos de Atención Primaria de Salud",01/08/2020,01/02/2023,"G. Huepe / M. Bascuñán, V. Aliaga, J. Rebolledo, J. Acuña",Departamento de Psiquiatría y Salud Mental Oriente,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA19I0127,"Estudio cualitativo sobre los significados y prácticas en torno al proceso de muerte: Recomendaciones para proteger la salud mental de cuidadores, familiares y equipos de APS, y mejorar la calidad de atención de personas mayores en el final de la vida",01/03/2019,01/03/2019,"G. Huepe / M. Bascuñán, J. Acuña, J. Rebolledo, V. Aliaga",Departamento de Psiquiatría y Salud Mental Oriente,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA09I20014,"Impacto de un modelo de capacitación en trastornos depresivos, integrado con la práctica reflexiva, sobre las habilidades diagnósticas, terapéuticas y resolutivas del médico general en atención primaria en salud",01/10/2009,01/02/2011,"K. Navarro, G. Huepe, A. Botto, J. Acuña",Departamento de Psiquiatría y Salud Mental Oriente,CONICYT/MINSAL,FONIS-Proyectos I&D
3,1040392,"La Subjetividad de los Médicos en Tiempos de Cambio: Bienestar y satisfacción de los médicos con el ejercicio de su profesión en un sistema de salud en proceso de reforma
",01/03/2004,01/03/2004,"C. Fullerton, J. Acuña, M. Bascuñán",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
4,1000902,"Evaluación del impacto de las intervenciones de tratamiento y rehabilitación psicosocial en pacientes enfermos mentales severos.
",01/03/2000,01/03/2000,J. Acuña,Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
5,FR1991-001,"Trastornos emocionales en la atención primaria de salud. Prevalencia, diagnóstico, tratamiento y evolución",01/03/1991,01/03/1991,"J. Acuña / S. Florenzano, C. Fullerton",Hospital Del Salvador,FONDECYT,Regular
6,SA17I0138,"Evaluación de la percepción de médicos y población general respecto de la interacción médicos-industria y su impacto en el prestigio y confianza hacia la profesión médica. Estudio conducente a propuestas regulatorias y preventivas
",01/05/2017,01/05/2017,J. Almonte,Facultad de Psicología,CONICYT/MINSAL,FONIS-Proyectos I&D
7,ID18I10113,Evaluación eficiente de la disfunción ejecutiva en pacientes con traumatismo craneoencefálico en contextos de la vida diaria mediante el uso de una herramienta informática (videojuego),01/08/2018,01/08/2020,"A. Slachevsky / J. Velásquez, C. Amudio, L. Olavarría, L. Alvarado",Instituto de Ciencias Biomédicas,FONDEF,IDEA
8,ID17I10091,Evaluación eficiente de la disfunción ejecutiva en pacientes con traumatismo craneoencefálico en contextos de la vida diaria mediante el uso de una herramienta informática (videojuego),01/05/2017,01/05/2017,A. Slachevsky / L. Alvarado,Instituto de Ciencias Biomédicas,FONDEF,IDEA Bietapa
9,1000889,"Estudio clínico, farmacológico y neuroquímico de la impulsividad y alteraciones cognitivas en los trastornos de la personalidad",01/03/2000,01/03/2003,"H. Silva / L. Alvarado, S. Jerez, M. Montenegro",Centro de Diagnóstico,FONDECYT,Regular
10,1181767,"Consumo de marihuana en adolescentes: la vivencia de temporalidad en el proceso de conformación de identidad
",01/07/2017,01/07/2017,"A. Dorr / P. Barros, G. Huepe",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
11,1221538,Promoviendo los cuidados sensibles: modulando la paradoja de la oxitocina a través del priming de apego seguro,01/04/2022,01/04/2025,A. Botto,Facultad de Psicología,FONDECYT,Regular
12,1150166,Interacción gen-cultura en la sintomatología depresiva y el bienestar subjetivo en Chile,01/03/2015,01/03/2019,"I. Quevedo, C. Leighton, R. Assar, A. Botto, L. Herrera",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
13,SA09I20014,"Impacto de un modelo de capacitación en trastornos depresivos, integrado con la práctica reflexiva, sobre las habilidades diagnósticas, terapéuticas y resolutivas del médico general en atención primaria en salud",01/10/2009,01/02/2011,"K. Navarro, G. Huepe, A. Botto, J. Acuña",Departamento de Psiquiatría y Salud Mental Oriente,CONICYT/MINSAL,FONIS-Proyectos I&D
14,1181651,Prevalencia del Malestar Psicológico en Estudiantes de Educación Superior de Chile,01/07/2017,01/07/2017,"L. Villacura / I. López, A. Dorr",Dirección Académica,FONDECYT,Regular
15,1181767,"Consumo de marihuana en adolescentes: la vivencia de temporalidad en el proceso de conformación de identidad
",01/07/2017,01/07/2017,"A. Dorr / P. Barros, G. Huepe",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
16,11181318,Consumo de marihuana en adolescentes: la vivencia de temporalidad en el proceso de conformación de identidad,01/05/2018,01/05/2018,A. Dorr,Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Iniciación en Investigación
17,3170916,Escolares adolescentes consumidores abusivos de marihuana y construcción de identidad,01/08/2016,01/08/2016,A. Dorr / A. Espinoza,Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Postdoctorado
18,1161561,Disturbances of the lived-body and its implications in the diagnosis of major depression in everyday clinical practice,01/08/2015,01/08/2015,"O. Dorr / A. Mundt, A. Dorr",UDP. Universidad Diego Portales,FONDECYT,Regular
19,1161446,Transition from adolescence to adulthood in university students: role of temporality in the conformation of identity,01/06/2015,01/06/2015,"A. Dorr / L. Villacura, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
20,1150739,Transición de la Adolescencia a la Adultez en estudiantes universitarios: Rol de la temporalidad en la conformación de la identidad,01/03/2015,01/03/2015,"A. Dorr / L. Villacura, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
21,1100163,Brain functional abnormalities in teenage marijuana consumers,01/03/2010,01/03/2010,A. Dorr,Clinica las Condes,FONDECYT,Regular
22,1161561,Disturbances of the lived-body and its implications in the diagnosis of major depression in everyday clinical practice,01/08/2015,01/08/2015,"O. Dorr / A. Mundt, A. Dorr",UDP. Universidad Diego Portales,FONDECYT,Regular
23,1161446,Transition from adolescence to adulthood in university students: role of temporality in the conformation of identity,01/06/2015,01/06/2015,"A. Dorr / L. Villacura, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
24,1150739,Transición de la Adolescencia a la Adultez en estudiantes universitarios: Rol de la temporalidad en la conformación de la identidad,01/03/2015,01/03/2015,"A. Dorr / L. Villacura, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
25,1080702,Estilos de crianza y sus efectos en la salud mental de los adolescentes,01/03/2008,01/03/2008,S. Florenzano,Facultad de Psicología,FONDECYT,Regular
26,D00I1025,Promoción de la Salud del adolescente fomentando el rol de la protección familiar,01/12/2000,01/12/2003,S. Florenzano,Facultad de Medicina,FONDEF,Investigación y Desarrollo (I+D)
27,1990844,El rol de la familia en el desarrollo de los adolescentes: vías evolutivas comparadas,01/03/1999,01/03/2002,"S. Florenzano, A. Roizblatt",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
28,1940277,Factores protectores en el funcionamiento familiar de adolescentes vulnerables,01/03/1994,01/03/1997,"A. Roizblatt, J. Labra, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
29,1931109,Factores condicionantes de conducta de riesgo para la salud entre los adolescentes: familia y grupo de pares,01/03/1993,01/03/1996,"S. Florenzano / H. Pino, C. Fullerton",Departamento de Psiquiatría y Salud Mental Norte,FONDECYT,Regular
30,FR1991-001,"Trastornos emocionales en la atención primaria de salud. Prevalencia, diagnóstico, tratamiento y evolución",01/03/1991,01/03/1991,"J. Acuña / S. Florenzano, C. Fullerton",Hospital Del Salvador,FONDECYT,Regular
31,1987-8413,Stress y Ulcera: Aspectos psicopatológicos y psicofisiológicos,01/12/1984,01/12/1987,S. Florenzano,Departamento de Psiquiatría y Salud Mental Oriente,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
32,1040392,"La Subjetividad de los Médicos en Tiempos de Cambio: Bienestar y satisfacción de los médicos con el ejercicio de su profesión en un sistema de salud en proceso de reforma
",01/03/2004,01/03/2004,"C. Fullerton, J. Acuña, M. Bascuñán",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
33,1931109,Factores condicionantes de conducta de riesgo para la salud entre los adolescentes: familia y grupo de pares,01/03/1993,01/03/1996,"S. Florenzano / H. Pino, C. Fullerton",Departamento de Psiquiatría y Salud Mental Norte,FONDECYT,Regular
34,FR1991-001,"Trastornos emocionales en la atención primaria de salud. Prevalencia, diagnóstico, tratamiento y evolución",01/03/1991,01/03/1991,"J. Acuña / S. Florenzano, C. Fullerton",Hospital Del Salvador,FONDECYT,Regular
35,1241004,Ensayo clínico aleatorizado en consultantes con depresión mayor expuestos a estrés adverso temprano: asistencia digital al diagnóstico clínico e intervención terapéutica personalizada para el estrés adverso temprano,01/08/2023,01/08/2023,"S. Gloger, P. Vohringer",,FONDECYT,Regular
36,1191676,Tau in plasma and platelets: A peripheral biomarker of cognitive impairment of the Alzheimer type,01/09/2018,01/09/2018,"G. Farías / C. Delgado, R. Maccioni, S. Gloger, M. Behrens, L. Toro, C. Guevara",Departamento de Neurociencias,FONDECYT,Regular
37,1171493,"Detection and treatment of patients with complex depression: Development and effectiveness of a detection tool and therapy modules to enhance treatment outcomes in short term, non-manualized psychotherapy delivered in a naturalistic setting",01/09/2016,01/09/2016,S. Gloger,PUC. Escuela de Psicología,FONDECYT,Regular
38,1130810,Validación de un modelo multidimensional de la depresión y evaluación de su capacidad sobre los resultados de la psicoterapia,01/03/2013,01/03/2017,"S. Gloger, V. Martínez",UFRO. Facultad de Medicina,FONDECYT,Regular
