,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Acuna, J;Rdz-Navarro, K;Huepe, G;Botto, A;Carcamo, M;Jimenez, JP",Clinical skills of Chilean general practitioners for the management of depressive disorders,2016,REVISTA MEDICA DE CHILE,SCIELO-Chile/ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872016000100007,10.4067/S0034-98872016000100007
1,"Huepe, G; Carcamo, M; Acuna, J; Botto, A; Jimenez, JP",Qualitative impact of a training program on depressive disorders for primary care physicians,2015,REVISTA MEDICA DE CHILE,SCIELO-Chile/ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015000600013,10.4067/S0034-98872015000600013
2,"Botto, A;Acuna, J;Jimenez, JP",A new proposal for the diagnosis of depression,2014,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872014001000010,10.4067/S0034-98872014001000010
3,"Acuna, J;Schiattino, I;Horwitz, N;Bascunan, ML;Jimenez, JP","Characteristics of employment and wellbeing among physicians working in Santiago, Chile",2013,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872013000200007,10.4067/S0034-98872013000200007
4,"Bascunan, ML;Horwitz, N;Schiattino, I;Acuna, J;Jimenez, JP",A survey about physicians' professional satisfaction,2011,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872011001000009,10.4067/S0034-98872011001000009
5,"Horwitz, N ; Bascunan, L ; Schiattino, I ; Acuna, J ; Jimenez, JP",Generation and validation of a scale to measure physicians' wellbeing,2010,REVISTA MEDICA DE CHILE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872010000900002,10.4067/S0034-98872010000900002
6,"Acuña, Julia; Roizblatt, Arturo; Fullerton, Claudio; Botto, Alberto",Experiencia Docente en Interconsulta psiquiátrica en Atención Primaria de Salud para residentes,2007,Educacion Medica,SCIELO-otros paises /SCOPUS/UCH/VID,,
7,"Fullerton, Claudio; Acuña, Julia; Florenzano, Ramón; Cruz, Carlos; Weil, Kristina",Psicopatología en pacientes hospitalizados en un hospital general,2003,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-92272003000200003 ,10.4067/S0717-92272003000200003 
8,"Florenzano, Ramón; Weil, Kristina; Cruz, Carlos; Acuña, Julia; Fullerton, Claudio; Muñiz, Carolina; Leighton, Caroline; Marambio, Magdalena","Personalidad limítrofe, somatización, trauma y violencia infantil: un estudio empírico",2002,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-92272002000400005 ,10.4067/S0717-92272002000400005 
9,"Florenzano, Ramón; Fullerton, Claudio; Acuña, Julia; Escalona, Rodrigo","Somatización: aspectos teóricos, epidemiológicos y clínicos",2002,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-92272002000100006 ,10.4067/S0717-92272002000100006 
