,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3150168,Prácticas institucionales y dinámicas subjetivas: Estudio de trayectorias biográficas de mujeres que han experimentado violencia de género en la pareja usuarias de programas públicos,01/11/2014,01/11/2014,S. Arensburg / R. Aceituno,Departamento de Psicología,FONDECYT,Postdoctorado
1,3150134,"Malestar adolescente en Chile, 1938-2006",01/11/2014,01/11/2014,R. Aceituno,Departamento de Psicología,FONDECYT,Postdoctorado
2,CREA-1-3,La resurrección de los muertos,01/01/2014,01/07/2015,"E. Matthey / A. Menard, R. Aceituno, M. Facuse, R. Zúñiga, F. Galende, I. Agüero",Departamento de Artes Visuales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
3,C13H01,Clínica y Sociedad: Procesos de Exclusión y subjetivación Chile / Francia,01/02/2014,01/02/2017,R. Aceituno,Departamento de Psicología,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
4,1130331,El trabajo del terapeuta en la clínica de lo extremo,01/03/2013,01/03/2013,"R. Aceituno / C. Radiszcz, S. Arensburg, M. Reyes, P. Cabrera",Departamento de Psicología,FONDECYT,Regular
5,FONDAP2013-06,Interdisciplinary center for democracy and conflict,01/12/2014,01/12/2014,"M. Canales / J. Simonetti, P. Ruiz-Tagle, I. Piper, S. Montecino, M. Garretón, R. Atria, A. Corvalán, M. Urrutia, F. Soto, A. Menard, R. Cornejo, F. Zúñiga, R. Aceituno, C. Radiszcz, B. Bustos, S. Millaleo, E. Aliste, P. Artaza",Departamento de Sociología,FONDAP,Programa FONDAP
6,INTERD-1-2,"Políticas del sujeto: Malestar en la cultura, salud mental y vida cotidiana en Chile",01/08/2012,01/07/2014,"R. Baño / C. Radiszcz, R. Zúñiga, R. Aceituno, M. Canales, S. Rojas, P. Cabrera, M. Sanfuentes, F. Sanfuentes, S. Arensburg",Departamento de Psicología,Iniciativa Bicentenario Juan Gómez Millas,Fondo de investigación
7,SOC06/25,"Integración normativa en jóvenes. Un estudio comparativo 1989-2006
",01/07/2006,01/07/2008,"R. Aceituno / M. Ruiz, R. Asun",Departamento de Psicología,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
8,1160190,Early detection of the first episode of schizophrenia: defining the neuropsycholinguistics biomarkers,01/06/2015,01/06/2015,"G. Orellana / E. Durán, A. Figueroa",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
9,1150714,Early detection of the First Episode of Schizophrenia: defining the neuropsycholinguistics markers,01/03/2015,01/03/2015,"G. Orellana / E. Durán, A. Figueroa",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
10,114-215,Early detection of the First Episode of Schizophrenia: defining the neuropsycholinguistics markers,01/03/2014,01/03/2014,"G. Orellana / E. Durán, E. Brunetti, A. Figueroa",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
11,1100879,Study the clinical evaluation of the psychopathological and linguistic changes in prodrome patients who are being treated with olanzapina,01/03/2010,01/03/2010,E. Durán / A. Figueroa,Departamento de Psiquiatría y Salud Mental Sur,FONDECYT,Regular
12,1241618,Signos precoces del trastorno formal del pensamiento: Mapeando la funcionalidad de las interacciones comunicativas en estados mentales de alto riesgo clínico (EMAR),01/07/2023,01/07/2023,A. Figueroa,Departamento de Psiquiatría y Salud Mental Sur,FONDECYT,Regular
13,1231179,Análisis de la funcionalidad de las interacciones comunicativas para predecir psicosis en una población chilena con estados mentales de alto riesgo clínico (CHR),01/08/2022,01/08/2022,A. Figueroa / R. Mayol,Departamento de Psiquiatría y Salud Mental Sur,FONDECYT,Regular
