,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Mendoza F., Cornejo M., Aceituno R.",Neighbors of a clandestine political imprisonment and torture center during the civil and military dictatorship in Chile: Knowing about the horror,2019,Cahiers de Psychologie Clinique,SCOPUS/UCH/VID,http://dx.doi.org/10.3917/cpc.053.0149,10.3917/cpc.053.0149
1,"Pérez P.E.C., Aceituno R., Matamala F., Fischer J.",[en] State Violence and Transmission between Generations,2017,POLITICA Y SOCIEDAD,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5209/POSO.49672,10.5209/POSO.49672
2,"Aceituno Morales, Roberto",L'enfance du Mal,2014,Savoirs et Clinique,SCOPUS/UCH/VID,http://dx.doi.org/10.3917/sc.017.0139,10.3917/sc.017.0139
3,Asún Inostroza Rodrigo; Ruiz Jabbaz María Soledad; Aceituno Morales Roberto; Venegas Juan Ignacio; Reinoso Alejandro,Integración subjetiva y apoyo institucional percibido entre estudiantes de secundaria en Chile,2012,"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud",SCIELO-otros paises /UCH/VID,,
4,Ruiz Soledad; Reinoso Alejandro; Asún Inostroza Rodrigo; Aceituno Roberto; Ugarte Ana María; Jiménez Alvaro,Jóvenes secundarios de hoy: estudio sobre su visión de la sociedad desde los conceptos de Anomia y Alienación Psicosocial,2011,ULTIMA DECADA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22362011000200009,10.4067/S0718-22362011000200009
5,"Aceituno, R.; Asún, R.; Ruiz, S.; Reinoso, A.; Venegas, J.I.; Corbalán, F.",Anomia y Alienación en Estudiantes Secundarios de Santiago de Chile: Resultados Iniciales de un Estudio Comparativo 1989-2007,2009,Psykhe,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-22282009000200001,10.4067/S0718-22282009000200001
6,"Figueroa B., Alicia; Oyarzún S., Sonia; Durán L., Eduardo","CONECTA-2: entrenamiento de la cognición social y el lenguaje, al servicio de la eficacia comunicativa. Una experiencia clínica interactiva con personas con diagnóstico de esquizofrenia",2019,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-92272019000100009,10.4067/S0717-92272019000100009
7,"Barra, AF; Mac-Kay, APMG; Lara, ED",Narrative evaluation strategies as metacognitive task in subjects with schizophrenia,2018,CoDAS,SCOPUS/SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1590/2317-1782/20182017084,10.1590/2317-1782/20182017084
8,"Orellana, G; Rodriguez, M; Gonzalez, N; Duran, E",The association of schizophrenia with chronic non transmissible diseases,2017,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872017000801047,10.4067/s0034-98872017000801047
9,Virginia Boehme K; Eduardo Duran L.,Experiencia clinica con el antipsicótico clozapina en niños y adolescentes menores de 18 años en Chile,2012,REVISTA CHILENA DE NEURO-PSIQUIATRIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-92272012000200002,10.4067/S0717-92272012000200002
