,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"María Francisca Norambuena P., Rolando Cocio A., Juan Casas M.","Ultrasound lecture series, an ""online experience"" of the 2020 pandemic",2021,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082021000200056,10.4067/S0717-93082021000200056
1,"Juan Salvador Casas M., Daniel Rodríguez D., Gonzalo Miranda G., José A. de Grazia K.","Otosclerosis: A review of aetiopathogenic, clinical-demographic and imaging aspects",2016,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1016/j.rchira.2016.08.002,10.1016/j.rchira.2016.08.002
2,"Vera, S; Martinez, R; Gormaz, JG; Gajardo, A; Galleguillos, F; Rodrigo, R",Novel relationships between oxidative stress and angiogenesis-related factors in sepsis: New biomarkers and therapies,2015,ANNALS OF MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3109/07853890.2015.1029967,10.3109/07853890.2015.1029967
3,"Galleguillos Elgueta, María; Céspedes Contreras, Catherine; Saa Higuera, Diego",Hypertension and chronic kidney disease,2014,Advances in Hypertension Research,SCOPUS/UCH/VID,,
4,"Saa Higuera, Diego; Galleguillos Elgueta, María Fernanda; Céspedes Contreras, Catherine; Rodrigo Salinas, Ramón",Septic shock: Clinical diagnosis and risk factors,2012,"Septic Shock: Symptoms, Management and Risk Factors",SCOPUS/UCH/VID,,
5,"Lidid A, Leonardo; Casas M, Juan Salvador",Absceso del iliopsoas: Claves para el diagnóstico imagenológico,2017,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082017000400163,10.4067/S0717-93082017000400163
6,Lidid L;Valenzuela J;Villarroel C;Alegria J,Crossing the Barrier: When the Diaphragm Is Not A Limit,2013,AMERICAN JOURNAL OF ROENTGENOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2214/AJR.11.8264,10.2214/AJR.11.8264
7,"Lidid A Leonardo, Apey R Camilo",Colangiopatía asociada a SIDA: Cuando la sola imagen no basta,2012,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082012000400008,10.4067/S0717-93082012000400008
8,"Lidid A, Leonardo; Mora V, Mario; Ramírez P, Tamara",Necrosis papilar renal: el diagnóstico de un clásico en la era de la tomografía multidetector,2010,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082010000300006,10.4067/S0717-93082010000300006
9,"Dr. Javier Willatt H(1), Int. Cristian Moyano N(2), Int. Camilo Apey R(2), Dr. Leonardo Lidid A(3).",Sarcoma de Kaposi extratorácico: evidencias de una enfermedad multisistémica,2010,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082010000200008,10.4067/S0717-93082010000200008
10,"López M., Parra C., Salas Á., Grass B., Sierra F., Matus C.","Neurovascular compression, the importance of radiological-clinical correlation",2022,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.24875/rchrad.22000017,10.24875/rchrad.22000017
11,"Canales F. L., Pérez O. B., de Grazia K. J., López G. L., Miranda G. G., Orellana P. P., Torres G. A., Salas Z. Á., Núñez F. R., López R. M.",Cerebral perfusion CT: Utility beyond acute cerebral infarct,2021,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082021000100027,10.4067/S0717-93082021000100027
12,"Da Costa, D; Montenegro, C; Palavecino, P; Lobos, G; Cermenati, T; Poniachik, J",Fundal variceal bleeding treated with balloon occluded endoscopic inyection sclerotherapy. Report of two cases,2017,REVISTA MEDICA DE CHILE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872017001001336,10.4067/S0034-98872017001001336
13,"Horta, G; Lopez, M; Dotte, A; Cordero, J; Chesta, C; Castro, A; Palavecino, P; Poniachik, J","Benign focal liver lesions detected by computed tomography. Review of 1,184 examinations",2015,REVISTA MEDICA DE CHILE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015000200007,10.4067/S0034-98872015000200007
14,"Andrades Cvitanic, Patricio; Calderón Gonzalez, María; Palaviccino Rubilar, Patricio; Erazo Cortés, Cristian; Sepúlveda Pereira, Sergio; Reyes J., Sergio; Benítez Seguel, Susana; Danilla Enei, Stefan",Angio TC en la identificación preoperatoria de vasos perforantes,2014,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-40262014000200007,10.4067/S0718-40262014000200007
15,"Palaviccino Rubilar, Patricio; Morales Huber, Claudia; Hasbun Hernández, Jorge; Osorio Pérez, Raúl; Moral Bravo, Cesar; Salamanca Zuñiga, Mario; Palma Ceppi, Cristián","Percretismo placentario: manejo con oclusión de arterias ilíacas internas, embolización de arterias uterinas y oclusión de arterias ilíacas comunes",2014,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262014000600011,10.4067/S0717-75262014000600011
16,Hasbun Hernández Jorge; Palavecino Rubilar Patricio; Segura H Patricia; Chavez Rodriguez Ignacio; Burgos Siegmund Nelson; Tobar Acevedo Hermógenes; Aliaga Quezada Adolfo,Malformación arterio-venosa uterina y hemorragia obstétrica: diagnóstico y manejo en tres casos clínicos,2014,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262014000300009,10.4067/S0717-75262014000300009
17,"Sepulveda, S;De Carolis, V;Andrades, P;Benitez, S;Danilla, S;Erazo, C;Bahamonde, L;Sciaraffia, C;Palavicino, P;Calderon, M",Microvascular free tissue transfer,2013,REVISTA CHILENA DE CIRUGIA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262013000600005,10.4067/S0718-40262013000600005
18,"Gompertz, M;Lara, I;Fernandez, L;Miranda, JP;Mancilla, C;Watkins, G;Palavecino, P;Berger, Z",Mortality of acute pancreatitis in a 20 years period,2013,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872013000500002,10.4067/S0034-98872013000500002
19,"Cristián Aedo B1, Alfredo Naser G1, Pablo Cabello E2, Daniel Muñoz S3, Patricio Palavicino4, Jorge Prieto4",Embolización arterial supra-selectiva en otorrinolaringología: Indicaciones y complicaciones en 12 años,2008,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,,
20," Palma, CC ; Reyes, OD ; Palma, CR ; Palavecino, P ",Experience in superselective embolization of bladder arteries in the treatment of intractable hematuria,2008,ACTAS UROLOGICAS ESPANOLAS,ISI/SCOPUS/UCH/VID,,
21,"Valera, JM; Merino, R; Palavecino, P; Sepulveda, L; Smok, G; Fernandez, M; Brahm, J",Hepatocellular carcinoma with cardiovascular invasion. Report of five cases,2004,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872004001200010,10.4067/S0034-98872004001200010
22,"Palavecino B., Tamara; Palma C., Rodrigo",Bronquio cardíaco accesorio y otras variantes de la anatomía tráqueo-bronquial,2017,REVISTA CHILENA DE ENFERMEDADES RESPIRATORIAS,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0717-73482017000200131,10.4067/s0717-73482017000200131
23,"Suazo Rojas L., Palma Ceppi R.",Mushroom sign in the talonavicular coalition,2016,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1016/j.rchira.2016.11.003,10.1016/j.rchira.2016.11.003
24," Palma, CC ; Reyes, OD ; Palma, CR ; Palavecino, P ",Experience in superselective embolization of bladder arteries in the treatment of intractable hematuria,2008,ACTAS UROLOGICAS ESPANOLAS,ISI/SCOPUS/UCH/VID,,
25,"Tan A.P., Robles C., Mankad K.",Cerebellar atrophy with T2/FLAIR hyperintense cerebellar cortex: a new imaging phenotype of combined complex II/III deficiency,2018,CHILDS NERVOUS SYSTEM,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00381-018-3762-5,10.1007/s00381-018-3762-5
26,"Guevara, C; Farias, G; Bulatova, K; Alarcon, P; Soruco, W; Robles, C; Morales, M",NotCH 1 Mutation in a patient with spontaneous and Recurrent Dissections of extracranial arteries,2017,FRONTIERS IN NEUROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fneur.2017.00245,10.3389/fneur.2017.00245
27,"Villa E., Torres A., Orellana P., de Grazia J., Villanueva M.E., Guevara C.",Neuro-Sjögren: A clinical-radiological paradox affecting the central nervous system,2023,JOURNAL OF NEUROIMMUNOLOGY,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jneuroim.2023.578085,10.1016/j.jneuroim.2023.578085
