,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,UI- 002/22,Manifestaciones clínicas y subclínicas del SARS-COV-2 en el sistema auditivo,01/09/2022,01/09/2022,C. Aedo,Departamento de Tecnología Médica,Fondo Central de Investigación,U-INICIA
1,IT18I0003,Uso de telemedicina en el diagnóstico de hipoacusia en lactantes,01/10/2018,01/10/2018,"M. Torrente / V. Castañeda, E. Aguilar",Departamento de Otorrinolaringología,FONDEF,IDEA
2,11181092,The effects of auditory efferent system on speech perception,01/06/2018,01/06/2018,E. Aguilar,Departamento de Tecnología Médica,FONDECYT,Iniciación en Investigación
3,11170765,Efferent Control of Speech Perception,01/06/2017,01/06/2017,E. Aguilar,Departamento de Tecnología Médica,FONDECYT,Iniciación en Investigación
4,UI-01/2016,Efferent control of speech perception,01/12/2016,01/12/2018,E. Aguilar,Departamento de Tecnología Médica,Fondo Central de Investigación,U-INICIA
5,11160599,Efferent control of speech perception,01/06/2016,01/06/2016,E. Aguilar,Departamento de Tecnología Médica,FONDECYT,Iniciación en Investigación
6,11150288,Efferent control of speech perception,01/06/2015,01/06/2015,E. Aguilar,Departamento de Tecnología Médica,FONDECYT,Iniciación en Investigación
7,1030512,"El Proceso de Mestizaje en Chile: Integrando Ethohistoria y Antropología Molecular
",01/03/2003,01/03/2003,L. Armanet,Programa de Genética Humana,FONDECYT,Regular
8,1020132,El Proceso de mestizaje en Chile: un enfoque Antropológico-Molecular,01/06/2002,01/06/2002,"D. Quiroz, L. Armanet",Programa de Genética Humana,FONDECYT,Regular
9,1000891,"Evaluación del actual poder resolutivo en Inmunohematología e impacto de la implementación de metodologías innovadoras en Chile.
",01/03/2000,01/03/2000,L. Armanet / M. Larrondo,Escuela de Tecnología Médica,FONDECYT,Regular
10,1960405,Polimorfismos del DNA en pruebas de paternidad y de identificación genética: estimación de parámetros poblacionales para dos métodos de uso en Chile,01/03/1996,01/03/1999,"L. Cifuentes / M. Acuña, L. Armanet",Programa de Biología Celular y Molecular,FONDECYT,Regular
11,95,,31/12/1995,31/12/1998,L. Armanet,,Hospital Clinico,OCIC
12,034-1995,"Asociación entre marcadores genéticos, fertilidad y malformaciones congénitas",01/03/1995,01/03/1995,L. Cifuentes / L. Armanet,Programa de Biología Celular y Molecular,FONDECYT,Regular
13,1920921,Estudio de paternidad aplicando el polimorfismo de DNA: Su evaluación en relación a los métodos convencionalmente usados en Chile,01/03/1992,01/03/1994,L. Armanet,Departamento de Medicina,FONDECYT,Regular
14,UR-11-XIII,Red Interdisciplinaria de I+D en Cine e imagen 3D,01/11/2011,01/11/2012,"V. Fajnzylber / F. del Villar, J. Ruiz del Solar, W. Astudillo, C. Basáez",Carrera de Cine y Televisión,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
15,1190195,Meiotic drive and the robertsonian chromosomes a theoretical and empirical approach,01/08/2018,01/08/2018,M. Berríos / G. Ayarza,Instituto de Ciencias Biomédicas,FONDECYT,Regular
16,U-REDES-G_2018-26,Red de inclusividad urbana: por una ciudad para todes,01/10/2018,01/10/2020,"R. Silva / C. Nash, C. Rodríguez, L. Campos, P. Bustamante",Instituto de la Vivienda,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
17,SA16I0150,"Adaptación y validación de la versión en español del instrumento ""Visual Function Questionnaire"" (VFQ) para medir calidad de vida en población adulta con baja visión y ceguera en Chile",01/10/2016,01/10/2016,P. Bustamante,Departamento de Tecnología Médica,CONICYT/MINSAL,FONIS-Proyectos I&D
18,1240200,Inverse problems for waves and photon propagation arising in medical imaging and microscopy,01/07/2023,01/07/2023,A. Osses / V. Castañeda,Departamento de Ingeniería Matemática,FONDECYT,Regular
