,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231680,Calidad de vida y fragilidad multidimensional en personas mayores que viven en la comunidad: El rol moderador del ambiente,01/08/2022,01/08/2022,"C. Briceño, Ã. Besoain",UNAB. Fac. de Cs. de la Salud,FONDECYT,Regular
1,IT21I0041,Software cuantifica el poder relativo de alfa para determinar elriesgo de delirium postoperatorio,01/11/2022,01/11/2024,"J. Egaña / A. Penna, F. Salech, C. Devia, R. Gutiérrez, C. Briceño, F. Maldonado, E. Álvarez",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
2,SA20I0038,Optimización de un programa de prehabilitación mejora la funcionalidad postoperatoria de adultos mayores sometidos a cirugía abdominal mayor oncológica: Ensayo clínico randomizado,01/04/2020,01/04/2020,"A. Penna / V. Rojas, C. Briceño, A. Sanguineti, R. Gutiérrez, F. Salech, F. Reyes, C. Alzola, K. Papapietro",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
3,ID20I10203,Intervención multidimensional guiada por software previene caídas en personas mayores,01/05/2020,01/05/2020,"F. Salech / R. Bustamante, J. Velásquez, M. Behrens, C. Briceño, G. Fasce, M. Pizzi",Departamento de Medicina Interna Norte,FONDEF,IDEA
4,ID19I10345,Software cuantifica el poder relativo de alfa para determinar el riesgo de delirium postoperatorio,01/08/2019,01/08/2021,"J. Egaña / A. Penna, R. Gutiérrez, E. Álvarez, F. Maldonado, C. Briceño, F. Salech",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
5,SA17I0030,"Prevención no farmacológica de delirium postoperatorio por equipos de terapia ocupacional en pacientes mayores de 75 años sometidos a cirugía electiva de alta complejidad
",01/10/2017,01/04/2020,A. Penna / C. Briceño,Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA16I0137,Percepción usuaria de beneficios en salud del Componente de Estimulaicón Funcional del programa Más Adultos Mayores Autovalentes del Servicio de Salud Metropolitano Norte,01/11/2016,01/05/2018,J. Gajardo / C. Briceño,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,CONICYT/MINSAL,FONIS-Proyectos I&D
7,SA13I10184,Intervención domiciliaria por Terapia Ocupacional post alta para prevenir la re hospitalización de personas mayores: ensayo clínico randomizado,01/11/2013,01/11/2015,G. Fasce / C. Briceño,Centro de Diagnóstico,CONICYT/MINSAL,FONIS-Proyectos I&D
8,SA23I0126,Búsqueda de la dosis terapéutica óptima de estimulación cerebral no invasiva para la recuperación funcional de la extremidad superior en personas con accidente cerebrovascular: ensayo clínico aleatorizado multicéntrico,01/05/2023,01/05/2023,"M. Garrido / Ã. Moyano, G. Cavada, N. Castillo",Centro de Diagnóstico,CONICYT/MINSAL,FONIS-Proyectos I&D
9,11240238,Relatos de vida y los efectos de los marcadores de identidad corporal de personas migrantes en Chile,01/05/2023,01/05/2023,C. Cirineu,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,FONDECYT,Iniciación en Investigación
10,UI- 004/22,Relatos de vida y los efectos de los marcadores de identidad corporal de personas migrantes en Chile,01/09/2022,01/09/2022,C. Cirineu,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,Fondo Central de Investigación,U-INICIA
11,UI- 011/21,Relatos de vida y los efectos de los marcadores de identidad corporal de personas migrantes en Chile,01/10/2021,01/10/2021,C. Cirineu,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,Fondo Central de Investigación,U-INICIA
12,SA09I10057,Prevalencia de las dificultades del lenguaje en un grupo de niños prematuros entre 4 y 5 años 11 meses,01/12/2009,01/12/2009,"M. Maggiolo / L. Binfa, C. Díaz, V. Varela",Escuela de Fonoaudiología,CONICYT/MINSAL,FONIS-Proyectos I&D
13,1221769,Data-driven assessment of everyday functioning in dementia: An integrative approach of clinical and neural phenotypes,01/08/2021,01/08/2021,"A. Slachevsky / J. Gajardo, P. Lillo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
14,1200561,"Profiling functional decline in dementia subtypes: from cognitive, motor, and neuropsychiatric drivers to neural correlates",01/08/2019,01/08/2019,"A. Slachevsky / P. Lillo, J. Gajardo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
15,1190870,"Behavioral, motor, and brain imaging markers of functional decline in dementia disorders",01/07/2018,01/07/2018,"A. Slachevsky / P. Lillo, J. Gajardo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
16,1181498,"Behavioural, motor, brain structural and connectivity markers of functional decline in neurodegenerative diseases modulated by environmental factors",01/08/2017,01/08/2017,"A. Slachevsky / P. Lillo, D. Thumala, J. Gajardo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
17,SA16I0137,Percepción usuaria de beneficios en salud del Componente de Estimulaicón Funcional del programa Más Adultos Mayores Autovalentes del Servicio de Salud Metropolitano Norte,01/11/2016,01/05/2018,J. Gajardo / C. Briceño,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,CONICYT/MINSAL,FONIS-Proyectos I&D
18,IS2016-03,Adaptación cultural del programa de terapia ocupacional Tailored Activity Program (TAP) para personas con el diagnóstico de demencia y sus cuidadores familiares en Chile,01/10/2016,01/10/2017,J. Gajardo,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,Facultad de Medicina,Proyectos de investigación en Salud
19,SA09I10037,"Impacto de la profilaxis con Haloperidol oral, sobre la duración del delirium post operatorio (DPO) en adultos mayores sometidos a cirugía abdominal mayor electiva",01/12/2009,01/12/2009,"C. Romero / M. Jirón, V. Carrasco, T. Galleguillos, R. Cornejo, C. Delgado, J. Gajardo",Unidad de Pacientes Críticos,CONICYT/MINSAL,FONIS-Proyectos I&D
20,COVID0546,"Programa de Telerrehabilitación multidisciplinaria en pacientes COVID-19 post hospitalización, Ensayo Clínico Aleatorizado Multicéntrico",01/06/2020,01/06/2020,S. Gallegos,Centro de Diagnóstico,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
21,SA18I0142,"Experiencias, percepciones y expectativas sobre continuidad y coordinación de la red de rehabilitación de ACV en el Servicio de Salud Metropolitano Norte, desde la perspectiva de profesionales especializados, profesionales de APS y personas con ACV",01/04/2018,01/04/2018,"V. Aliaga / Ã. Besoain, M. Manríquez, S. Tapia, P. Gutiérrez, J. Rebolledo",Departamento de Kinesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
22,11170841,"Actividades de la Vida Cotidiana y autonomía progresiva en Residencias de Protección para niños, niñas y adolescentes con discapacidad institucionalizados en SENAME a nivel nacional",01/06/2017,01/06/2017,P. Gutiérrez,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,FONDECYT,Iniciación en Investigación
23,11160260 ,"¿Actividades de la vida cotidiana y autonomía progresiva en las residencias de protección para niños, niñas y adolescentes con discapacidad vulnerados en sus derechos de la Red SENAME a nivel nacional ",01/06/2016,01/06/2016,P. Gutiérrez,Departamento de Terapia Ocupacional y Ciencia de la Ocupación,FONDECYT,Iniciación en Investigación
