,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Ricardo, B; Jessica, C; Carlos, VJ",A case report: Transhumeral amputee treatment with osseointegrated prosthesis and rehabilitation,2020,JOURNAL OF HAND THERAPY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jht.2020.03.003,10.1016/j.jht.2020.03.003
1,"Alvarez, EA; Rojas, VA; Caipo, LI; Galaz, MM; Ponce, DP; Gutierrez, RG; Salech, F; Tobar, E; Reyes, FI; Vergara, RC; Egana, JI; Briceno, CA; Penna, A",Non-pharmacological prevention of postoperative delirium by occupational therapy teams: A randomized clinical trial,2023,FRONTIERS IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmed.2023.1099594,10.3389/fmed.2023.1099594
2,"Gajardo, J; Moreno, X; Fuentes-Garcia, A; Moraga, C; Briceno, C; Cifuentes, D",User perceptions of a public health program to reduce disability among Chilean older adults,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872020000300304,10.4067/S0034-98872020000300304
3,"Gutierrez, R; Egana, JI; Saez, I; Reyes, F; Briceno, C; Venegas, M; Lavado, I; Penna, A",Intraoperative Low Alpha Power in the Electroencephalogram Is Associated With Postoperative Subsyndromal Delirium,2019,FRONTIERS IN SYSTEMS NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnsys.2019.00056,10.3389/fnsys.2019.00056
4,"Gutierrez, R; Egana, JI; Saez, I; Reyes, F; Briceno, C; Venegas, M; Lavado, I; Penna, A",LOW ALPHA POWER FROM ELECTROENCEPHALOGRAPHIC ACTIVITY IS ASSOCIATED WITH THE DEVELOPMENT OF ACUTE CONFUSIONAL STATE,2019,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
5,"Gutierrez, R; Reyes, F; Saez, I; Briceno, C; Egana, JI; Penna, A",A LOWER RATIO OF ALPHA AND DELTA FREQUENCY IN THE ELECTROENCEPHALOGRAPHIC ACTIVITY DURING A SURGERY UNDER GENERAL ANESTHESIA IS ASSOCIATED WITH LOW PREOPERATIVE COGNITIVE PERFORMANCE IN OLDER PATIENTS,2018,ANESTHESIA AND ANALGESIA,ISI/UCH/VID,,
6,"Fasce Pineda G., Aravena Castro J.M., Araya Orellana C., Bustamante Muñoz R., Gonzalez Andrade F., Briceño Ribot C., Quiroz Opazo T., Araya Orellana E., Navarrete Hernandez G.",Domiciliary intervention by occupational therapy after hospital discharge in order to prevent re-admission in the elderly: Study protocol for a randomised clinical trial,2018,Revista Espanola de Geriatria y Gerontologia,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.regg.2018.04.448,10.1016/j.regg.2018.04.448
7,"Alvarez, EA; Garrido, MA; Tobar, EA; Prieto, SA; Vergara, SO; Briceno, CD; Gonzalez, FJ",Occupational therapy for delirium management in elderly patients without mechanical ventilation in an intensive care unit. A pilot randomized clinical trial,2017,JOURNAL OF CRITICAL CARE,ISI/SCOPUS/UCH/VID,,
8,"Alvarez, EA; Garrido, MA; Tobar, EA; Prieto, SA; Vergara, SO; Briceno, CD; Gonzalez, FJ",Occupational therapy for delirium management in elderly patients without mechanical ventilation in an intensive care unit: A pilot randomized clinical trial,2017,JOURNAL OF CRITICAL CARE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jcrc.2016.09.002,10.1016/j.jcrc.2016.09.002
9,"Garrido, M; Alvarez, EE; Acevedo, PF; Moyano, VA; Castillo, NN; Ch, GC","Early transcranial direct current stimulation with modified constraint- induced movement therapy for motor and functional upper limb recovery in hospitalized patients with stroke: A randomized, multicentre, double-blind, clinical trial",2023,BRAIN STIMULATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.brs.2022.12.008,10.1016/j.brs.2022.12.008
10,"Garrido, MA; Alvarez, EA; Acevedo, FL; Moyano, AI; Castillo, NP; Cavada, GA",Early non-invasive brain stimulation with modified constraint-induced movement therapy for motor and functional upper limb recovery in stroke patients: Study protocol,2020,BRITISH JOURNAL OF OCCUPATIONAL THERAPY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1177/0308022620904339,10.1177/0308022620904339
11,"Gajardo, J; Moreno, X; Fuentes-Garcia, A; Moraga, C; Briceno, C; Cifuentes, D",User perceptions of a public health program to reduce disability among Chilean older adults,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872020000300304,10.4067/S0034-98872020000300304
12,"León, Joselyn Valenzuela; Cirineu, Cleber Tiago; Hernández, Nancy Navarro",Uso del yo como herramienta terapéutica: una experiencia formativa de terapia ocupacional en pregrado,2022,CADERNOS BRASILEIROS DE TERAPIA OCUPACIONAL-BRAZILIAN JOURNAL OF OCCUPATIONAL THERAPY,SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.1590/2526-8910.ctoao251232803,10.1590/2526-8910.ctoao251232803
