,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,Gárate C.O.; Preller C.A.,Pediatric Diaphyseal Tibia and Distal Tibia Fractures,2022,Foot and Ankle Disorders: A Comprehensive Approach in Pediatric and Adult Populations,/UCH/VID,http://dx.doi.org/10.1007/978-3-030-95738-4_15,10.1007/978-3-030-95738-4_15
1,"Masquijo, JJ; Artigas, C; de Pablos, J",Growth modulation with tension-band plates for the correction of paediatric lower limb angular deformity: current concepts and indications for a rational use,2021,EFORT OPEN REVIEWS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1302/2058-5241.6.200098,10.1302/2058-5241.6.200098
2,"Bahamonde Munoz L., Escudero Heldt M.",Massive Chondroblastoma of the Talus: Treatment With En Bloc Talectomy and Tibiocalcaneal Arthrodesis: Long-Term Follow-up of a Case,2017,FOOT & ANKLE SPECIALIST,SCOPUS/UCH/VID,http://dx.doi.org/10.1177/1938640016676339,10.1177/1938640016676339
3,"Sepulveda, S;De Carolis, V;Andrades, P;Benitez, S;Danilla, S;Erazo, C;Bahamonde, L;Sciaraffia, C;Palavicino, P;Calderon, M",Microvascular free tissue transfer,2013,REVISTA CHILENA DE CIRUGIA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262013000600005,10.4067/S0718-40262013000600005
4,"Barrientos-Mendoza, C; Branes, J; Wulf, R; Kremer, A; Barahona, M; Leon, S",The role of anterior supra-acetabular external fixator as definitive treatment for anterior ring fixation in unstable pelvic fractures,2022,EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00068-021-01711-2,10.1007/s00068-021-01711-2
5,"Aliste, J; Layera, S; Bravo, D; Jara, A; Munoz, G; Barrientos, C; Wulf, R; Branes, J; Finlayson, RJ; Tran, DQ",Letter to the editor in response to the recent publication: randomized comparison between pericapsular nerve group (PENG) block and suprainguinal fascia iliaca block for total hip arthroplasty Reply,2022,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-103106,10.1136/rapm-2021-103106
6,"Aliste, J; Layera, S; Bravo, D; Jara, A; Munoz, G; Barrientos, C; Wulf, R; Branes, J; Finlayson, RJ; Tran, DQ",Reply to Dr Pascarella and colleagues,2022,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-103125,10.1136/rapm-2021-103125
7,"Aliste, J; Layera, S; Bravo, D; Jara, A; Munoz, G; Barrientos, C; Wulf, R; Branez, J; Finlayson, RJ; Tran, D",Randomized comparison between pericapsular nerve group (PENG) block and suprainguinal fascia iliaca block for total hip arthroplasty,2021,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-102997,10.1136/rapm-2021-102997
8,"Barrientos, C; Branes, J; Wulf, R; Barahona, M; Fuentes, SC",Scissor Position of the Orthopedic Table for the Resolution of Intertrochanteric and Subtrochanteric Hip Fractures,2021,CUREUS JOURNAL OF MEDICAL SCIENCE,ESCI/UCH/VID,http://dx.doi.org/10.7759/cureus.16442,10.7759/cureus.16442
9,"Branes, J; Barahona, M; Carvajal, S; Wulf, R; Barrientos, C",Validation of the Spanish version of the Goodman score in total hip arthroplasty,2021,JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13018-021-02653-6,10.1186/s13018-021-02653-6
