,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Walton-Diaz, A; Madariaga-Venegas, M; Aviles, N; Roman, JC; Gallegos, I; Burotto, M",Developing a National Center of Excellence for Prostate Imaging,2019,CURRENT UROLOGY REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11934-019-0923-3,10.1007/s11934-019-0923-3
1,"Zuniga, D; Torres-Sahli, M; Rigotti, A; Pedrals, N; Echeverria, G; Padilla, O; Lagos, A; McColl, P; Trucco, O; Cisternas, M; Gonzalez, C; Bogado, J; Moraga, AM; Altamirano, P; Duran, E; Mansilla, M; Berrios, C; Epstein, R; Bitran, M",Dispositional Mindfulness Reduces Burnout and Promotes Flourishing in Medical Students: a Two-Wave Latent Change Score Model,2022,MINDFULNESS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12671-021-01774-7,10.1007/s12671-021-01774-7
2,"Bogado, J; Bogado, M; Lopez, I; Rosselot, E",The effects of a new model of hospital management on undergraduate teaching of urology,2010,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872010000400007,10.4067/S0034-98872010000400007
3,"Rodriguez, F; Munoz, A; Iniguez, G; Ponce, D; Unanue, N; Celis, S; Lopez, M; Hernandez, M; Cassorla, F",Reproductive Hormone Levels in Patients with Cryptorchidism and RAS MAPK Pathway Variants Associated to Rasopathies,2018,HORMONE RESEARCH IN PAEDIATRICS,ISI/UCH/VID,,
4,"Rodriguez, F; Vallejos, C; Ponce, D; Unanue, N; Hernandez, MI; Celis, S; Arcos, K; Belmar, F; Lopez, MT; Cassorla, F",Study of Ras/MAPK pathway gene variants in Chilean patients with Cryptorchidism,2018,ANDROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/andr.12501,10.1111/andr.12501
5,"Celis, S; Lopez, PJ","Transcutaneous Electrical Nerve Stimulation in Children with Monosymptomatic Nocturnal Enuresis: A Randomized, Double-Blind, Placebo Controlled Study EDITORIAL COMMENT",2017,JOURNAL OF UROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.juro.2017.04.105,10.1016/j.juro.2017.04.105
6,"Rodriguez, F; Vallejos, C; Giraudo, F; Unanue, N; Hernandez, MI; Godoy, P; Celis, S; Martin-Arenas, R; Palomares-Bralo, M; Heath, KE; Lopez, MT; Cassorla, F",Copy number variants of Ras/MAPK pathway genes in patients with isolated cryptorchidism,2017,ANDROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/andr.12390,10.1111/andr.12390
7,"Rodriguez, FA; Vallejos, C; Unanue, N; Hernandez, MI; Celis, S; Martin-Arenas, R; Bralo, MP; Heath, KE; Lopez, MT; Cassorla, F",MOLECULAR STUDY OF RAS/ MAPK PATHWAY GENES IN PATIENTS WITH CRYPTORCHIDISM,2017,HORMONE RESEARCH IN PAEDIATRICS,ISI/UCH/VID,,
8,"Rodriguez, F; Vallejos, C; Unanue, N; Hernandez, MI; Celis, S; Arenas, R; Palomares, M; Heath, K; Lopez, MT; Cassorla, F",Copy Number Variation of RAS/MAPK Pathway Genes in Patients with Isolated Cryptorchidism,2016,HORMONE RESEARCH IN PAEDIATRICS,ISI/UCH/VID,,
9,"Kim, J; Celis, S",Global Partnership as a Strategy for Internationalisation: MBAs in Latin America and Asia and Oceania,2016,HIGHER EDUCATION POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1057/hep.2016.3,10.1057/hep.2016.3
10,"Rodriguez, F; Vallejo, C; Pastrian, M; Poblete, D; Unanue, N; Hernandez, I; Celis, S; Arenas, R; Palomares, M; Heath, K; Lopez, M; Cassorla, F",Molecular Study of Rasopathies in Patients with Isolated Cryptorchidism,2015,HORMONE RESEARCH IN PAEDIATRICS,ISI/UCH/VID,,
11,"Lopez, PJ; Celis, S; Reed, F; Zubieta, R",Vesicoureteral Reflux: Current Management in Children,2014,CURRENT UROLOGY REPORTS,ISI/UCH/VID,http://dx.doi.org/10.1007/s11934-014-0447-9,10.1007/s11934-014-0447-9
12,"Celis, S;Reed, F;Murphy, F;Adams, S;Gillick, J;Abdelhafeez, AH;Lopez, PJ",Balanitis xerotica obliterans in children and adolescents: A literature review and clinical series,2014,JOURNAL OF PEDIATRIC UROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jpurol.2013.09.027,10.1016/j.jpurol.2013.09.027
13,"Balbontin, FG;Moreno, SA;Bley, E;Chacon, R;Silva, A;Morgentaler, A",Long-acting testosterone injections for treatment of testosterone deficiency after brachytherapy for prostate cancer,2014,BJU INTERNATIONAL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/bju.12668,10.1111/bju.12668
14,Sola Dalenz V; Pardo Schanz J; Ricci Arriola P; Guiloff Fische E; Chiang Miranda H.,"TVT en asociación a otras cirugías ginecológicas durante el mismo acto quirúrgico, y sus complicaciones",2005,ARCHIVOS ESPANOLES DE UROLOGIA,SCIELO-otros paises /SCOPUS/UCH/VID,,
15,Sepulveda J.P.V; Nieva E.M; Sepulveda R.V; Toro M.C; Gallo A.G; Luna H.B; Melendez L.C; Mendez I.G; Escobar J.G; Ceppi C.P.,Linfadenectomia retroperitoneal reducida en cancer testicular de celulas germinales no seminomatoso estadio clinico I,2007,ARCHIVOS ESPANOLES DE UROLOGIA,SCIELO-otros paises /SCOPUS/UCH/VID,,
16,"Lardone, MC; Reyes, IN; Ortiz, E; Piottante, A; Palma, C; Ebensperger, M; Castro, A",Testicular steroid sulfatase overexpression is associated with Leydig cell dysfunction in primary spermatogenic failure,2021,ANDROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/andr.12950,10.1111/andr.12950
17,"Lardone, MC; Ortega, V; Ortiz, E; Florez, M; Piottante, A; Ebensperger, M; Flores, S; Pezo, P; Orellana, M; Moraga, M; Castro, A",Partial-AZFc deletions in Chilean men with primary spermatogenic impairment: gene dosage and Y-chromosome haplogroups,2020,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10815-020-01957-6,10.1007/s10815-020-01957-6
18,"Lardone, MC; Argandona, F; Lorca, M; Piottante, A; Florez, M; Palma, C; Ebensperger, M; Castro, A",Leydig cell dysfunction is associated with post-transcriptional deregulation of CYP17A1 in men with Sertoli cell-only syndrome,2018,MOLECULAR HUMAN REPRODUCTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/molehr/gay006,10.1093/molehr/gay006
19,"Castro, A; Rodriguez, F; Florez, M; Lopez, P; Curotto, B; Martinez, D; Maturana, A; Lardone, MC; Palma, C; Mericq, V; Ebensperger, M; Cassorla, F",Pseudoautosomal abnormalities in terminal AZFb plus c deletions are associated with isochromosomes Yp and may lead to abnormal growth and neuropsychiatric function,2017,HUMAN REPRODUCTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/humrep/dew333,10.1093/humrep/dew333
20,"Lardone, MC; Argandona, F; Florez, M; Parada-Bustamante, A; Ebensperger, M; Palma, C; Piottante, A; Castro, A",Overexpression of CYP19A1 aromatase in Leydig cells is associated with steroidogenic dysfunction in subjects with Sertoli cell-only syndrome,2017,ANDROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/andr.12289,10.1111/andr.12289
21,"Amory, JK;Arnold, S;Lardone, MC;Piottante, A;Ebensperger, M;Isoherranen, N;Muller, CH;Walsh, T;Castro, A",Levels of the retinoic acid synthesizing enzyme aldehyde dehydrogenase-1A2 are lower in testicular tissue from men with infertility,2014,FERTILITY AND STERILITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.fertnstert.2013.12.053,10.1016/j.fertnstert.2013.12.053
22,"Lardone, MC;Piottante, A;Valdevenito, R;Ebensperger, M;Castro, A",Histological and hormonal testicular function in oligo/azoospermic infertile men,2013,ANDROLOGIA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/and.12026,10.1111/and.12026
23,"Lardone, M;Piottante, A;Parada-Bustamante, A;Argandona, F;Florez, M;Espinoza, A;Ebensperger, M;Castro, A",INSL3 gene expression is correlated with high levels of serum LH in patients with Sertoli cell-only syndrome,2013,HUMAN REPRODUCTION,ISI/UCH/VID,,
24,"Lardone, MC;Marengo, A;Parada-Bustamante, A;Cifuentes, L;Piottante, A;Ebensperger, M;Valdevenito, R;Castro, A",Greater prevalence of Y chromosome Q1a3a haplogroup in Y-microdeleted Chilean men: a case-control study,2013,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s10815-013-9950-z,10.1007/s10815-013-9950-z
