,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240353,"El juego como facilitador de la inclusión de los participantes niños y niñas de los ""Programas de Integración Escolar"" con diagnósticos de discapacidad, un estudio etnográfico
",01/07/2023,01/07/2023,Ã. Besoain,,FONDECYT,Regular
1,1231680,Calidad de vida y fragilidad multidimensional en personas mayores que viven en la comunidad: El rol moderador del ambiente,01/08/2022,01/08/2022,"C. Briceño, Ã. Besoain",UNAB. Fac. de Cs. de la Salud,FONDECYT,Regular
2,SA22I0163,Coordinación y continuidad asistencial en la atención de personasadultas con Accidente Cerebro Vascular (ACV) en la red deservicios de salud Atacama y Metropolitana Norte: Aproximacióny recomendaciones para la gestión de la red,01/06/2022,01/06/2022,Ã. Besoain,Dirección Asuntos Estudiantiles,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA20I0004,Evaluando ambientes alimentarios desde el hogar: una contribución a las políticas locales,01/11/2020,01/05/2023,"D. Egaña / P. Gálvez, P. Molina, L. Rodríguez, Ã. Besoain, R. Villegas",Departamento de Atención Primaria y Salud Familiar,CONICYT/MINSAL,FONIS-Proyectos I&D
4,SA19I0056,"Experiencias y necesidades de los hombres con cáncer de próstata, sus parejas y el equipo sanitario en relación al proceso asistencial en el contexto del régimen GES. Recomendaciones para una atención integral",01/03/2019,01/03/2019,"V. Aliaga / B. Fuentes, Ã. Besoain, J. Rebolledo, J. Román, M. Manríquez, D. Reyes, G. Huepe",Departamento de Kinesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
5,SA18I0142,"Experiencias, percepciones y expectativas sobre continuidad y coordinación de la red de rehabilitación de ACV en el Servicio de Salud Metropolitano Norte, desde la perspectiva de profesionales especializados, profesionales de APS y personas con ACV",01/04/2018,01/04/2018,"V. Aliaga / Ã. Besoain, M. Manríquez, S. Tapia, P. Gutiérrez, J. Rebolledo",Departamento de Kinesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA15I20121,"Percepciones sobre inclusión social, discapacidad e intervenciones de Rehabilitación Basada en la Comunidad (RBC) de actores sociales participantes en Centros Comunitarios de Rehabilitación de la Región Metropolitana de Chile",01/12/2015,01/12/2017,"V. Aliaga / M. Manríquez, S. Medina, J. Rebolledo, A. Eguiguren, Ã. Besoain",Departamento de Kinesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
7,P0181-2015,Estudio de Condiciones de Trabajo de la Industria Manufacturera relacionada a factores de riesgos de trastornos musculoesqueléticos dorsolumbares para establecer estrategias y recomendaciones de prevención en el sector,01/08/2015,01/08/2017,"E. Cerda / C. Rodríguez, J. Rodríguez, Ã. Besoain",Departamento de Kinesiología,Proyectos de investigación e innovación en prevención de accidentes y enfermedades profesionales,Proyectos-Investigación
8,P0175,"Estudio Piloto: Descripción de la carga de trabajo, el factor físico biomecánico y percepción de molestias musculoesqueléticas en trabajadoras embarazadas para establecer recomendaciones iniciales que ayuden en el autocuidado",01/08/2014,01/08/2015,"C. Rodríguez / E. Cerda, J. Rodríguez, Ã. Besoain",Departamento de Kinesiología,Proyectos de investigación e innovación en prevención de accidentes y enfermedades profesionales,Proyectos-Investigación
9,1181651,Prevalencia del Malestar Psicológico en Estudiantes de Educación Superior de Chile,01/07/2017,01/07/2017,"L. Villacura / I. López, A. Dorr",Dirección Académica,FONDECYT,Regular
10,1161446,Transition from adolescence to adulthood in university students: role of temporality in the conformation of identity,01/06/2015,01/06/2015,"A. Dorr / L. Villacura, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
11,1150739,Transición de la Adolescencia a la Adultez en estudiantes universitarios: Rol de la temporalidad en la conformación de la identidad,01/03/2015,01/03/2015,"A. Dorr / L. Villacura, S. Florenzano",Departamento de Psiquiatría y Salud Mental Oriente,FONDECYT,Regular
