,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Hernandez-Rodas, MC; Rojas-Moncada, PA; Carrasco-Naranjo, FA; Basfi-Fer-Obregon, KA; Codoceo-Alfaro, J; Inostroza-Escobar, JA; Ruz-Ortiz, MH",Effect of Zinc Supplementation on Serum Concentrations of Free Fatty Acids in Patients with Type 2 Diabetes,2023,ANNALS OF NUTRITION AND METABOLISM,ISI/UCH/VID,http://dx.doi.org/.no tiene,.no tiene
1,"Chamorro, R; Basfi-fer, K; Sepulveda, B; Farias, R; Rojas, P; Carrasco, F; Codoceo, J; Inostroza, J; Ruz, M",Meal timing across the day modulates daily energy intake in adult patients with type 2 diabetes,2022,EUROPEAN JOURNAL OF CLINICAL NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41430-022-01128-z,10.1038/s41430-022-01128-z
2,"Daniels, Bernardita; Lataste, Claudia; Bustamante, Evelyn; Sandoval, Sonia; Basfi-fer, Karen; Cáceres, Paola",Contribución de las organizaciones sociales ¿ollas comunes¿ a la alimentación de la población chilena en tiempos de pandemia por COVID-19,2021,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182021000500707,10.4067/S0717-75182021000500707
3,"Ruz, M; Carrasco, F; Rojas, P; Codoceo, J; Inostroza, J; Basfi-fer, K; Csendes, A; Papapietro, K; Pizarro, F; Olivares, M; Westcott, JL; Hambidge, KM; Krebs, NF",Zinc absorption and zinc status are reduced after either sleeve gastrectomy or Roux-en-Y gastric bypass in premenopausal women with severe obesity studied prospectively over 24 postoperative months,2021,AMERICAN JOURNAL OF CLINICAL NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ajcn/nqab039,10.1093/ajcn/nqab039
4,"Hernandez, MC; Rojas, P; Carrasco, F; Basfi-fer, K; Codoceo, J; Inostroza, J; Ruz, M",Zinc supplementation reduces free fatty acid concentration in patients with type 2 diabetes,2020,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182020000601000,10.4067/S0717-75182020000601000
5,"Caceres, P; Lataste, C; Uribe, D; Herrera, J; Basfi-Fer, K","Food portion exchange lists in Chile and the world: History, uses and considerations",2020,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182020000300484,10.4067/S0717-75182020000300484
6,"Hernández M.C., Rojas P., Carrasco F., Basfi-fer K., Valenzuela R., Codoceo J., Inostroza J., Ruz M.",Fatty acid desaturation in red blood cell membranes of patients with type 2 diabetes is improved by zinc supplementation,2020,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jtemb.2020.126571,10.1016/j.jtemb.2020.126571
7,"Kreindl, C; Basfi-fer, K; Rojas, P; Carrasco, G",Nutritional treatment in pressure and venous ulcers,2019,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182019000200197,10.4067/S0717-75182019000200197
8,"Ruz, M; Carrasco, F; Rojas, P; Basfi-fer, K; Hernandez, MC; Perez, A",Nutritional Effects of Zinc on Metabolic Syndrome and Type 2 Diabetes: Mechanisms and Main Findings in Human Studies,2019,BIOLOGICAL TRACE ELEMENT RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12011-018-1611-8,10.1007/s12011-018-1611-8
9,"Perez A., Rojas P., Carrasco F., Basfi-fer K., Perez-Bravo F., Codoceo J., Inostroza J., Galgani J.E., Gilmore L.A., Ruz M.",Association between zinc nutritional status and glycemic control in individuals with well-controlled type-2 diabetes,2018,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jtemb.2018.03.019,10.1016/j.jtemb.2018.03.019
10,"Perez, A; Rojas, P; Carrasco, F; Basfi-fer, K; Perez-Bravo, F; Codoceo, J; Inostroza, J; Ruz, M",Zinc Supplementation Does Not Affect Glucagon Response to Intravenous Glucose and Insulin Infusion in Patients with Well-Controlled Type 2 Diabetes,2018,BIOLOGICAL TRACE ELEMENT RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12011-018-1249-6,10.1007/s12011-018-1249-6
11,"Carrasco, F; Basfi-fer, K; Rojas, P; Csendes, A; Papapietro, K; Codoceo, J; Inostroza, J; Krebs, NF; Westcott, JL; Miller, LV; Ruz, M",Calcium absorption may be affected after either sleeve gastrectomy or Roux-en-Y gastric bypass in premenopausal women: a 2-y prospective study,2018,AMERICAN JOURNAL OF CLINICAL NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ajcn/nqy071,10.1093/ajcn/nqy071
12,"Leiva, T; Basfi-Fer, K; Rojas, P; Carrasco, F; Ruz, M",Effect of meal frequency and carbohydrate intake on the metabolic control of patients with type 2 diabetes mellitus,2016,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872016001000002,10.4067/S0034-98872016001000002
